Var1,Area,Perimeter,x_Feret,x_Breadth,x_AspRatio,x_RFactor,x_ConvexArea,x_ConvexPerimeter,x_ArEquivD,x_PerEquivD,x_MinR,x_MaxR,x_avgR,x_VarianceR,x_EquivEllAr,x_ModRatio,x_HaralickRatio,x_ThinnessR,x_Roundness,x_Compactness,x_Solidity,x_Convexity,x_Concavity,x_ArBBox,x_Rectang,x_Sphericity,x_Elongation,x_BendingEnergy,x_Jaggedness,x_Circularity,x_Endocarp,DistanceCM_FB,Mean,Min,Max,Mode,StD,Skewness,Kurtosis,IntensitySum,Uniformity,Entropy,SmothnessR,GLCM_Contrast,GLCM_Correlation,GLCM_Energy,GLCM_Homogeneity,MeanIntensityR,StdDevR,MeanSqrtR,MeanIntensityG,StdDevG,MeanSqrtG,MeanIntensityB,StdDevB,MeanSqrtB,MeanIntensityH,StdDevH,MeanSqrtH,MeanIntensityS,StdDevS,MeanSqrtS,MeanIntensityV,StdDevV,MeanSqrtV,Label
1,1916,233238,97046,30628,3.169,7.09,2161.5,214582,49.392,74242,15314,48523,29.453,123861,2334496,316,2.646,28392,259,509,0.886,0.92,245.5,2972373,645,316,2259,295,665,0.443,1682.762,7.26,99.3037569944045,0,226,112,0,52.288,2732,162860,1,-0,0,49.06,0.62,304,0.819,121.150279776179,57.2711707399252,11.0068287792706,95.4212629896083,49.6265009397558,9.76838077623965,61.9280575539568,41.75194869876,7.86943819811534,0.138045746716439,0.134345389659424,0.371545080328672,0.569281118582545,0.244169967642157,0.754507202472279,0.485384241626307,0.214024587312317,0.696695228651888,Amorpha fruticosa
2,2737,284818,119.808,37848,3165,8566,3224,263.477,59033,90.66,18924,59.904,34.983,213.913,3561425,316,2392,29639,243,493,0.849,925,487,4534.547,604,316,2359,0.443,0.651,424,2452.182,10.972,75.8509589041096,1,175,114,2.791,52.288,2732,232791,0.999,5,0.0001198,161368,773,0.26,818,93.2054794520548,43.0002673977144,9.65429849611326,72.0405479452055,40.7927676194012,8.48767034852353,49.8915068493151,36.8138730521358,7.06339202149471,0.154937024198109,0.182108685984544,0.393620406226746,0.575744063414623,0.260244104355431,0.758778006675617,0.379818426000537,0.161230836041559,0.616294106738445,Amorpha fruticosa
3,3083,285262,115365,42.663,2.704,10024,3633,267002,62653,90802,21331,57.682,37162,185387,3865563,0.37,2.729,26395,295,0.543,0.849,0.936,550,4921788,626,0.37,2.1,1321,0.69,0.476,2797738,17,72.6554832248373,0,223,15,0,23101,534.67,262055,1,-0,0,156.28,0.73,0.286,792,92.3405107661492,46.7090429759695,9.60939700325412,67.2834251377066,40.7885302393234,8.20264744687388,48.6579869804707,35.9259383823322,6.97552772057217,0.146307305042069,0.195202475796767,0.382501379137473,0.575554208315395,0.259012092538914,0.758652890533869,0.373257926104844,0.17476553136685,0.610948382520851,Amorpha fruticosa
4,2638,276.333,111306,37899,2937,8792,3074.5,247274,57955,87.96,18949,55653,33537,175192,3313.102,0.34,2.534,28.946,271,521,858,895,436.5,4218372,625,0.34,2303,259,659,434,2361667,7546,91.1578616352201,1,238,125,5296,23101,534.67,224837,996,24,0.0004312,152.473,789,267,816,110.693710691824,54.8479208570885,10.5211078642804,87.3176100628931,51.2450682636453,9.34438922899154,59.6559748427673,41.7231338492148,7.72372804044571,0.138899664402821,0.162182870620218,0.372692452838559,0.566524118939534,0.255704069185559,0.752677964962131,0.443669996300407,0.207508336302134,0.666085577310008,Amorpha fruticosa
5,2913,295161,120416,40632,2964,9309,3521.5,265877,60901,93.953,20316,60208,35.776,169.973,3842776,337,2.744,29.907,256,506,0.827,0.901,608.5,4892774,595,337,2.38,18.057,648,0.42,2617839,12.938,68.5585106382979,0,237,10,5.097,27441,760393,248152,997,0.018,0.0003993,71.37,0.808,242,823,90.9696048632219,46.9760104735496,9.5377987430655,62.3457446808511,42.8623767635972,7.8959321603501,41.7401215805471,35.7964718600687,6.46065953139052,0.138898282665002,0.194494625147289,0.372690599110042,0.637208487270987,0.258029531767937,0.798253397907574,0.366705405566482,0.177292977184191,0.605562057568407,Amorpha fruticosa
6,1835,244149,104,30851,3.371,6862,2242,225859,48.336,77715,15.426,52,28.742,153273,2519.983,297,2322,32484,0.216,465,818,925,407,3208542,0.572,297,2585,126273,622,387,1590851,3967,83.1674440298507,1,196,91,0,42907,1839001,155975,1,-0,0,171028,0.73,0.274,812,104.828824626866,43.4631815082756,10.238594856076,78.8152985074627,38.2751834463663,8.87779806638238,48.7103544776119,33.8661079327082,6.97928036960917,0.126893576494269,0.118160320256287,0.356221246550888,0.597178803961427,0.239399298384714,0.77277344931191,0.420783947907522,0.162304309556781,0.648678616810761,Amorpha fruticosa
7,1844,254392,103005,30576,3.369,7114,2302,225048,48455,80975,15288,51.502,32007,160375,2473572,297,2.527,35095,221,0.47,0.801,885,458,3149.45,585,297,2793,7489,598,358,1589608,12.541,95.1945799457995,1,209,92,2655,42907,1839001,156854,0.999,0.007,0.0001084,151.492,0.766,254,0.814,112.571815718157,47.9542540870145,10.6099866031092,93.2406504065041,44.9833612961836,9.65611984217802,59.6829268292683,38.4212968004485,7.72547259585252,0.138567278561047,0.121704006764923,0.372246260640785,0.545360183030163,0.240093572420874,0.738485059449521,0.451898613103779,0.181360446144626,0.672234046373567,Amorpha fruticosa
8,1787,223622,93814,31.56,2.973,7108,2095,210268,47.7,71181,15.78,46907,28.933,122145,2325.41,336,2.618,27984,259,508,853,0.94,308,2960805,604,336,2227,569,0.67,449,1563378,12206,95.2053469852105,0,213,145,3.288,42.237,1782001,152034,0.999,0.007,0.0001662,119546,0.783,302,0.839,116.704209328783,56.45762983278,10.8029722451177,92.0887372013652,49.4179217926709,9.59628767812664,54.8327645051195,40.198786305923,7.40491488844534,0.144501738573033,0.138930307951443,0.38013384297249,0.616665485808447,0.240157654483785,0.785280514089358,0.470782306096499,0.210200491822457,0.686135778178415,Amorpha fruticosa
9,2005,242208,98509,33.47,2943,7763,2402.5,217.789,50526,77097,16735,49254,30.007,101507,2589524,0.34,2978,29259,263,513,835,899,397.5,3297.084,608,0.34,2.328,0.916,655,429,1762.792,5.262,73.7900512070227,0,204,73,4533,26186,690904,170775,997,19,0.0003159,224707,0.798,226,775,91.597293343087,40.2409938378843,9.57064748818423,69.99524506218,39.2306404915771,8.36631609862907,46.5855888807608,35.9736938494981,6.82536364458047,0.142468012133622,0.161578610061049,0.377449350421513,0.581805879716145,0.265063438438544,0.762762007257929,0.369842362694895,0.15418542323809,0.608146662158805,Amorpha fruticosa
10,2867,311647,119854,39834,3009,10.629,4002,266718,60418,99.2,19917,59927,35753,221764,3749672,332,2401,33876,254,504,716,856,1135,4774.23,601,332,2696,725,609,371,2555353,10788,72.9025367156208,0,196,9,0,17.69,319.09,243695,1,-0,0,257.78,867,133,769,91.3758344459279,56.0387152960227,9.55907079406403,68.9038718291055,48.1665042253172,8.30083561029283,45.0293724966622,39.2446440836445,6.7103928720055,0.160730887868373,0.191326204043246,0.400912568858066,0.648987798080564,0.260779110403124,0.805597789272391,0.372988821696903,0.207731159403479,0.610728107832694,Amorpha fruticosa
