 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,1916,636.000,41.232,0,85,85,674.272,55.770,675.363,51.684,233.238,657,3,33,97,86.416,28.230,82.648,0.443,97.046,175199.000,0,-0.122,-0.663,0,175199.000,677,100,88.229,30.628,3.061,0.327,0.888,Test,233.238,97.046,30.628,3.169,7.090,2161.500,214.582,49.392,74.242,15.314,48.523,29.453,123.861,2334.496,0.316,2.646,28.392,0.259,0.509,0.886,0.920,245.500,2972.373,0.645,0.316,2.259,0.295,0.665,0.443,1682.762,7.260,0.000,NaN,NaN,162860,1.000,-0.000,0.000,49.060,0.620,0.304,0.819,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
2,2737,909.000,42.434,0,85,231,49.798,54.094,48.612,49.536,284.818,4,4,81,96,105.398,33.064,134.888,0.424,119.808,187145.000,0,0.460,-0.613,0,187145.000,5,5,127.539,37.848,3.188,0.314,0.849,Test,284.818,119.808,37.848,3.165,8.566,3224.000,263.477,59.033,90.660,18.924,59.904,34.983,213.913,3561.425,0.316,2.392,29.639,0.243,0.493,0.849,0.925,487.000,4534.547,0.604,0.316,2.359,0.443,0.651,0.424,2452.182,10.972,2.791,52.288,2732.000,232791,0.999,0.005,1.198E-4,161.368,0.773,0.260,0.818,255.000,15.969,0.000,0.086,0.293,4.492,0.075,0.273,3.899,85.053,0.009,0.478,254.925,3.899,255.000,0.000
3,3083,1023.000,42.300,0,85,85,316.995,60.428,318.585,55.482,285.262,274,4,81,96,101.682,38.605,57.467,0.476,115.365,289329.000,0,-0.311,-0.690,0,289329.000,274,89,47.459,42.663,2.634,0.380,0.850,Test,285.262,115.365,42.663,2.704,10.024,3633.000,267.002,62.653,90.802,21.331,57.682,37.162,185.387,3865.563,0.370,2.729,26.395,0.295,0.543,0.849,0.936,550.000,4921.788,0.626,0.370,2.100,1.321,0.690,0.476,2797.738,17.000,0.000,NaN,NaN,262055,1.000,-0.000,0.000,156.280,0.730,0.286,0.792,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
4,2638,878.000,39.416,0,85,221,586.543,50.793,584.713,49.770,276.333,550,4,68,96,97.649,34.397,50.230,0.434,111.306,176395.000,0,0.503,-0.176,0,176395.000,551,99,58.595,37.899,2.839,0.352,0.859,Test,276.333,111.306,37.899,2.937,8.792,3074.500,247.274,57.955,87.960,18.949,55.653,33.537,175.192,3313.102,0.340,2.534,28.946,0.271,0.521,0.858,0.895,436.500,4218.372,0.625,0.340,2.303,0.259,0.659,0.434,2361.667,7.546,5.296,23.101,534.670,224837,0.996,0.024,4.312E-4,152.473,0.789,0.267,0.816,254.863,15.964,3.174,0.410,0.640,9.420,0.418,0.647,9.622,85.230,0.244,5.639,254.605,9.079,254.941,1.416
5,2913,969.000,42.346,0,85,245,404.243,58.640,407.141,53.095,295.161,364,5,80,94,101.375,36.587,57.685,0.420,120.416,264076.000,0,-0.099,-0.612,0,264076.000,364,95,48.366,40.632,2.771,0.361,0.830,Test,295.161,120.416,40.632,2.964,9.309,3521.500,265.877,60.901,93.953,20.316,60.208,35.776,169.973,3842.776,0.337,2.744,29.907,0.256,0.506,0.827,0.901,608.500,4892.774,0.595,0.337,2.380,18.057,0.648,0.420,2617.839,12.938,5.097,27.441,760.393,248152,0.997,0.018,3.993E-4,71.370,0.808,0.242,0.823,254.957,15.967,1.312,0.320,0.565,8.638,0.287,0.536,7.776,85.188,0.087,2.493,254.691,8.351,254.974,0.863
6,1835,609.000,42.471,0,85,85,493.125,61.196,494.953,56.350,244.149,468,5,50,96,82.096,28.459,57.832,0.387,104.000,154515.000,0,0.059,-0.866,0,154515.000,478,101,67.380,30.851,2.885,0.347,0.819,Test,244.149,104.000,30.851,3.371,6.862,2242.000,225.859,48.336,77.715,15.426,52.000,28.742,153.273,2519.983,0.297,2.322,32.484,0.216,0.465,0.818,0.925,407.000,3208.542,0.572,0.297,2.585,126.273,0.622,0.387,1590.851,3.967,0.000,NaN,NaN,155975,1.000,-0.000,0.000,171.028,0.730,0.274,0.812,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
7,1844,612.000,47.552,0,85,199,128.143,51.934,129.461,50.438,254.392,93,20,84,64,87.894,26.712,150.562,0.358,103.005,168087.000,0,-0.091,-0.933,0,168087.000,94,20,143.686,30.576,3.290,0.304,0.805,Test,254.392,103.005,30.576,3.369,7.114,2302.000,225.048,48.455,80.975,15.288,51.502,32.007,160.375,2473.572,0.297,2.527,35.095,0.221,0.470,0.801,0.885,458.000,3149.450,0.585,0.297,2.793,7.489,0.598,0.358,1589.608,12.541,2.655,42.907,1839.001,156854,0.999,0.007,1.084E-4,151.492,0.766,0.254,0.814,254.970,15.968,1.304,0.114,0.338,4.914,0.101,0.318,4.355,85.062,0.034,1.467,254.877,5.263,254.976,1.025
8,1787,593.000,47.948,0,85,224,216.018,47.173,218.145,44.573,223.622,183,27,82,50,80.393,28.302,24.798,0.449,93.814,166002.000,0,-0.108,-0.952,0,166002.000,185,77,31.487,31.560,2.841,0.352,0.859,Test,223.622,93.814,31.560,2.973,7.108,2095.000,210.268,47.700,71.181,15.780,46.907,28.933,122.145,2325.410,0.336,2.618,27.984,0.259,0.508,0.853,0.940,308.000,2960.805,0.604,0.336,2.227,0.569,0.670,0.449,1563.378,12.206,3.288,42.237,1782.001,152034,0.999,0.007,1.662E-4,119.546,0.783,0.302,0.839,255.000,15.969,0.000,0.129,0.360,5.464,0.105,0.323,4.424,85.078,0.015,0.639,254.895,4.424,255.000,0.000
9,2005,667.000,40.416,0,85,218,223.262,153.986,224.333,151.621,242.208,204,108,39,98,84.284,30.289,77.921,0.429,98.509,174021.000,0,0.076,-0.761,0,174021.000,213,206,84.174,33.470,2.783,0.359,0.854,Test,242.208,98.509,33.470,2.943,7.763,2402.500,217.789,50.526,77.097,16.735,49.254,30.007,101.507,2589.524,0.340,2.978,29.259,0.263,0.513,0.835,0.899,397.500,3297.084,0.608,0.340,2.328,0.916,0.655,0.429,1762.792,5.262,4.533,26.186,690.904,170775,0.997,0.019,3.159E-4,224.707,0.798,0.226,0.775,254.895,15.965,2.796,0.322,0.568,8.335,0.307,0.554,7.933,85.175,0.167,4.313,254.672,8.476,254.941,1.586
10,2867,951.000,39.219,0,85,85,133.641,148.231,134.206,146.568,311.647,94,109,80,96,104.215,35.027,123.992,0.371,119.854,209462.000,0,0.285,-0.621,0,209462.000,95,114,130.601,39.834,2.975,0.336,0.829,Test,311.647,119.854,39.834,3.009,10.629,4002.000,266.718,60.418,99.200,19.917,59.927,35.753,221.764,3749.672,0.332,2.401,33.876,0.254,0.504,0.716,0.856,1135.000,4774.230,0.601,0.332,2.696,0.725,0.609,0.371,2555.353,10.788,0.000,NaN,NaN,243695,1.000,-0.000,0.000,257.780,0.867,0.133,0.769,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
