 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,15502,5147.000,30.380,0,85,85,64.038,88.722,66.805,77.766,489.931,4,4,116,168,170.799,115.561,85.073,0.812,170.000,1362344.000,0,-0.767,-0.216,0,1362344.000,61,172,81.203,114.794,1.478,0.677,0.971,Test,489.931,170.000,114.794,1.481,29.934,15987.000,463.661,140.491,155.950,57.397,85.000,72.596,90.162,15326.965,0.675,7.645,15.484,0.683,0.826,0.970,0.946,485.000,19514.898,0.794,0.675,1.232,0.018,0.901,0.812,15012.069,8.966,0.000,NaN,NaN,1317670,1.000,-0.000,0.000,35.842,0.984,0.675,0.955,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
2,15172,5037.000,30.044,0,85,85,688.685,89.017,689.102,83.399,475.931,629,4,116,167,167.473,115.347,94.696,0.842,169.169,2077293.000,0,-0.964,1.751,0,2077293.000,685,4,99.184,114.852,1.452,0.689,0.981,Test,475.931,169.169,114.852,1.473,29.157,15495.500,455.594,138.988,151.494,57.426,84.584,72.176,63.618,15259.760,0.679,9.049,14.929,0.675,0.822,0.979,0.957,323.500,19429.330,0.781,0.679,1.188,0.004,0.917,0.842,14696.069,12.266,0.000,NaN,NaN,1289620,1.000,-0.000,0.000,38.046,0.984,0.672,0.956,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
3,8677,2881.000,24.657,0,85,85,560.412,88.921,558.210,85.786,367.505,503,35,118,105,132.855,83.158,146.833,0.807,134.183,930065.000,0,-0.921,1.482,0,930065.000,510,42,140.140,82.287,1.598,0.626,0.973,Test,367.505,134.183,82.287,1.631,21.606,9108.000,351.226,105.109,116.980,41.144,67.091,51.518,84.307,8672.000,0.613,5.611,15.565,0.614,0.783,0.953,0.956,431.000,11041.533,0.786,0.613,1.239,0.003,0.899,0.807,8309.495,21.639,0.000,NaN,NaN,737545,1.000,-0.000,0.000,38.856,0.984,0.685,0.960,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
4,8002,2657.000,52.755,0,85,179,310.634,85.978,311.539,75.499,353.647,253,37,118,100,133.440,76.352,35.003,0.804,133.454,853462.000,0,-0.168,-1.200,0,853462.000,256,122,32.142,76.717,1.748,0.572,0.976,Test,353.647,133.454,76.717,1.740,20.043,8403.000,339.710,100.938,112.569,38.358,66.727,49.550,106.653,8041.048,0.575,4.798,15.629,0.572,0.756,0.952,0.961,401.000,10238.180,0.782,0.575,1.244,0.017,0.897,0.804,7648.353,1.203,1.051,89.437,7997.000,680264,1.000,0.002,1.698E-5,39.635,0.983,0.690,0.961,254.994,15.969,0.581,0.022,0.148,1.967,0.020,0.140,1.755,85.012,0.002,0.190,254.975,2.213,254.994,0.581
5,7974,2699.000,53.411,0,85,209,185.261,86.519,187.202,77.181,369.789,128,39,118,98,128.771,78.844,30.464,0.733,127.945,983696.000,0,-0.480,-1.063,0,983696.000,134,123,31.578,79.182,1.633,0.612,0.967,Test,369.789,127.945,79.182,1.616,20.621,8288.500,336.916,100.761,117.707,39.591,63.973,49.089,81.785,7956.831,0.619,5.428,17.149,0.620,0.788,0.962,0.911,314.500,10130.952,0.787,0.619,1.365,0.066,0.856,0.733,7604.211,4.489,13.916,8.235,65.886,691085,0.972,0.157,0.003,41.227,0.982,0.692,0.960,254.942,15.967,0.988,2.775,1.666,23.155,2.284,1.511,19.058,86.667,0.224,1.895,252.673,19.427,254.942,0.988
6,7925,2631.000,37.303,0,85,85,814.447,86.703,811.401,80.629,343.220,753,44,118,87,120.003,84.085,170.392,0.845,118.950,853653.000,0,-0.690,-0.432,0,853653.000,753,84,172.755,83.900,1.427,0.701,0.975,Test,343.220,118.950,83.900,1.418,22.517,8414.500,328.771,100.451,109.250,41.950,59.475,51.889,35.342,7838.174,0.705,8.728,14.864,0.713,0.844,0.942,0.958,489.500,9979.873,0.794,0.705,1.183,0.017,0.919,0.845,7581.780,6.378,0.000,NaN,NaN,673625,1.000,-0.000,0.000,44.130,0.982,0.684,0.959,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
7,7509,2493.000,43.809,0,85,158,436.292,87.037,438.440,78.160,339.907,379,47,117,81,121.395,78.758,7.173,0.817,118.596,685643.000,0,-0.487,-0.824,0,685643.000,381,110,17.671,77.761,1.541,0.649,0.969,Test,339.907,118.596,77.761,1.525,21.931,8171.000,324.612,97.779,108.196,38.880,59.298,51.441,44.132,7243.026,0.656,7.743,15.386,0.680,0.824,0.919,0.955,662.000,9222.107,0.814,0.656,1.224,0.006,0.904,0.817,7169.093,4.800,1.183,61.254,3750.215,638410,0.999,0.004,2.153E-5,40.817,0.983,0.695,0.962,254.977,15.968,1.388,0.037,0.192,2.252,0.044,0.209,2.668,85.019,0.059,3.599,254.945,3.387,254.977,1.388
8,11720,3893.000,32.071,0,85,201,434.129,267.097,434.760,259.103,433.002,378,193,116,143,153.166,97.426,119.218,0.786,152.611,1271360.000,0,-0.419,-0.286,0,1271360.000,406,194,114.382,96.949,1.572,0.636,0.976,Test,433.002,152.611,96.949,1.574,26.452,12682.000,404.347,122.157,137.829,48.475,76.305,61.137,104.949,11620.331,0.635,5.968,15.998,0.641,0.800,0.924,0.934,962.000,14795.465,0.792,0.635,1.273,0.015,0.886,0.786,11286.998,10.469,2.052,54.209,2940.481,996644,0.999,0.005,6.474E-5,84.764,0.982,0.259,0.869,254.989,15.968,0.626,0.069,0.264,3.759,0.055,0.235,2.988,85.038,0.010,0.547,254.937,3.442,254.989,0.626
9,9648,3204.000,34.876,0,85,198,684.842,264.229,684.380,257.218,380.617,628,206,118,118,137.114,89.592,44.277,0.837,136.033,1138317.000,0,-0.792,0.263,0,1138317.000,641,319,51.866,89.332,1.530,0.653,0.975,Test,380.617,136.033,89.332,1.523,26.289,11235.000,366.037,110.834,121.154,44.666,68.017,54.384,84.830,9544.269,0.657,5.905,15.015,0.664,0.815,0.859,0.962,1587.000,12152.141,0.794,0.657,1.195,0.008,0.915,0.837,9267.383,15.542,1.981,50.287,2565.580,820466,0.999,0.006,6.034E-5,85.566,0.983,0.235,0.860,254.986,15.968,0.925,0.068,0.261,3.340,0.066,0.257,3.253,85.040,0.001,0.066,254.922,3.850,254.986,0.925
10,9451,3138.000,27.543,0,85,85,314.203,263.455,314.967,258.186,377.304,253,208,117,114,131.321,91.633,138.321,0.834,131.655,983181.000,0,-1.187,1.242,0,983181.000,271,216,128.524,90.893,1.433,0.698,0.972,Test,377.304,131.655,90.893,1.448,27.039,11183.500,360.398,109.697,120.099,45.447,65.827,54.111,64.425,9398.484,0.690,6.742,15.063,0.694,0.833,0.845,0.955,1732.500,11966.521,0.790,0.690,1.199,0.031,0.913,0.834,9073.696,5.232,0.000,NaN,NaN,803335,1.000,-0.000,0.000,75.954,0.984,0.249,0.868,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
