 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,1586,527.000,43.267,0,85,215,175.383,31.319,175.556,28.752,182.409,156,3,37,61,59.433,33.977,110.504,0.599,65.000,233703.000,0,-0.668,-0.281,0,233703.000,163,4,112.620,36.590,1.749,0.572,0.923,Test,182.409,65.000,36.590,1.776,8.440,1723.500,159.987,44.937,58.063,18.295,32.500,23.792,26.614,1867.964,0.563,4.612,20.979,0.478,0.691,0.920,0.877,137.500,2378.366,0.667,0.563,1.669,0.025,0.774,0.599,1403.591,6.304,3.264,39.787,1581.001,134940,0.999,0.008,1.638E-4,44.395,0.811,0.401,0.829,254.969,15.968,1.230,0.144,0.380,5.750,0.133,0.365,5.298,85.082,0.059,2.360,254.855,5.775,254.984,0.653
2,1549,514.000,34.953,0,85,214,23.481,32.601,23.488,31.492,189.622,3,4,42,61,61.397,32.123,114.835,0.541,67.978,227921.000,0,-0.708,0.295,0,227921.000,14,4,116.188,35.330,1.911,0.523,0.905,Test,189.622,67.978,35.330,1.924,8.080,1725.500,164.632,44.410,60.359,17.665,33.989,24.140,36.432,1886.253,0.520,3.999,23.213,0.427,0.653,0.898,0.868,176.500,2401.652,0.645,0.520,1.847,0.032,0.736,0.541,1359.378,4.376,3.278,39.319,1544.001,131794,0.999,0.008,1.652E-4,65.413,0.807,0.405,0.835,254.962,15.968,1.499,0.151,0.389,5.946,0.138,0.371,5.412,85.083,0.067,2.642,254.862,5.437,254.986,0.534
3,1042,350.000,47.825,0,85,239,424.884,37.315,425.295,35.833,230.492,407,5,35,60,58.826,22.553,118.800,0.246,67.535,185737.000,0,-1.062,0.465,0,185737.000,407,5,117.324,28.454,2.608,0.383,0.797,Test,230.492,67.535,28.454,2.373,6.245,1325.000,152.559,36.424,73.368,14.227,33.768,19.890,52.088,1509.278,0.421,2.756,50.985,0.291,0.539,0.786,0.662,283.000,1921.673,0.542,0.421,4.057,0.259,0.496,0.246,811.508,1.903,12.777,10.725,113.738,89808,0.983,0.097,0.003,124.949,0.761,0.410,0.836,254.639,15.957,4.388,2.055,1.433,22.050,1.868,1.367,20.051,86.187,0.773,8.769,253.132,20.022,254.852,1.920
4,1062,353.000,35.288,0,85,216,225.734,32.981,224.711,31.406,147.581,203,13,43,41,52.358,25.826,134.563,0.613,55.227,160985.000,0,-0.915,0.316,0,160985.000,205,13,132.064,27.800,2.027,0.493,0.921,Test,147.581,55.227,27.800,1.987,7.020,1218.000,133.498,36.772,46.976,13.900,27.613,18.696,20.961,1205.826,0.503,4.084,20.509,0.443,0.666,0.872,0.905,156.000,1535.305,0.692,0.503,1.632,0.013,0.783,0.613,914.419,5.132,4.020,32.542,1057.001,90401,0.998,0.011,2.484E-4,108.875,0.732,0.386,0.825,254.958,15.967,1.381,0.210,0.458,6.843,0.202,0.449,6.567,85.123,0.092,3.007,254.773,7.395,254.970,0.982
5,862,286.000,54.476,0,85,85,126.131,33.529,125.365,31.911,135.095,103,16,44,35,47.381,23.164,37.172,0.594,53.009,117264.000,0,-0.707,-0.623,0,117264.000,103,51,35.789,26.800,2.045,0.489,0.900,Test,135.095,53.009,26.800,1.978,6.041,1006.000,124.092,33.129,43.002,13.400,26.505,17.236,22.519,1115.778,0.506,3.632,21.173,0.391,0.625,0.857,0.919,144.000,1420.653,0.607,0.506,1.685,0.324,0.770,0.594,726.905,3.251,0.000,NaN,NaN,73270,1.000,-0.000,0.000,109.829,0.781,0.392,0.831,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
6,678,225.000,39.408,0,85,85,276.807,33.552,275.888,32.832,129.196,252,20,44,27,39.752,21.716,166.584,0.510,45.122,112170.000,0,-0.761,0.902,0,112170.000,252,30,167.196,23.401,1.830,0.546,0.865,Test,129.196,45.122,23.401,1.928,5.601,794.000,110.886,29.381,41.124,11.700,22.561,15.884,13.407,829.298,0.519,4.338,24.619,0.424,0.651,0.854,0.858,116.000,1055.895,0.642,0.519,1.959,2.640,0.714,0.510,548.804,1.658,0.000,NaN,NaN,57630,1.000,-0.000,0.000,115.665,0.793,0.443,0.841,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
7,664,220.000,52.802,0,85,202,77.038,33.258,76.840,32.112,138.510,52,22,46,24,42.379,19.950,164.479,0.435,48.083,101834.000,0,-1.167,0.462,0,101834.000,52,26,163.072,21.965,2.124,0.471,0.872,Test,138.510,48.083,21.965,2.189,5.551,838.500,111.848,29.076,44.089,10.983,24.042,16.348,16.817,829.498,0.457,3.987,28.893,0.366,0.605,0.792,0.808,174.500,1056.149,0.629,0.457,2.299,0.483,0.659,0.435,525.490,0.260,4.540,25.710,659.002,56557,0.997,0.016,3.169E-4,145.712,0.799,0.416,0.837,254.873,15.965,3.260,0.331,0.576,8.538,0.322,0.568,8.305,85.176,0.184,4.735,254.700,7.723,254.947,1.358
8,718,238.000,51.848,0,85,85,323.681,32.987,324.529,31.676,129.196,302,22,46,22,43.661,20.938,0.855,0.541,46.390,88018.000,0,-0.498,-0.652,0,88018.000,302,36,7.431,22.000,2.085,0.480,0.903,Test,129.196,46.390,22.000,2.109,5.832,850.000,111.984,30.236,41.124,11.000,23.195,17.408,14.764,801.556,0.474,4.530,23.247,0.425,0.652,0.845,0.867,132.000,1020.572,0.704,0.474,1.850,0.274,0.735,0.541,588.804,10.729,0.000,NaN,NaN,61030,1.000,-0.000,0.000,150.607,0.742,0.420,0.818,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
9,637,211.000,60.167,0,85,205,372.195,32.973,372.571,31.131,132.267,352,23,47,22,42.828,18.937,16.132,0.458,49.041,81426.000,0,-0.769,-0.755,0,81426.000,352,41,16.587,21.496,2.262,0.442,0.870,Test,132.267,49.041,21.496,2.281,5.650,870.500,112.787,28.479,42.102,10.748,24.520,16.933,26.877,827.954,0.438,3.266,27.464,0.337,0.581,0.732,0.853,233.500,1054.183,0.604,0.438,2.186,0.228,0.676,0.458,504.733,3.784,4.755,25.179,632.002,54265,0.997,0.017,3.475E-4,190.121,0.734,0.408,0.838,254.879,15.965,3.051,0.345,0.588,8.717,0.342,0.585,8.637,85.189,0.196,4.953,254.675,8.202,254.945,1.387
10,1269,421.000,36.054,0,85,203,125.234,98.491,125.527,97.264,178.066,108,72,33,63,59.086,27.346,110.257,0.503,67.067,189229.000,0,-0.692,-0.123,0,189229.000,112,72,110.056,31.045,2.161,0.463,0.898,Test,178.066,67.067,31.045,2.160,8.417,1773.500,155.663,40.196,56.680,15.522,33.534,21.666,42.067,1635.254,0.463,3.341,24.986,0.359,0.599,0.716,0.874,504.500,2082.070,0.609,0.463,1.988,1.162,0.709,0.503,1090.934,5.796,3.312,35.581,1264.001,107983,0.998,0.009,1.687E-4,301.859,0.863,0.382,0.841,254.942,15.967,2.077,0.175,0.418,6.232,0.162,0.403,5.783,85.093,0.087,3.088,254.836,5.839,254.974,0.926
