 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,1361,452.000,46.828,0,85,222,20.064,30.755,20.265,27.144,151.539,4,4,34,54,53.260,32.536,100.025,0.745,54.781,148289.000,0,-0.257,-0.859,0,148289.000,8,4,111.413,32.810,1.637,0.611,0.946,Test,151.539,54.781,32.810,1.670,8.405,1446.500,144.223,41.628,48.236,16.405,27.391,21.897,13.536,1411.646,0.599,5.952,16.873,0.577,0.760,0.941,0.952,85.500,1797.364,0.757,0.599,1.343,0.062,0.863,0.745,1209.461,1.638,3.714,36.851,1356.001,115822,0.999,0.009,2.120E-4,111.453,0.741,0.463,0.904,254.988,15.968,0.461,0.162,0.402,5.963,0.153,0.391,5.638,85.101,0.012,0.434,254.836,6.045,254.988,0.461
2,831,275.000,45.347,0,85,85,194.316,32.039,195.058,30.220,123.782,176,13,34,37,40.813,25.924,59.821,0.682,43.139,106606.000,0,-0.295,-0.720,0,106606.000,176,46,44.061,27.727,1.574,0.635,0.905,Test,123.782,43.139,27.727,1.556,7.253,983.000,113.483,32.528,39.401,13.864,21.570,17.064,7.709,939.442,0.643,6.146,18.438,0.569,0.754,0.845,0.917,152.000,1196.134,0.695,0.643,1.467,0.256,0.826,0.682,707.218,3.312,0.000,NaN,NaN,70635,1.000,-0.000,0.000,158.712,0.732,0.473,0.900,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
3,541,179.000,44.978,0,85,85,282.391,31.848,282.563,30.163,117.439,261,13,37,35,42.320,16.277,42.183,0.493,48.104,51181.000,0,-0.020,-0.610,0,51181.000,262,48,46.685,19.053,2.600,0.385,0.870,Test,117.439,48.104,19.053,2.525,4.242,641.000,109.899,26.245,37.382,9.527,24.052,14.882,28.404,719.846,0.396,2.792,25.493,0.298,0.546,0.844,0.936,100.000,916.536,0.590,0.396,2.029,0.406,0.702,0.493,423.561,9.224,0.000,NaN,NaN,45985,1.000,-0.000,0.000,240.738,0.635,0.466,0.893,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
4,770,256.000,54.049,0,85,215,152.343,29.829,152.375,26.879,119.681,132,14,36,33,39.054,25.104,138.946,0.676,42.720,80856.000,0,-0.154,-1.141,0,80856.000,132,21,147.426,26.745,1.556,0.643,0.912,Test,119.681,42.720,26.745,1.597,6.553,879.500,109.723,31.311,38.096,13.373,21.360,15.674,8.654,897.358,0.626,5.328,18.602,0.537,0.733,0.875,0.917,109.500,1142.552,0.674,0.626,1.480,0.096,0.822,0.676,650.319,4.223,4.685,27.695,765.001,65580,0.997,0.014,3.374E-4,32.926,0.844,0.477,0.911,254.940,15.967,1.658,0.296,0.544,8.217,0.271,0.521,7.532,85.169,0.110,3.063,254.696,8.433,254.965,0.973
5,546,181.000,44.425,0,85,85,62.940,30.445,62.352,29.764,98.811,46,18,36,26,38.021,18.284,29.518,0.703,39.825,58357.000,0,-0.282,-0.491,0,58357.000,47,44,28.496,19.692,2.079,0.481,0.913,Test,98.811,39.825,19.692,2.022,4.852,607.000,97.119,26.366,31.453,9.846,19.912,13.559,15.162,615.925,0.494,3.482,17.882,0.438,0.662,0.900,0.983,61.000,784.221,0.696,0.494,1.423,0.101,0.838,0.703,447.189,3.282,0.000,NaN,NaN,46410,1.000,-0.000,0.000,109.082,0.572,0.413,0.900,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
6,642,214.000,55.438,0,85,229,235.949,30.087,236.156,28.347,104.912,218,19,37,24,36.814,22.204,162.338,0.733,38.601,67784.000,0,-0.055,-0.893,0,67784.000,218,19,163.443,23.212,1.658,0.603,0.931,Test,104.912,38.601,23.212,1.663,7.331,889.000,101.446,28.591,33.394,11.606,19.300,14.653,7.257,703.710,0.601,5.439,17.144,0.549,0.741,0.722,0.967,247.000,895.992,0.717,0.601,1.364,0.053,0.856,0.733,537.088,6.087,7.704,17.884,318.425,54846,0.994,0.034,9.118E-4,63.340,0.668,0.426,0.908,254.974,15.968,0.671,0.687,0.829,12.314,0.629,0.793,11.266,85.430,0.048,0.986,254.347,11.694,254.974,0.671
7,553,183.000,44.266,0,85,85,106.453,30.769,106.509,29.692,98.569,88,20,37,21,34.633,20.331,4.309,0.715,37.121,68428.000,0,-0.490,-0.432,0,68428.000,88,34,175.365,21.000,1.703,0.587,0.913,Test,98.569,37.121,21.000,1.768,6.050,705.500,94.717,26.535,31.375,10.500,18.561,14.416,6.917,612.257,0.566,5.481,17.569,0.511,0.715,0.784,0.961,152.500,779.550,0.709,0.566,1.398,0.616,0.846,0.715,454.431,8.123,0.000,NaN,NaN,47005,1.000,-0.000,0.000,133.837,0.739,0.474,0.898,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
8,973,323.000,48.587,0,85,85,192.651,95.126,191.364,91.924,142.368,178,67,28,54,48.083,25.765,96.428,0.603,56.045,91230.000,0,-0.087,-0.923,0,91230.000,191,67,105.524,27.153,1.866,0.536,0.903,Test,142.368,56.045,27.153,2.064,6.688,1177.500,133.885,35.197,45.317,13.576,28.022,19.954,20.785,1195.199,0.484,4.377,20.831,0.394,0.628,0.826,0.940,204.500,1521.774,0.639,0.484,1.658,0.350,0.777,0.603,830.632,8.308,0.000,NaN,NaN,82705,1.000,-0.000,0.000,86.379,0.951,0.345,0.810,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
9,1226,407.000,52.819,0,85,214,105.988,92.149,106.498,88.494,150.024,90,68,33,51,50.493,30.915,103.664,0.685,51.624,143513.000,0,-0.185,-1.111,0,143513.000,96,68,98.915,31.575,1.633,0.612,0.933,Test,150.024,51.624,31.575,1.635,9.573,1552.500,137.874,39.509,47.754,15.787,25.812,21.290,13.782,1280.200,0.612,5.735,18.358,0.586,0.765,0.790,0.919,326.500,1630.001,0.752,0.612,1.461,1.514,0.827,0.685,1075.976,7.311,3.684,34.971,1221.001,104339,0.998,0.010,2.087E-4,129.672,0.917,0.333,0.770,254.976,15.968,0.857,0.178,0.422,6.226,0.163,0.404,5.712,85.105,0.024,0.857,254.815,6.483,254.976,0.857
10,1042,346.000,44.482,0,85,220,278.644,92.030,278.109,90.145,160.752,263,68,32,52,49.643,26.725,70.652,0.507,55.027,111602.000,0,0.062,-0.571,0,111602.000,276,120,70.907,28.235,1.858,0.538,0.901,Test,160.752,55.027,28.235,1.949,8.654,1496.000,134.567,36.424,51.169,14.117,27.514,19.974,17.365,1220.249,0.513,4.793,24.800,0.438,0.662,0.697,0.837,454.000,1553.669,0.671,0.513,1.973,0.103,0.712,0.507,881.248,6.439,5.552,22.913,525.336,88823,0.996,0.022,4.738E-4,97.005,0.947,0.334,0.790,254.877,15.965,2.860,0.438,0.662,9.990,0.414,0.643,9.440,85.243,0.215,4.909,254.589,9.376,254.948,1.233
11,737,245.000,47.616,0,85,226,147.393,92.595,146.874,90.624,116.125,132,77,36,32,36.411,25.772,40.660,0.687,42.438,76127.000,0,-0.159,-0.625,0,76127.000,133,109,34.439,26.870,1.413,0.708,0.903,Test,116.125,42.438,26.870,1.579,6.413,855.000,108.550,30.633,36.964,13.435,21.219,15.676,6.821,895.603,0.633,6.002,18.297,0.521,0.722,0.862,0.935,118.000,1140.317,0.646,0.633,1.456,4.363,0.829,0.687,620.875,6.755,5.194,27.092,732.001,62786,0.997,0.015,4.147E-4,116.857,0.946,0.349,0.796,254.934,15.967,1.805,0.320,0.566,8.693,0.320,0.566,8.693,85.191,0.172,4.678,254.697,8.214,254.974,0.700
12,634,210.000,44.241,0,85,85,61.533,94.412,61.438,92.837,107.397,46,80,36,27,38.325,21.063,150.321,0.691,42.720,59975.000,0,-0.190,-0.760,0,59975.000,46,80,147.426,23.085,1.820,0.550,0.928,Test,107.397,42.720,23.085,1.851,6.881,923.500,102.957,28.412,34.186,11.542,21.360,14.392,12.541,774.541,0.540,4.064,18.193,0.442,0.665,0.687,0.959,289.500,986.176,0.643,0.540,1.448,0.081,0.831,0.691,526.603,5.625,0.000,NaN,NaN,53890,1.000,-0.000,0.000,112.206,0.939,0.331,0.787,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
13,566,187.000,47.272,0,85,85,19.481,94.311,19.510,92.814,101.154,3,82,37,23,36.904,19.528,168.299,0.695,38.897,59743.000,0,-0.404,-0.768,0,59743.000,3,83,162.031,20.391,1.890,0.529,0.909,Test,101.154,38.897,20.391,1.908,6.440,787.000,98.713,26.845,32.198,10.196,19.449,14.789,9.707,622.957,0.524,4.747,18.078,0.476,0.690,0.719,0.976,221.000,793.173,0.714,0.524,1.439,1.562,0.834,0.695,464.846,8.097,0.000,NaN,NaN,48110,1.000,-0.000,0.000,122.671,0.915,0.323,0.763,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
14,509,170.000,52.665,0,85,240,235.801,93.881,236.050,92.444,106.468,219,82,35,23,33.907,19.114,18.205,0.564,36.688,68379.000,0,-0.878,-0.217,0,68379.000,219,104,17.447,20.801,1.774,0.564,0.869,Test,106.468,36.688,20.801,1.764,5.436,626.500,94.199,25.457,33.890,10.401,18.344,13.479,10.104,599.380,0.567,4.241,22.270,0.481,0.694,0.812,0.885,117.500,763.154,0.667,0.567,1.772,0.246,0.751,0.564,402.532,4.290,8.494,16.425,273.365,43533,0.992,0.041,0.001,102.717,0.945,0.331,0.779,254.870,15.965,2.925,0.894,0.945,14.351,0.815,0.903,12.996,85.527,0.354,6.390,254.120,14.051,254.900,2.261
