 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,659,218.000,37.020,0,85,85,149.803,20.576,148.990,19.443,105.983,137,3,27,35,34.417,24.379,73.338,0.737,35.693,43694.000,0,0.560,-0.248,0,43694.000,144,3,101.310,26.121,1.412,0.708,0.904,Test,105.983,35.693,26.121,1.366,6.608,741.000,99.382,28.967,33.735,13.061,17.847,14.748,6.788,732.267,0.732,5.661,17.045,0.659,0.812,0.889,0.938,82.000,932.351,0.707,0.732,1.356,0.910,0.859,0.737,553.017,6.750,0.000,NaN,NaN,56015,1.000,-0.000,0.000,14.859,0.585,0.017,0.511,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
2,916,305.000,29.687,0,85,230,21.582,20.307,21.386,19.271,128.326,4,4,35,32,39.069,29.852,133.923,0.699,43.932,164237.000,0,-1.187,1.555,0,164237.000,5,5,138.691,32.000,1.309,0.764,0.937,Test,128.326,43.932,32.000,1.373,7.318,1010.000,116.628,34.151,40.847,16.000,21.966,16.070,9.078,1104.126,0.728,5.334,17.978,0.604,0.777,0.907,0.909,94.000,1405.816,0.652,0.728,1.431,0.409,0.836,0.699,787.674,13.358,6.748,21.331,453.024,78149,0.996,0.025,6.999E-4,50.593,0.911,0.018,0.525,255.000,15.969,0.000,0.539,0.734,11.535,0.407,0.638,8.710,85.316,0.081,1.728,254.593,8.710,255.000,0.000
3,698,231.000,28.674,0,85,85,64.271,19.703,64.250,18.596,101.497,50,4,27,33,33.743,26.338,95.435,0.851,34.785,108619.000,0,-1.275,1.893,0,108619.000,60,37,71.565,27.000,1.281,0.781,0.945,Test,101.497,34.785,27.000,1.288,6.996,764.500,99.010,29.811,32.308,13.500,17.393,15.497,2.649,737.643,0.776,9.522,14.759,0.734,0.857,0.913,0.975,66.500,939.196,0.743,0.776,1.174,0.049,0.923,0.851,596.503,6.424,0.000,NaN,NaN,59330,1.000,-0.000,0.000,12.231,0.548,0.018,0.526,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
4,669,222.000,32.004,0,85,85,105.206,19.554,105.116,18.414,104.083,94,4,25,34,34.685,24.558,81.741,0.776,35.114,115186.000,0,-1.517,3.290,0,115186.000,97,4,109.983,25.000,1.412,0.708,0.940,Test,104.083,35.114,25.000,1.405,6.726,742.000,99.381,29.186,33.131,12.500,17.557,15.086,6.613,689.464,0.712,5.867,16.193,0.691,0.831,0.902,0.955,73.000,877.852,0.762,0.712,1.289,0.108,0.881,0.776,564.917,3.236,0.000,NaN,NaN,56865,1.000,-0.000,0.000,12.144,0.570,0.018,0.525,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
5,826,274.000,45.150,0,85,85,193.246,19.088,193.086,16.444,114.083,176,6,35,28,37.077,28.365,8.827,0.798,39.446,84795.000,0,-0.108,-1.006,0,84795.000,176,29,30.466,28.000,1.307,0.765,0.942,Test,114.083,39.446,28.000,1.409,7.682,952.000,109.860,32.430,36.314,14.000,19.723,16.894,3.917,867.466,0.710,8.536,15.757,0.676,0.822,0.868,0.963,126.000,1104.493,0.748,0.710,1.254,0.298,0.893,0.798,711.917,0.261,0.000,NaN,NaN,70210,1.000,-0.000,0.000,107.103,0.872,0.017,0.524,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
6,720,239.000,42.492,0,85,85,235.369,20.453,235.450,19.060,115.640,218,6,36,27,35.983,25.477,173.929,0.677,36.878,123298.000,0,-0.751,-0.322,0,123298.000,218,24,12.529,27.000,1.412,0.708,0.920,Test,115.640,36.878,27.000,1.366,6.862,795.000,102.673,30.278,36.809,13.500,18.439,14.637,7.755,782.029,0.732,5.256,18.573,0.674,0.821,0.906,0.888,75.000,995.711,0.723,0.732,1.478,0.044,0.823,0.677,604.360,7.390,0.000,NaN,NaN,61200,1.000,-0.000,0.000,162.743,0.893,0.019,0.533,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
7,658,221.000,46.253,0,85,226,278.635,20.266,278.577,19.366,119.539,260,7,38,25,36.819,22.754,170.838,0.579,38.328,98072.000,0,-0.871,0.386,0,98072.000,261,13,164.876,25.000,1.618,0.618,0.892,Test,119.539,38.328,25.000,1.533,6.274,755.500,101.390,28.945,38.050,12.500,19.164,14.672,8.096,752.559,0.652,5.157,21.717,0.570,0.755,0.871,0.848,97.500,958.188,0.687,0.652,1.728,0.360,0.761,0.579,538.461,7.068,12.386,10.413,106.973,56709,0.982,0.095,0.002,214.732,0.907,0.024,0.551,254.784,15.962,3.256,2.038,1.428,21.278,1.725,1.313,17.998,86.182,0.392,4.864,253.147,19.372,254.827,2.364
8,685,227.000,34.416,0,85,85,20.862,60.376,20.510,58.915,103.154,8,43,25,34,35.083,24.860,94.263,0.809,35.847,110901.000,0,-0.743,0.118,0,110901.000,13,44,112.989,25.000,1.411,0.709,0.933,Test,103.154,35.847,25.000,1.434,7.090,798.500,99.725,29.533,32.835,12.500,17.923,14.938,5.943,703.852,0.697,6.128,15.534,0.679,0.824,0.858,0.967,113.500,896.172,0.764,0.697,1.236,0.035,0.899,0.809,581.846,7.918,0.000,NaN,NaN,58225,1.000,-0.000,0.000,306.061,0.932,0.058,0.610,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
9,656,217.000,34.426,0,85,85,192.370,60.102,192.460,58.735,103.640,180,43,26,34,33.773,24.731,98.990,0.767,35.440,105646.000,0,-0.811,1.253,0,105646.000,188,77,73.610,26.000,1.366,0.732,0.922,Test,103.640,35.440,26.000,1.363,8.128,905.000,98.098,28.901,32.990,13.000,17.720,14.600,4.463,723.699,0.734,6.911,16.374,0.665,0.815,0.725,0.947,249.000,921.442,0.712,0.734,1.303,0.878,0.876,0.767,552.360,6.055,0.000,NaN,NaN,55760,1.000,-0.000,0.000,471.946,0.902,0.064,0.597,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
10,800,265.000,26.873,0,85,85,64.035,59.931,64.025,58.929,111.841,49,44,29,32,35.634,28.584,117.566,0.804,40.608,124588.000,0,-1.127,2.068,0,124588.000,51,44,127.999,28.936,1.247,0.802,0.948,Test,111.841,40.608,28.936,1.403,9.199,1173.500,108.457,31.915,35.600,14.468,20.304,15.531,6.454,922.859,0.713,6.114,15.635,0.618,0.786,0.682,0.970,373.500,1175.020,0.681,0.713,1.244,0.382,0.897,0.804,688.159,7.780,0.000,NaN,NaN,68000,1.000,-0.000,0.000,459.575,0.908,0.069,0.608,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
