 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,1286,426.000,33.237,0,85,85,75.102,23.135,75.393,21.349,138.368,54,3,44,40,44.807,36.543,35.703,0.844,47.539,188427.000,0,-0.362,-0.189,0,188427.000,54,34,22.249,37.901,1.226,0.816,0.942,Test,138.368,47.539,37.901,1.254,9.176,1370.500,134.304,40.465,44.044,18.951,23.770,20.294,3.746,1415.132,0.797,10.486,14.888,0.725,0.851,0.938,0.971,84.500,1801.802,0.714,0.797,1.185,0.027,0.919,0.844,1147.632,3.900,0.000,NaN,NaN,109310,1.000,-0.000,0.000,343.108,0.902,0.029,0.496,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
2,978,345.000,35.895,0,85,236,126.408,23.772,126.608,21.715,118.326,112,3,29,41,42.371,29.389,80.011,0.878,43.658,140980.000,0,0.569,-0.270,0,140980.000,119,44,69.905,29.000,1.442,0.694,0.963,Test,118.326,43.658,29.000,1.505,7.513,1030.500,117.594,35.288,37.664,14.500,21.829,18.298,4.171,994.373,0.664,8.960,14.316,0.653,0.808,0.949,0.994,52.500,1266.075,0.772,0.664,1.139,0.039,0.937,0.878,859.674,2.636,26.869,4.860,21.668,88333,0.926,0.385,0.011,172.292,0.884,0.015,0.463,254.844,15.964,1.461,9.117,3.019,46.029,7.007,2.647,35.389,90.322,1.342,6.792,247.866,36.034,254.844,1.461
3,1073,359.000,45.230,0,85,211,178.224,22.079,177.326,18.855,125.983,161,3,34,41,41.033,33.294,73.239,0.850,42.450,84910.000,0,0.751,-0.403,0,84910.000,173,3,105.018,33.608,1.232,0.811,0.953,Test,125.983,42.450,33.608,1.263,8.619,1149.500,123.324,36.962,40.102,16.804,21.225,18.618,4.464,1120.494,0.792,8.812,14.792,0.758,0.871,0.933,0.979,76.500,1426.657,0.752,0.792,1.177,0.061,0.922,0.850,947.017,1.934,9.249,11.604,133.870,92061,0.985,0.086,0.001,237.030,0.891,0.019,0.482,254.648,15.958,4.440,1.392,1.180,16.096,1.354,1.164,15.635,85.798,0.683,12.172,253.331,19.353,254.648,4.440
4,1396,467.000,43.552,0,85,234,25.143,24.001,24.517,22.917,140.225,4,4,43,39,44.140,40.269,15.818,0.892,47.011,146646.000,0,0.107,-0.710,0,146646.000,10,41,51.911,39.000,1.096,0.912,0.970,Test,140.225,47.011,39.000,1.205,10.014,1479.000,137.702,42.160,44.635,19.500,23.505,21.248,1.363,1439.961,0.830,18.197,14.085,0.804,0.897,0.944,0.982,83.000,1833.415,0.761,0.830,1.121,0.037,0.945,0.892,1255.775,15.657,9.772,14.182,200.494,119624,0.990,0.058,0.001,360.211,0.885,0.025,0.497,254.932,15.967,1.254,1.138,1.067,16.078,1.002,1.001,14.181,85.691,0.160,2.385,253.943,14.960,254.937,1.202
5,1066,354.000,46.119,0,85,208,227.361,22.287,227.323,21.495,126.711,210,4,37,39,39.692,34.196,121.154,0.834,43.829,98813.000,0,0.526,-0.655,0,98813.000,214,4,117.150,34.648,1.161,0.862,0.936,Test,126.711,43.829,34.648,1.265,8.548,1177.000,123.763,36.841,40.333,17.324,21.915,18.264,2.864,1192.709,0.791,10.793,15.062,0.707,0.841,0.906,0.977,111.000,1518.605,0.702,0.791,1.199,0.083,0.913,0.834,939.289,5.873,5.282,23.024,528.145,90854,0.996,0.022,4.289E-4,367.335,0.882,0.026,0.499,254.987,15.968,0.429,0.370,0.608,8.529,0.329,0.574,7.598,85.229,0.023,0.545,254.660,7.842,254.987,0.429
6,1312,435.000,36.756,0,85,85,280.784,22.012,280.406,19.800,136.326,259,5,43,36,43.818,38.123,174.283,0.887,46.519,175955.000,0,-0.108,-0.096,0,175955.000,259,10,154.537,36.000,1.149,0.870,0.966,Test,136.326,46.519,36.000,1.292,9.737,1423.000,135.068,40.872,43.394,18.000,23.259,21.188,1.931,1315.288,0.774,15.249,14.165,0.772,0.879,0.922,0.991,111.000,1674.677,0.783,0.774,1.127,0.075,0.942,0.887,1175.674,10.645,0.000,NaN,NaN,111520,1.000,-0.000,0.000,427.351,0.896,0.041,0.517,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
7,1141,381.000,35.096,0,85,229,229.800,70.059,229.541,68.466,136.125,210,50,38,40,45.224,32.124,126.363,0.774,49.679,158210.000,0,0.248,-0.568,0,158210.000,211,51,130.101,34.648,1.408,0.710,0.931,Test,136.125,49.679,34.648,1.434,8.169,1275.000,129.770,38.115,43.330,17.324,24.839,18.423,7.848,1351.897,0.697,6.576,16.240,0.589,0.767,0.895,0.953,134.000,1721.288,0.663,0.697,1.292,0.343,0.880,0.774,1004.875,3.048,9.701,13.851,191.236,97786,0.990,0.057,0.001,693.196,0.898,0.258,0.675,254.938,15.967,1.487,1.233,1.110,17.018,0.934,0.967,12.857,85.702,0.188,2.590,254.016,13.566,254.938,1.487
8,1227,407.000,39.050,0,85,228,279.009,68.537,279.377,66.382,131.782,259,50,43,38,42.403,36.844,12.025,0.888,45.880,146216.000,0,0.327,-0.403,0,146216.000,259,77,20.410,38.000,1.151,0.869,0.950,Test,131.782,45.880,38.000,1.207,10.004,1442.000,130.617,39.525,41.947,19.000,22.940,19.647,2.276,1369.303,0.828,13.022,14.154,0.742,0.861,0.851,0.991,215.000,1743.451,0.704,0.828,1.126,0.207,0.942,0.888,1095.218,7.818,4.082,34.986,1222.001,104438,0.998,0.010,2.562E-4,670.635,0.900,0.300,0.695,255.000,15.969,0.000,0.198,0.445,6.937,0.152,0.389,5.310,85.117,0.029,0.999,254.848,5.310,255.000,0.000
9,1136,377.000,37.459,0,85,85,75.610,70.074,75.259,67.839,131.740,59,51,34,40,42.598,33.955,106.937,0.823,45.000,167283.000,0,-0.047,-0.587,0,167283.000,61,52,126.870,33.455,1.255,0.797,0.957,Test,131.740,45.000,33.455,1.345,11.643,1646.000,127.094,38.032,41.934,16.727,22.500,19.560,5.060,1182.391,0.743,8.696,15.278,0.714,0.845,0.690,0.965,510.000,1505.467,0.755,0.743,1.216,0.230,0.907,0.823,1004.260,2.822,0.000,NaN,NaN,96560,1.000,-0.000,0.000,668.214,0.900,0.242,0.680,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
10,1306,433.000,41.437,0,85,85,177.621,69.740,177.545,69.176,136.326,159,51,38,39,42.693,38.949,55.795,0.883,46.861,128341.000,0,0.445,-0.304,0,128341.000,164,88,50.194,38.000,1.096,0.912,0.975,Test,136.326,46.861,38.000,1.233,13.606,2003.000,133.844,40.778,43.394,19.000,23.431,20.986,1.730,1398.588,0.811,15.954,14.230,0.757,0.870,0.652,0.982,697.000,1780.737,0.733,0.811,1.132,0.321,0.940,0.883,1169.674,5.002,0.000,NaN,NaN,111010,1.000,-0.000,0.000,671.095,0.900,0.261,0.679,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
