 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,2546,845.000,25.152,0,85,85,265.263,38.958,264.128,34.410,197.296,245,3,40,73,76.816,42.200,93.903,0.822,74.953,104866.000,0.000,0.273,-0.987,0,104866.000,256,3,103.109,40.000,1.820,0.549,0.980,Test,197.296,74.953,40.000,1.874,11.137,2622.500,194.617,56.936,62.801,20.000,37.477,32.569,15.347,2354.728,0.534,8.314,15.289,0.577,0.760,0.971,0.986,76.500,2998.133,0.849,0.534,1.217,0.102,0.907,0.822,2348.704,22.357,0.000,NaN,NaN,216410,1.000,-0.000,0.000,108.921,0.954,0.113,0.656,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
2,3136,1041.000,26.598,0,85,85,36.972,38.329,35.882,33.022,223.179,4,4,68,71,88.040,45.353,47.528,0.791,87.207,111746.000,0.000,0.453,-0.725,0,111746.000,7,71,49.185,44.862,1.941,0.515,0.968,Test,223.179,87.207,44.862,1.944,11.972,3280.000,218.987,63.189,71.040,22.431,43.603,29.630,56.869,3072.690,0.514,3.929,15.883,0.525,0.725,0.956,0.981,144.000,3912.271,0.802,0.514,1.264,0.161,0.889,0.791,2912.821,9.252,0.000,NaN,NaN,266560,1.000,-0.000,0.000,179.008,0.954,0.119,0.693,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
3,2890,959.000,27.711,0,85,153,113.011,39.482,113.505,33.842,205.338,88,4,51,71,75.517,48.727,72.685,0.861,76.158,111983.000,0.000,0.456,-0.823,0,111983.000,97,74,66.801,49.015,1.550,0.645,0.977,Test,205.338,76.158,49.015,1.554,12.537,2999.500,202.045,60.660,65.361,24.508,38.079,30.838,22.160,2931.808,0.644,6.551,14.590,0.634,0.797,0.963,0.984,109.500,3732.894,0.774,0.644,1.161,0.054,0.928,0.861,2684.662,4.482,1.265,53.731,2885.000,245718,0.999,0.004,2.461E-5,140.393,0.955,0.117,0.676,254.971,15.968,1.581,0.048,0.220,2.604,0.051,0.226,2.753,85.023,0.084,4.520,254.927,3.906,254.971,1.581
4,2855,948.000,28.074,0,85,239,187.442,37.839,187.898,30.472,221.823,163,4,53,71,76.118,47.756,72.039,0.729,76.059,127063.000,0.000,0.338,0.169,0,127063.000,172,73,61.750,47.372,1.594,0.627,0.968,Test,221.823,76.059,47.372,1.606,12.515,2990.500,202.382,60.292,70.609,23.686,38.030,31.264,23.607,2829.833,0.623,6.435,17.235,0.628,0.793,0.955,0.912,135.500,3603.055,0.792,0.623,1.372,0.016,0.854,0.729,2633.177,8.061,3.073,46.275,2245.050,242886,0.999,0.009,1.452E-4,157.042,0.950,0.122,0.678,254.950,15.967,2.320,0.133,0.364,5.170,0.140,0.374,5.433,85.074,0.107,4.051,254.837,6.156,254.961,1.951
5,2898,968.000,33.897,0,85,227,417.121,38.223,416.627,34.094,210.451,388,4,60,71,79.388,46.479,124.293,0.822,80.131,133745.000,0.000,0.846,0.904,0,133745.000,393,5,119.124,46.000,1.708,0.585,0.970,Test,210.451,80.131,46.000,1.742,12.022,3026.500,206.416,60.744,66.989,23.000,40.066,29.440,36.255,2895.003,0.574,4.889,15.283,0.575,0.758,0.958,0.981,128.500,3686.033,0.786,0.574,1.216,0.248,0.907,0.822,2687.549,5.179,7.798,13.783,192.217,247996,0.989,0.071,9.344E-4,180.568,0.957,0.132,0.705,254.806,15.963,2.845,1.011,1.006,13.623,0.907,0.952,12.226,85.575,0.077,1.062,253.948,14.130,254.806,2.845
6,2829,939.000,26.282,0,85,85,493.124,39.377,492.364,34.987,207.095,468,4,51,71,77.562,46.440,109.761,0.829,77.897,113085.000,0.000,0.338,-0.996,0,113085.000,474,6,119.197,46.791,1.670,0.599,0.971,Test,207.095,77.897,46.791,1.665,12.057,2950.500,202.407,60.017,65.921,23.396,38.949,30.389,29.331,2862.711,0.601,5.611,15.160,0.594,0.770,0.959,0.977,121.500,3644.917,0.776,0.601,1.206,0.055,0.910,0.829,2621.905,8.452,0.000,NaN,NaN,240465,1.000,-0.000,0.000,171.455,0.954,0.128,0.697,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
7,2624,871.000,32.646,0,85,85,340.983,37.457,341.116,30.440,195.539,308,16,68,45,71.761,46.557,7.899,0.862,70.605,98516.000,0.000,0.706,-0.605,0,98516.000,308,48,15.611,45.000,1.541,0.649,0.981,Test,195.539,70.605,45.000,1.569,13.570,3010.000,192.522,57.801,62.242,22.500,35.302,31.311,12.374,2495.370,0.637,8.901,14.571,0.670,0.819,0.872,0.985,386.000,3177.204,0.826,0.637,1.160,0.117,0.929,0.862,2428.461,18.818,0.000,NaN,NaN,223040,1.000,-0.000,0.000,208.077,0.953,0.135,0.711,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
8,3192,1060.000,30.922,0,85,192,189.815,118.648,189.454,110.952,236.593,157,82,64,73,84.493,48.101,55.239,0.717,83.600,135713.000,0.000,0.541,-0.440,0,135713.000,162,150,53.267,48.475,1.757,0.569,0.961,Test,236.593,83.600,48.475,1.725,15.301,4018.500,216.723,63.751,75.310,24.238,41.800,30.305,44.423,3182.860,0.580,4.547,17.536,0.582,0.763,0.794,0.916,826.500,4052.544,0.788,0.580,1.396,0.096,0.847,0.717,2955.407,9.892,2.783,33.493,1140.854,271590,0.998,0.012,1.191E-4,337.971,0.948,0.246,0.787,254.943,15.967,1.905,0.159,0.399,5.217,0.152,0.389,4.958,85.085,0.010,0.352,254.800,6.521,254.943,1.905
9,3283,1090.000,26.123,0,85,85,38.091,116.878,37.850,109.437,221.966,5,83,64,71,83.181,50.252,128.161,0.837,85.147,120378.000,0.000,0.248,-1.065,0,120378.000,9,86,130.236,51.087,1.655,0.604,0.975,Test,221.966,85.147,51.087,1.667,16.305,4361.500,217.432,64.653,70.654,25.543,42.573,30.922,37.490,3416.385,0.600,5.050,15.007,0.577,0.759,0.753,0.980,1078.500,4349.877,0.755,0.600,1.194,0.295,0.915,0.837,3061.034,2.373,0.000,NaN,NaN,279055,1.000,-0.000,0.000,338.556,0.948,0.234,0.783,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
10,2538,842.000,29.075,0,85,85,265.259,117.423,265.767,111.722,203.581,240,83,51,71,79.177,40.813,64.707,0.770,78.549,110011.000,0.000,0.267,-1.095,0,110011.000,246,152,58.536,42.005,1.940,0.515,0.953,Test,203.581,78.549,42.005,1.870,13.983,3450.500,198.200,56.846,64.802,21.003,39.275,27.785,52.470,2591.424,0.535,3.836,16.330,0.524,0.724,0.736,0.974,912.500,3299.504,0.769,0.535,1.299,0.022,0.877,0.770,2334.419,10.193,0.000,NaN,NaN,215730,1.000,-0.000,0.000,317.937,0.949,0.196,0.769,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
11,3287,1108.000,35.202,0,85,248,416.710,118.146,416.801,115.477,218.451,385,83,64,71,80.895,51.735,127.822,0.866,81.400,132862.000,0.000,1.457,3.597,0,132862.000,392,86,127.011,50.959,1.564,0.640,0.978,Test,218.451,81.400,50.959,1.597,15.902,4066.500,214.554,64.693,69.535,25.479,40.700,31.054,31.340,3257.870,0.626,5.547,14.518,0.632,0.795,0.808,0.982,779.500,4148.049,0.792,0.626,1.155,0.038,0.930,0.866,3068.549,10.861,12.347,9.514,93.809,283873,0.975,0.161,0.002,345.527,0.947,0.251,0.788,254.418,15.950,5.857,2.441,1.562,21.684,2.226,1.492,19.812,86.362,0.264,2.408,252.294,23.811,254.418,5.857
12,3538,1174.000,27.852,0,85,85,493.148,118.286,491.662,111.954,224.894,462,83,64,71,79.583,56.604,123.122,0.879,81.302,129034.000,0.000,0.530,-0.856,0,129034.000,469,85,121.931,56.857,1.406,0.711,0.978,Test,224.894,81.302,56.857,1.430,17.736,4530.000,219.877,67.117,71.586,28.428,40.651,33.073,22.496,3630.553,0.699,6.973,14.296,0.682,0.826,0.781,0.978,992.000,4622.564,0.765,0.699,1.138,0.050,0.938,0.879,3313.106,2.748,0.000,NaN,NaN,300730,1.000,-0.000,0.000,340.901,0.948,0.263,0.796,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
13,3020,1002.000,28.744,0,85,85,341.261,117.541,340.840,114.213,210.409,308,89,68,58,76.762,50.092,148.057,0.857,78.772,107785.000,0.000,0.726,-0.550,0,107785.000,309,93,146.915,50.110,1.532,0.653,0.975,Test,210.409,78.772,50.110,1.572,16.653,4121.000,206.208,62.010,66.975,25.055,39.386,30.133,27.132,3100.170,0.636,5.785,14.660,0.620,0.787,0.733,0.980,1101.000,3947.259,0.765,0.636,1.167,0.032,0.926,0.857,2809.591,7.876,0.000,NaN,NaN,256700,1.000,-0.000,0.000,381.412,0.941,0.261,0.787,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
14,2736,909.000,32.114,0,85,171,114.350,117.245,113.125,111.240,199.095,80,93,68,50,72.303,48.180,161.573,0.867,72.615,104094.000,0.000,0.820,-0.112,0,104094.000,80,103,157.319,48.689,1.501,0.666,0.977,Test,199.095,72.615,48.689,1.491,17.372,3963.000,194.912,59.022,63.374,24.345,36.308,30.295,18.457,2776.839,0.671,7.052,14.488,0.661,0.813,0.690,0.979,1227.000,3535.581,0.774,0.671,1.153,0.109,0.931,0.867,2536.905,2.755,2.778,26.614,716.380,232849,0.997,0.019,1.187E-4,334.611,0.949,0.271,0.805,254.881,15.965,3.129,0.218,0.467,5.710,0.217,0.466,5.687,85.105,0.187,6.720,254.685,8.247,254.881,3.129
15,2792,932.000,29.785,0,85,250,340.612,196.568,340.787,191.652,202.853,318,161,46,73,75.338,47.186,97.893,0.853,74.733,108854.000,0.000,1.128,2.740,0,108854.000,328,161,102.362,46.000,1.597,0.626,0.979,Test,202.853,74.733,46.000,1.625,18.319,4301.000,199.505,59.623,64.570,23.000,37.366,32.092,16.035,2699.972,0.616,8.014,14.738,0.637,0.798,0.649,0.983,1509.000,3437.711,0.812,0.616,1.173,0.493,0.923,0.853,2589.147,21.441,7.305,16.560,286.706,238619,0.991,0.055,8.199E-4,395.188,0.939,0.298,0.781,254.784,15.962,3.740,0.842,0.918,12.938,0.770,0.877,11.865,85.465,0.117,1.842,254.042,14.595,254.784,3.740
16,2510,833.000,33.121,0,85,85,417.144,197.226,419.546,192.280,198.794,392,161,51,73,70.850,45.107,108.590,0.798,74.953,113984.000,0.000,0.391,-1.007,0,113984.000,405,161,103.109,45.092,1.571,0.637,0.958,Test,198.794,74.953,45.092,1.662,14.889,3506.000,193.010,56.532,63.278,22.546,37.477,28.551,22.160,2654.479,0.602,6.065,15.745,0.569,0.754,0.716,0.971,996.000,3379.788,0.743,0.602,1.253,0.172,0.893,0.798,2311.206,7.105,0.000,NaN,NaN,213350,1.000,-0.000,0.000,390.879,0.938,0.342,0.793,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
