 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,11168,3711.000,19.349,0,85,244,184.255,76.197,183.459,71.371,419.262,135,3,98,143,146.825,96.847,77.581,0.798,146.779,953292.000,0.000,-0.381,2.723,0,953292.000,160,143,70.084,96.517,1.516,0.660,0.980,Test,419.262,146.779,96.517,1.521,24.738,11407.000,393.258,119.246,133.455,48.259,73.389,62.568,64.559,11126.474,0.658,7.787,15.740,0.660,0.812,0.979,0.938,239.000,14166.667,0.788,0.658,1.253,0.013,0.894,0.798,10748.738,3.071,3.254,41.418,1749.252,950178,0.999,0.009,1.628E-4,153.332,0.946,0.470,0.865,254.986,15.968,0.776,0.128,0.357,5.128,0.127,0.357,5.115,85.080,0.046,3.379,254.860,5.581,254.986,0.776
2,12942,4307.000,27.828,0,85,207,63.355,75.453,63.222,67.474,445.647,4,4,115,141,148.592,110.896,67.492,0.819,153.183,1120515.000,0.000,0.413,-0.036,0,1120515.000,27,138,60.255,111.628,1.340,0.746,0.985,Test,445.647,153.183,111.628,1.372,27.419,13195.000,416.853,128.368,141.854,55.814,76.591,64.972,52.157,13429.965,0.729,8.996,15.345,0.702,0.838,0.981,0.935,253.000,17099.562,0.757,0.729,1.221,0.021,0.905,0.819,12496.353,2.818,4.457,20.902,438.300,1102842,0.995,0.032,3.054E-4,152.263,0.953,0.453,0.874,254.891,15.965,2.312,0.389,0.623,8.068,0.363,0.602,7.539,85.214,0.019,0.424,254.553,9.280,254.891,2.312
3,11413,3792.000,23.773,0,85,231,922.717,76.710,922.131,69.729,409.605,872,4,101,141,146.218,99.382,78.175,0.855,145.962,964242.000,0.000,-0.382,0.357,0,964242.000,894,142,68.709,99.612,1.471,0.680,0.985,Test,409.605,145.962,99.612,1.465,25.377,11636.500,395.533,120.547,130.381,49.806,72.981,62.003,59.079,11419.345,0.682,8.067,14.700,0.682,0.826,0.981,0.966,223.500,14539.562,0.785,0.682,1.170,0.007,0.925,0.855,11003.395,18.116,2.900,40.555,1712.808,970960,0.999,0.010,1.294E-4,167.416,0.948,0.464,0.874,254.969,15.968,1.379,0.129,0.359,4.901,0.127,0.357,4.844,85.075,0.003,0.140,254.845,5.852,254.969,1.379
4,12029,3997.000,26.263,0,85,248,428.366,74.014,428.437,66.236,435.889,373,6,115,135,144.025,106.342,118.408,0.796,152.003,1018118.000,0.000,-0.154,-0.172,0,1018118.000,383,6,127.247,108.226,1.354,0.738,0.979,Test,435.889,152.003,108.226,1.405,25.931,12383.000,406.386,123.757,138.748,54.113,76.002,62.366,61.829,12920.319,0.712,7.931,15.795,0.663,0.814,0.971,0.932,354.000,16450.661,0.731,0.712,1.257,0.052,0.892,0.796,11593.111,5.664,3.216,40.945,1729.865,1023444,0.999,0.010,1.591E-4,161.359,0.951,0.450,0.871,254.980,15.968,0.929,0.136,0.368,5.305,0.129,0.359,5.035,85.081,0.011,0.445,254.854,5.660,254.980,0.929
5,9233,3068.000,28.829,0,85,174,306.685,71.800,305.872,64.737,365.889,249,20,117,108,125.305,93.818,37.928,0.867,125.240,776088.000,0.000,0.170,-0.422,0,776088.000,251,96,25.542,94.045,1.336,0.749,0.979,Test,365.889,125.240,94.045,1.332,24.551,9659.500,351.955,108.424,116.466,47.023,62.620,53.916,40.421,9250.576,0.751,8.480,14.500,0.749,0.866,0.956,0.962,426.500,11778.199,0.784,0.751,1.154,0.010,0.931,0.867,8867.111,13.083,2.445,34.046,1159.759,785469,0.998,0.012,9.193E-5,189.465,0.942,0.455,0.868,254.948,15.967,1.784,0.136,0.369,4.626,0.132,0.363,4.481,85.072,0.058,3.705,254.827,5.874,254.948,1.784
6,9484,3188.000,38.142,0,85,226,554.701,75.035,555.077,66.495,373.362,496,23,115,103,120.442,100.259,24.052,0.855,123.665,880134.000,0.000,0.486,-0.710,0,880134.000,496,101,30.090,99.718,1.201,0.832,0.981,Test,373.362,123.665,99.718,1.240,25.651,9965.500,353.909,109.888,118.845,49.859,61.832,55.086,17.434,9685.265,0.806,13.193,14.698,0.790,0.889,0.952,0.948,481.500,12331.663,0.769,0.806,1.170,0.030,0.925,0.855,9110.638,16.305,10.490,10.000,99.797,816163,0.980,0.134,0.002,191.864,0.944,0.462,0.873,254.666,15.958,3.718,1.849,1.360,18.265,1.655,1.287,16.325,86.057,0.254,5.897,253.094,18.789,254.666,3.718
7,8622,2865.000,24.076,0,85,231,673.077,72.232,672.149,67.516,360.191,618,26,117,97,124.085,88.471,27.002,0.835,125.925,722296.000,0.000,-0.512,0.533,0,722296.000,624,110,34.321,88.548,1.403,0.713,0.981,Test,360.191,125.925,88.548,1.422,23.213,9183.000,342.985,104.775,114.652,44.274,62.962,52.913,49.961,8757.509,0.703,7.486,15.047,0.692,0.832,0.939,0.952,561.000,11150.407,0.773,0.703,1.197,0.033,0.914,0.835,8261.809,15.448,2.866,43.597,1954.045,733455,0.999,0.008,1.263E-4,175.428,0.950,0.478,0.884,254.984,15.968,0.721,0.113,0.335,4.718,0.107,0.327,4.487,85.068,0.006,0.277,254.881,4.999,254.984,0.721
8,7865,2611.000,32.982,0,85,193,801.227,72.766,802.777,66.272,347.806,741,32,117,84,118.253,84.683,171.960,0.817,118.697,662668.000,0.000,-0.044,-0.871,0,662668.000,741,60,170.300,84.000,1.396,0.716,0.982,Test,347.806,118.697,84.000,1.413,23.461,8748.500,326.323,100.070,110.710,42.000,59.349,52.162,23.804,7830.856,0.708,10.691,15.381,0.711,0.843,0.899,0.938,883.500,9970.556,0.789,0.708,1.224,0.003,0.904,0.817,7517.194,3.285,1.218,88.668,7860.000,668633,1.000,0.002,2.281E-5,203.993,0.943,0.470,0.878,254.993,15.969,0.598,0.024,0.156,2.154,0.024,0.153,2.086,85.014,0.002,0.158,254.970,2.639,254.993,0.598
9,11219,3727.000,25.577,0,85,213,429.153,220.655,429.022,213.633,411.120,382,152,96,142,146.536,97.481,84.228,0.834,144.807,1002309.000,0.000,-0.132,7.834E-4,0,1002309.000,411,293,75.196,96.000,1.503,0.665,0.984,Test,411.120,144.807,96.000,1.508,29.582,13457.500,393.472,119.518,130.864,48.000,72.403,63.583,50.141,10918.173,0.663,8.979,15.065,0.681,0.825,0.834,0.957,2238.500,13901.450,0.807,0.663,1.199,0.022,0.913,0.834,10807.880,10.066,2.643,41.047,1709.037,954349,0.999,0.009,1.074E-4,143.208,0.975,0.209,0.827,254.981,15.968,1.017,0.112,0.335,4.509,0.103,0.320,4.111,85.065,0.011,0.634,254.883,4.726,254.982,0.970
10,11585,3846.000,23.311,0,85,85,549.839,226.323,549.494,218.106,418.534,503,153,100,141,146.764,100.505,102.092,0.831,146.441,975726.000,0.000,-0.521,-0.088,0,975726.000,524,154,109.549,100.000,1.460,0.685,0.985,Test,418.534,146.441,100.000,1.464,28.903,13297.000,399.821,121.452,133.224,50.000,73.221,63.768,51.730,11501.458,0.683,8.866,15.120,0.688,0.829,0.871,0.955,1712.000,14644.111,0.791,0.683,1.203,0.072,0.912,0.831,11166.466,30.104,0.000,NaN,NaN,984725,1.000,-0.000,0.000,160.591,0.973,0.222,0.830,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
