 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,3500,1165.000,31.967,0,85,246,38.898,33.440,38.798,30.645,241.279,4,4,71,62,71.314,62.489,161.238,0.756,74.733,263255.000,0,0.039,0.838,0,263255.000,4,16,155.493,62.000,1.141,0.876,0.956,Test,241.279,74.733,62.000,1.205,15.857,3723.000,220.209,66.756,76.802,31.000,37.366,33.494,7.899,3639.093,0.830,11.917,16.633,0.798,0.893,0.940,0.913,223.000,4633.437,0.755,0.830,1.324,0.295,0.869,0.756,3258.721,23.824,6.004,22.166,506.155,298484,0.995,0.029,5.541E-4,172.914,0.956,0.097,0.652,254.917,15.966,2.221,0.485,0.697,10.220,0.441,0.664,9.294,85.281,0.091,2.323,254.490,10.671,254.920,2.110
2,2794,927.000,29.263,0,85,85,116.888,34.533,116.653,31.981,199.095,90,4,56,62,65.226,54.540,59.252,0.886,68.797,173827.000,0,0.012,-0.416,0,173827.000,97,64,57.465,56.000,1.196,0.836,0.966,Test,199.095,68.797,56.000,1.229,13.554,2929.500,194.890,59.644,63.374,28.000,34.398,29.980,7.447,3025.841,0.814,10.986,14.187,0.752,0.867,0.954,0.979,135.500,3852.621,0.725,0.814,1.129,0.139,0.941,0.886,2594.905,14.509,0.000,NaN,NaN,237490,1.000,-0.000,0.000,136.402,0.956,0.084,0.622,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
3,2897,961.000,24.495,0,85,85,197.355,34.164,198.975,29.771,201.581,167,4,59,62,67.558,54.599,131.618,0.896,69.971,103824.000,0,0.994,1.382,0,103824.000,181,4,120.964,56.579,1.237,0.808,0.968,Test,201.581,69.971,56.579,1.237,13.818,3037.500,198.265,60.734,64.165,28.290,34.986,30.250,10.882,3109.346,0.809,9.170,14.027,0.753,0.868,0.954,0.984,140.500,3958.943,0.732,0.809,1.116,0.031,0.947,0.896,2695.419,3.184,0.000,NaN,NaN,246245,1.000,-0.000,0.000,147.453,0.959,0.093,0.640,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
4,3380,1126.000,33.398,0,85,247,276.814,36.654,276.760,29.813,221.238,241,4,70,62,72.726,59.175,20.925,0.868,73.082,175035.000,0,0.777,0.676,0,175035.000,241,49,16.699,61.910,1.229,0.814,0.957,Test,221.238,73.082,61.910,1.180,15.534,3566.500,214.208,65.601,70.422,30.955,36.541,33.056,10.554,3553.566,0.847,10.175,14.481,0.806,0.898,0.948,0.968,186.500,4524.541,0.747,0.847,1.152,0.015,0.932,0.868,3158.762,8.351,6.099,21.760,486.792,288282,0.995,0.031,5.717E-4,216.386,0.955,0.120,0.681,254.896,15.965,2.504,0.499,0.707,10.329,0.477,0.690,9.872,85.291,0.099,2.110,254.427,11.768,254.899,2.445
5,2994,994.000,24.211,0,85,85,355.140,34.782,350.036,30.834,207.095,326,4,59,62,68.473,55.673,58.410,0.877,70.937,67908.000,0,1.754,3.727,0,67908.000,327,55,40.426,57.231,1.230,0.813,0.967,Test,207.095,70.937,57.231,1.239,14.106,3143.500,201.891,61.742,65.921,28.616,35.468,30.938,11.877,3188.554,0.807,8.977,14.325,0.758,0.870,0.952,0.975,149.500,4059.794,0.737,0.807,1.140,0.194,0.937,0.877,2786.905,4.213,0.000,NaN,NaN,254490,1.000,-0.000,0.000,171.240,0.956,0.097,0.650,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
6,2827,940.000,24.795,0,85,255,432.897,33.917,433.429,29.286,200.853,407,4,54,62,66.392,54.215,68.148,0.881,69.635,116498.000,0,1.083,4.473,0,116498.000,414,64,54.941,54.000,1.225,0.817,0.975,Test,200.853,69.635,54.000,1.290,13.446,2941.500,195.868,59.995,63.933,27.000,34.817,30.456,7.910,2953.315,0.775,10.829,14.270,0.742,0.862,0.961,0.975,114.500,3760.277,0.752,0.775,1.136,0.080,0.938,0.881,2626.147,3.211,5.103,28.635,846.638,240822,0.997,0.018,4.003E-4,156.068,0.957,0.095,0.644,254.948,15.967,1.766,0.306,0.553,8.234,0.304,0.551,8.184,85.186,0.051,2.412,254.647,9.377,254.949,1.766
7,2674,887.000,23.259,0,85,85,514.125,35.101,513.552,30.810,193.338,486,4,54,62,64.282,52.964,71.603,0.899,65.795,67238.000,0,1.456,2.620,0,67238.000,500,64,65.772,54.000,1.214,0.824,0.968,Test,193.338,65.795,54.000,1.218,13.553,2801.500,189.659,58.349,61.541,27.000,32.898,29.253,5.858,2790.470,0.821,12.086,13.979,0.786,0.887,0.954,0.981,127.500,3552.937,0.753,0.821,1.112,0.023,0.948,0.899,2480.662,8.595,0.000,NaN,NaN,227290,1.000,-0.000,0.000,155.134,0.961,0.101,0.652,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
8,2801,933.000,36.222,0,85,229,39.336,104.462,36.214,98.620,202.752,10,74,58,62,66.078,53.972,49.587,0.856,68.411,150319.000,0,0.462,-0.292,0,150319.000,21,132,52.125,56.820,1.224,0.817,0.958,Test,202.752,68.411,56.820,1.204,16.530,3552.500,195.699,59.719,64.538,28.410,34.205,29.640,10.007,3052.922,0.831,9.370,14.676,0.762,0.873,0.788,0.965,751.500,3887.101,0.721,0.831,1.168,0.133,0.925,0.856,2598.248,6.011,5.465,19.317,396.887,238929,0.994,0.041,4.592E-4,399.119,0.939,0.279,0.775,254.740,15.961,4.793,0.589,0.768,10.462,0.575,0.758,10.208,85.301,0.314,5.774,254.229,13.584,254.771,4.241
9,2960,986.000,33.691,0,85,196,117.451,104.856,119.248,98.640,210.409,88,74,59,62,68.255,55.216,46.147,0.840,71.610,148974.000,0,0.492,-0.082,0,148974.000,94,133,54.090,58.494,1.236,0.809,0.965,Test,210.409,71.610,58.494,1.224,17.082,3843.000,201.151,61.390,66.975,29.247,35.805,30.312,13.059,3289.845,0.817,8.388,14.957,0.735,0.857,0.770,0.956,883.000,4188.761,0.707,0.817,1.190,0.260,0.917,0.840,2749.591,7.029,5.547,16.644,278.863,252596,0.993,0.048,4.729E-4,403.453,0.938,0.290,0.781,254.691,15.959,5.135,0.669,0.818,10.972,0.649,0.806,10.650,85.336,0.286,5.041,254.107,14.647,254.723,4.582
10,3133,1041.000,32.247,0,85,220,196.919,104.462,197.038,98.456,215.581,166,74,63,62,70.474,56.603,37.952,0.847,72.945,160791.000,0,0.308,-0.121,0,160791.000,178,135,56.746,59.808,1.245,0.803,0.954,Test,215.581,72.945,59.808,1.220,17.878,4097.000,208.976,63.159,68.621,29.904,36.473,31.149,16.928,3426.462,0.820,7.571,14.834,0.750,0.866,0.765,0.969,964.000,4362.708,0.718,0.820,1.180,0.236,0.920,0.847,2917.419,9.853,3.676,29.659,915.053,266709,0.997,0.017,2.077E-4,414.027,0.936,0.302,0.790,254.918,15.966,2.455,0.243,0.493,6.839,0.226,0.476,6.358,85.129,0.066,2.151,254.704,8.292,254.922,2.315
11,2815,934.000,22.217,0,85,85,276.805,105.656,275.514,103.853,205.338,250,74,53,62,65.951,54.346,78.566,0.839,68.264,94362.000,0,0.983,1.771,0,94362.000,258,133,58.173,53.000,1.214,0.824,0.971,Test,205.338,68.264,53.000,1.288,17.320,3714.500,195.901,59.868,65.361,26.500,34.132,29.715,12.168,2841.572,0.776,8.519,14.978,0.769,0.877,0.758,0.954,899.500,3618.002,0.778,0.776,1.192,0.188,0.916,0.839,2609.662,21.558,0.000,NaN,NaN,239275,1.000,-0.000,0.000,407.197,0.938,0.273,0.773,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
