 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,1737,576.000,39.570,0,85,85,22.615,31.648,22.303,27.897,165.054,4,4,37,56,57.845,38.234,79.481,0.801,61.327,143727.000,0,0.170,-0.680,0,143727.000,8,60,65.943,37.000,1.513,0.661,0.961,Test,165.054,61.327,37.000,1.657,9.545,1839.000,159.853,47.028,52.538,18.500,30.663,24.933,8.708,1782.146,0.603,8.449,15.684,0.588,0.767,0.945,0.968,102.000,2269.099,0.766,0.603,1.248,0.141,0.895,0.801,1571.946,15.890,0.000,NaN,NaN,147645,1.000,-0.000,0.000,47.493,0.917,0.180,0.780,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
2,1521,505.000,40.587,0,85,85,67.171,30.678,66.526,26.940,154.853,48,6,38,52,50.957,38.005,82.305,0.797,54.083,116727.000,0,0.365,-0.337,0,116727.000,58,57,70.560,38.000,1.341,0.746,0.942,Test,154.853,54.083,38.000,1.423,9.732,1653.500,146.698,44.007,49.291,19.000,27.042,23.092,5.961,1614.122,0.703,9.459,15.766,0.662,0.814,0.920,0.947,132.500,2055.164,0.740,0.703,1.255,0.067,0.893,0.797,1366.147,4.837,0.000,NaN,NaN,129285,1.000,-0.000,0.000,49.245,0.918,0.183,0.775,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
3,1433,475.000,31.147,0,85,85,338.292,30.767,338.791,27.241,146.125,319,6,37,50,50.492,36.136,105.597,0.843,52.555,103559.000,0,0.679,0.876,0,103559.000,327,7,111.194,37.000,1.397,0.716,0.954,Test,146.125,52.555,37.000,1.420,9.115,1505.000,142.181,42.715,46.513,18.500,26.277,21.816,7.016,1527.226,0.704,8.236,14.901,0.661,0.813,0.952,0.973,72.000,1944.525,0.737,0.704,1.186,0.121,0.918,0.843,1286.875,13.508,0.000,NaN,NaN,121805,1.000,-0.000,0.000,94.013,0.897,0.190,0.787,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
4,1261,418.000,41.258,0,85,85,201.848,31.436,201.976,27.361,134.368,182,11,40,41,41.569,38.624,109.256,0.878,43.324,106419.000,0,0.466,-0.212,0,106419.000,194,11,108.853,39.739,1.076,0.929,0.952,Test,134.368,43.324,39.739,1.090,10.176,1385.000,130.211,40.069,42.771,19.870,21.662,20.010,1.081,1352.207,0.917,19.242,14.318,0.855,0.925,0.910,0.969,124.000,1721.684,0.732,0.917,1.139,0.086,0.937,0.878,1126.632,3.058,0.000,NaN,NaN,107185,1.000,-0.000,0.000,61.174,0.891,0.200,0.791,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
5,1190,395.000,44.387,0,85,85,156.655,32.345,156.624,29.222,140.267,137,12,41,38,44.989,33.678,145.897,0.760,48.166,124467.000,0,-0.118,-0.588,0,124467.000,139,15,138.366,34.883,1.336,0.749,0.948,Test,140.267,48.166,34.883,1.381,8.492,1285.000,130.081,38.925,44.648,17.441,24.083,19.693,6.371,1319.604,0.724,7.802,16.533,0.653,0.808,0.926,0.927,95.000,1680.171,0.708,0.724,1.316,0.023,0.872,0.760,1049.733,5.092,0.000,NaN,NaN,101150,1.000,-0.000,0.000,78.309,0.900,0.175,0.781,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
6,1047,347.000,41.969,0,85,85,111.189,31.630,110.218,28.851,130.711,92,13,40,37,45.254,29.458,141.852,0.770,49.204,104102.000,0,-0.027,-0.654,0,104102.000,93,18,142.431,32.450,1.536,0.651,0.940,Test,130.711,49.204,32.450,1.516,7.246,1120.000,125.786,36.511,41.607,16.225,24.602,18.202,8.325,1254.011,0.660,6.309,16.318,0.551,0.742,0.935,0.962,73.000,1596.657,0.656,0.660,1.299,0.110,0.878,0.770,916.289,2.729,0.000,NaN,NaN,88995,1.000,-0.000,0.000,60.446,0.919,0.187,0.781,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
7,951,315.000,42.334,0,85,85,246.852,31.504,246.296,28.623,135.924,228,13,39,36,43.965,27.541,137.775,0.647,46.098,75462.000,0,0.423,-0.239,0,75462.000,229,17,139.399,28.954,1.596,0.626,0.925,Test,135.924,46.098,28.954,1.592,7.233,1047.500,120.637,34.797,43.266,14.477,23.049,17.402,10.999,1048.264,0.628,5.247,19.427,0.570,0.755,0.908,0.888,96.500,1334.691,0.713,0.628,1.546,1.824,0.804,0.647,815.076,7.530,0.000,NaN,NaN,80835,1.000,-0.000,0.000,57.067,0.914,0.179,0.782,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
8,819,272.000,47.680,0,85,203,292.521,31.688,291.743,29.013,113.640,272,18,40,27,39.412,26.459,175.857,0.797,41.000,55568.000,0,0.851,-0.294,0,55568.000,272,27,167.320,27.000,1.490,0.671,0.939,Test,113.640,41.000,27.000,1.519,7.612,980.500,109.653,32.292,36.173,13.500,20.500,16.781,5.354,869.436,0.659,7.253,15.768,0.620,0.788,0.835,0.965,161.500,1107.000,0.740,0.659,1.255,0.067,0.893,0.797,705.360,3.905,5.754,20.167,404.774,69848,0.995,0.027,5.089E-4,66.798,0.925,0.173,0.785,254.917,15.966,1.705,0.471,0.687,9.532,0.465,0.682,9.408,85.284,0.009,0.188,254.462,10.894,254.917,1.705
9,1476,490.000,40.423,0,85,85,22.005,94.262,22.002,90.644,151.782,3,71,39,48,50.184,37.448,112.618,0.805,53.600,124848.000,0,0.122,-0.477,0,124848.000,7,73,126.656,38.896,1.340,0.746,0.953,Test,151.782,53.600,38.896,1.378,12.569,2116.500,144.238,43.351,48.314,19.448,26.800,22.160,7.132,1637.430,0.726,8.298,15.608,0.654,0.809,0.697,0.950,640.500,2084.841,0.708,0.726,1.242,0.047,0.897,0.805,1324.218,4.790,0.000,NaN,NaN,125460,1.000,-0.000,0.000,333.290,0.926,0.108,0.634,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
10,1110,369.000,46.255,0,85,226,293.572,93.710,293.137,89.662,138.953,273,73,39,44,49.918,28.313,131.733,0.722,50.804,95465.000,0,0.318,-0.548,0,95465.000,277,76,126.193,30.862,1.763,0.567,0.892,Test,138.953,50.804,30.862,1.646,8.023,1280.500,132.551,37.594,44.230,15.431,25.402,18.601,20.463,1231.425,0.607,4.112,17.395,0.548,0.740,0.867,0.954,170.500,1567.900,0.708,0.607,1.384,0.101,0.850,0.722,971.047,6.196,5.982,23.495,550.002,94632,0.996,0.019,5.501E-4,417.508,0.907,0.101,0.619,254.995,15.969,0.150,0.422,0.649,9.929,0.345,0.587,8.125,85.254,0.052,1.237,254.651,8.211,254.995,0.150
