 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,1246,416.000,51.002,0,85,240,102.783,22.482,104.947,21.356,144.953,82,2,42,39,47.793,33.194,144.141,0.745,51.088,113032.000,0,0.674,-0.497,0,113032.000,85,5,139.764,34.208,1.440,0.695,0.941,Test,144.953,51.088,34.208,1.493,8.259,1325.500,135.369,39.830,46.140,17.104,25.544,20.175,9.886,1372.601,0.670,6.417,16.863,0.608,0.780,0.940,0.934,79.500,1747.649,0.713,0.670,1.342,0.155,0.863,0.745,1101.047,3.912,9.066,15.867,251.445,106624,0.992,0.047,0.001,229.599,0.851,0.054,0.607,254.905,15.966,2.020,0.968,0.984,15.281,0.848,0.921,13.373,85.574,0.259,4.345,254.106,14.107,254.945,1.245
2,975,324.000,41.450,0,85,241,310.156,22.081,310.235,20.727,126.953,296,2,29,41,42.520,29.196,99.445,0.760,44.011,137471.000,0,-0.164,-0.877,0,137471.000,302,2,111.318,29.000,1.456,0.687,0.941,Test,126.953,44.011,29.000,1.518,7.580,1048.000,119.390,35.234,40.410,14.500,22.006,18.267,4.514,1002.427,0.659,8.597,16.530,0.641,0.801,0.930,0.940,73.000,1276.330,0.764,0.659,1.315,0.296,0.872,0.760,848.047,9.362,6.583,22.201,493.608,83165,0.996,0.023,6.660E-4,181.551,0.627,0.044,0.561,254.945,15.967,1.729,0.507,0.712,11.187,0.439,0.663,9.688,85.297,0.147,3.502,254.562,9.665,254.984,0.512
3,2003,666.000,41.882,0,85,215,35.063,22.146,34.360,19.922,188.024,3,3,63,39,64.624,39.463,179.830,0.712,64.031,276937.000,0,-0.364,-0.358,0,276937.000,4,13,165.530,39.000,1.638,0.611,0.946,Test,188.024,64.031,39.000,1.642,10.686,2149.500,173.654,50.500,59.850,19.500,32.016,27.810,13.022,1961.311,0.609,7.706,17.650,0.622,0.789,0.932,0.924,146.500,2497.218,0.802,0.609,1.405,0.195,0.844,0.712,1814.976,8.978,3.952,31.675,1002.893,170505,0.998,0.012,2.401E-4,432.152,0.868,0.064,0.639,254.943,15.967,1.834,0.224,0.473,7.078,0.208,0.456,6.587,85.125,0.097,3.119,254.775,7.113,254.969,0.987
4,1941,644.000,50.860,0,85,85,171.951,21.781,173.226,18.931,193.924,140,3,64,37,66.609,37.103,170.727,0.649,67.231,203037.000,0,0.197,-0.771,0,203037.000,142,8,157.249,37.000,1.795,0.557,0.955,Test,193.924,67.231,37.000,1.817,9.786,2067.000,172.691,49.713,61.728,18.500,33.615,27.645,20.705,1953.713,0.550,6.076,19.375,0.547,0.739,0.939,0.891,126.000,2487.545,0.780,0.550,1.542,0.072,0.805,0.649,1747.076,10.656,0.000,NaN,NaN,164985,1.000,-0.000,0.000,462.107,0.856,0.063,0.638,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
5,1131,376.000,42.993,0,85,239,241.060,22.517,240.471,19.969,142.853,222,3,38,40,45.377,31.735,132.140,0.696,48.600,139459.000,0,-0.122,-0.173,0,139459.000,226,3,126.634,33.941,1.430,0.699,0.929,Test,142.853,48.600,33.941,1.432,8.115,1239.000,128.311,37.948,45.471,16.971,24.300,19.341,8.824,1295.556,0.698,6.511,18.043,0.610,0.781,0.913,0.898,108.000,1649.553,0.686,0.698,1.436,0.022,0.835,0.696,988.147,3.151,6.226,23.776,564.211,96431,0.996,0.020,5.958E-4,208.536,0.875,0.049,0.596,254.975,15.968,0.700,0.431,0.656,10.238,0.381,0.617,9.059,85.262,0.082,1.968,254.600,9.500,254.981,0.527
6,1624,539.000,49.785,0,85,85,379.031,22.104,380.795,18.967,182.652,350,3,59,38,62.698,32.979,19.279,0.612,61.984,181902.000,0,0.042,-0.588,0,181902.000,350,33,17.850,34.490,1.901,0.526,0.927,Test,182.652,61.984,34.490,1.797,9.092,1770.500,160.481,45.472,58.140,17.245,30.992,23.397,29.486,1679.021,0.556,4.309,20.543,0.538,0.734,0.917,0.879,146.500,2137.796,0.760,0.556,1.635,0.034,0.782,0.612,1441.348,4.970,0.000,NaN,NaN,138040,1.000,-0.000,0.000,520.160,0.871,0.078,0.659,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
7,1714,569.000,43.273,0,85,85,446.910,22.229,447.077,19.998,169.681,419,3,58,38,57.795,37.760,2.837,0.748,58.421,248478.000,0,-0.524,-0.501,0,248478.000,419,20,173.118,37.240,1.531,0.653,0.946,Test,169.681,58.421,37.240,1.569,9.930,1822.500,158.888,46.715,54.011,18.620,29.210,25.065,9.413,1708.700,0.637,8.169,16.798,0.639,0.800,0.940,0.936,108.500,2175.584,0.788,0.637,1.337,0.010,0.865,0.748,1544.319,10.912,0.000,NaN,NaN,145690,1.000,-0.000,0.000,518.502,0.874,0.079,0.668,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
8,1156,384.000,46.479,0,85,239,103.355,66.462,102.752,65.109,139.681,84,47,40,41,48.300,30.474,43.126,0.745,52.402,145640.000,0,0.029,-0.660,0,145640.000,86,87,48.094,31.820,1.585,0.631,0.933,Test,139.681,52.402,31.820,1.647,9.093,1497.000,131.924,38.365,44.462,15.910,26.201,19.209,12.452,1309.597,0.607,5.444,16.878,0.536,0.732,0.772,0.944,341.000,1667.431,0.693,0.607,1.343,0.014,0.863,0.745,1016.319,3.462,4.529,33.956,1151.001,98414,0.998,0.010,3.154E-4,537.749,0.912,0.173,0.772,254.984,15.968,0.559,0.221,0.470,7.500,0.196,0.442,6.647,85.133,0.061,2.059,254.804,6.647,255.000,0.000
9,1413,469.000,44.255,0,85,226,170.676,67.098,170.870,65.437,162.995,146,47,52,40,57.537,31.268,151.965,0.668,58.669,190941.000,0,-0.517,-0.169,0,190941.000,147,51,150.376,34.340,1.840,0.543,0.923,Test,162.995,58.669,34.340,1.708,9.451,1742.000,149.153,42.416,51.883,17.170,29.334,21.218,21.915,1582.331,0.585,4.533,18.802,0.523,0.723,0.811,0.915,329.000,2014.687,0.701,0.585,1.496,0.120,0.818,0.668,1250.005,8.331,3.751,37.550,1408.001,120246,0.999,0.008,2.163E-4,508.251,0.922,0.247,0.802,254.977,15.968,0.878,0.171,0.414,6.438,0.152,0.390,5.720,85.100,0.052,1.942,254.839,6.039,254.991,0.346
10,1137,378.000,38.283,0,85,237,310.237,67.403,310.103,65.559,140.510,290,47,40,41,47.194,30.675,133.678,0.724,50.000,165548.000,0,-0.455,0.339,0,165548.000,293,48,126.870,32.431,1.539,0.650,0.933,Test,140.510,50.000,32.431,1.542,8.655,1359.500,129.636,38.048,44.726,16.216,25.000,19.112,9.877,1273.566,0.649,6.081,17.364,0.579,0.761,0.836,0.923,222.500,1621.555,0.701,0.649,1.382,0.064,0.851,0.724,996.490,4.660,6.126,23.841,567.333,96937,0.996,0.020,5.768E-4,560.040,0.910,0.182,0.788,254.962,15.968,0.969,0.433,0.658,10.316,0.375,0.612,8.931,85.257,0.103,2.460,254.610,9.286,254.984,0.454
11,1049,348.000,51.107,0,85,85,447.898,66.940,446.463,62.589,134.953,430,47,35,40,44.871,29.766,122.687,0.724,47.202,78503.000,0,0.798,-0.273,0,78503.000,433,48,126.384,31.557,1.507,0.663,0.929,Test,134.953,47.202,31.557,1.496,7.775,1153.000,124.598,36.546,42.957,15.779,23.601,17.986,9.312,1169.903,0.669,5.894,17.362,0.599,0.774,0.910,0.923,104.000,1489.567,0.704,0.669,1.382,0.077,0.851,0.724,914.047,7.699,0.000,NaN,NaN,89165,1.000,-0.000,0.000,603.190,0.903,0.177,0.778,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
12,1135,376.000,46.599,0,85,85,33.747,65.877,32.650,65.033,155.338,11,48,46,39,53.419,27.053,34.024,0.591,54.672,136459.000,0,-0.097,-0.663,0,136459.000,12,83,39.806,28.978,1.975,0.506,0.913,Test,155.338,54.672,28.978,1.887,9.889,1698.500,135.506,38.015,49.446,14.489,27.336,19.117,22.933,1244.303,0.530,3.992,21.260,0.483,0.695,0.668,0.872,563.500,1584.296,0.716,0.530,1.692,0.095,0.769,0.591,979.662,3.138,0.000,NaN,NaN,96475,1.000,-0.000,0.000,436.727,0.931,0.202,0.790,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
13,1466,489.000,50.287,0,85,243,240.826,67.035,239.509,64.420,184.409,212,48,57,37,60.540,30.832,157.304,0.542,61.911,172551.000,0,0.024,-0.831,0,172551.000,213,52,148.878,33.864,1.964,0.509,0.922,Test,184.409,61.911,33.864,1.828,9.162,1782.000,154.679,43.204,58.699,16.932,30.956,22.715,27.373,1646.649,0.547,4.342,23.197,0.487,0.698,0.823,0.839,316.000,2096.579,0.699,0.547,1.846,0.027,0.736,0.542,1281.591,4.344,8.598,17.117,291.947,125346,0.993,0.041,0.001,461.995,0.929,0.266,0.791,254.913,15.966,1.624,0.842,0.917,14.399,0.751,0.867,12.849,85.502,0.238,4.090,254.223,13.287,254.972,0.621
14,1318,437.000,44.288,0,85,85,378.402,67.864,379.240,65.030,152.610,359,48,41,39,43.024,39.004,25.351,0.711,47.634,165578.000,0,-0.297,0.140,0,165578.000,360,85,50.964,38.799,1.103,0.907,0.950,Test,152.610,47.634,38.799,1.228,12.640,1891.500,136.574,40.965,48.577,19.400,23.817,20.696,2.908,1451.546,0.815,12.137,17.671,0.740,0.860,0.697,0.895,573.500,1848.166,0.713,0.815,1.406,0.078,0.843,0.711,1165.390,9.365,0.000,NaN,NaN,112030,1.000,-0.000,0.000,486.023,0.924,0.215,0.803,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
15,1175,392.000,35.385,0,85,237,103.018,112.288,103.004,110.927,141.439,84,92,38,42,47.276,31.645,132.035,0.738,50.220,173018.000,0,-0.396,0.343,0,173018.000,89,92,125.272,33.234,1.494,0.669,0.943,Test,141.439,50.220,33.234,1.511,11.976,1889.500,130.866,38.679,45.021,16.617,25.110,19.348,10.618,1310.827,0.662,5.938,17.025,0.593,0.770,0.622,0.925,714.500,1668.996,0.704,0.662,1.355,0.135,0.859,0.738,1033.561,5.244,8.454,17.162,293.638,100454,0.993,0.040,0.001,500.122,0.923,0.259,0.773,254.932,15.967,1.444,0.841,0.917,14.416,0.706,0.840,12.077,85.493,0.198,3.442,254.269,12.535,254.973,0.934
16,890,297.000,45.168,0,85,240,241.492,111.374,241.442,109.969,127.054,228,92,27,41,42.630,26.582,101.256,0.693,43.382,117693.000,0,0.030,-0.853,0,117693.000,231,92,115.974,27.000,1.604,0.624,0.937,Test,127.054,43.382,27.000,1.607,11.692,1593.500,116.063,33.663,40.442,13.500,21.691,17.393,8.797,919.948,0.622,5.864,18.138,0.602,0.776,0.559,0.913,703.500,1171.315,0.760,0.622,1.443,0.175,0.832,0.693,762.946,11.190,8.873,15.108,229.316,76177,0.991,0.051,0.001,375.397,0.942,0.241,0.833,254.800,15.962,3.361,1.000,1.000,14.914,0.979,0.989,14.594,85.593,0.371,6.189,253.935,15.886,254.862,2.237
17,1223,407.000,48.618,0,85,234,309.881,111.636,309.227,110.151,148.752,287,92,47,41,53.487,29.113,35.334,0.695,54.818,137473.000,0,0.162,-0.927,0,137473.000,290,131,38.333,30.800,1.837,0.544,0.927,Test,148.752,54.818,30.800,1.780,8.193,1411.000,137.834,39.461,47.349,15.400,27.409,19.805,21.700,1326.059,0.562,4.252,18.093,0.518,0.720,0.867,0.927,188.000,1688.391,0.724,0.562,1.440,0.056,0.833,0.695,1074.248,2.367,5.824,24.713,609.446,104243,0.997,0.019,5.214E-4,493.780,0.921,0.350,0.815,254.945,15.967,1.379,0.401,0.634,9.924,0.361,0.600,8.918,85.236,0.137,3.376,254.625,9.281,254.984,0.389
18,1389,461.000,51.790,0,85,229,377.556,111.504,378.614,108.198,155.338,353,92,51,39,53.856,32.838,28.194,0.723,55.444,148550.000,0,0.197,-0.822,0,148550.000,357,129,39.144,34.665,1.640,0.610,0.933,Test,155.338,55.444,34.665,1.599,11.712,2040.000,144.264,42.054,49.446,17.332,27.722,21.661,16.049,1509.495,0.625,5.407,17.372,0.575,0.758,0.681,0.929,651.000,1921.949,0.723,0.625,1.382,0.070,0.851,0.723,1233.662,2.962,3.864,37.229,1384.001,118209,0.999,0.009,2.295E-4,465.669,0.923,0.373,0.828,254.986,15.968,0.537,0.177,0.421,6.601,0.148,0.385,5.527,85.104,0.039,1.449,254.846,5.742,254.994,0.241
