 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,451,149.000,33.634,0,85,85,15.292,15.076,15.335,12.551,78.527,4,4,23,23,26.403,21.748,42.947,0.919,28.425,17815.000,0,1.237,0.495,0,17815.000,5,25,39.289,23.000,1.214,0.824,0.965,Test,78.527,28.425,23.000,1.236,5.549,495.500,79.466,23.963,24.996,11.500,14.213,12.029,1.781,513.480,0.809,9.012,13.673,0.711,0.843,0.910,1.012,44.500,653.783,0.690,0.809,1.088,0.246,0.959,0.919,372.473,10.055,0.000,NaN,NaN,38335,1.000,-0.000,0.000,133.650,-0.083,0.004,0.238,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
2,426,141.000,29.094,0,85,85,77.068,15.667,76.775,14.675,77.941,66,4,23,23,25.704,21.102,128.627,0.881,27.019,39502.000,0,-0.382,0.421,0,39502.000,68,6,141.009,22.361,1.218,0.821,0.942,Test,77.941,27.019,22.361,1.208,5.608,476.000,77.874,23.289,24.809,11.180,13.509,11.703,2.227,474.500,0.828,7.843,14.260,0.743,0.862,0.895,0.999,50.000,604.152,0.705,0.828,1.135,0.065,0.939,0.881,348.059,2.668,0.000,NaN,NaN,36210,1.000,-0.000,0.000,137.666,-0.028,0.005,0.244,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
3,417,140.000,43.670,0,85,216,108.068,15.392,107.094,14.687,80.426,98,4,21,23,26.007,20.415,57.150,0.810,29.206,27740.000,0,0.523,-0.374,0,27740.000,98,27,51.953,21.000,1.274,0.785,0.960,Test,80.426,29.206,21.000,1.391,4.997,458.500,78.372,23.042,25.601,10.500,14.603,11.234,1.634,481.708,0.719,8.789,15.512,0.622,0.789,0.909,0.974,41.500,613.329,0.680,0.719,1.234,0.312,0.900,0.810,336.574,4.027,12.481,8.835,79.197,36055,0.971,0.146,0.002,154.696,-0.080,0.004,0.239,254.187,15.943,7.667,2.664,1.632,22.292,2.547,1.596,21.323,86.466,1.333,15.220,251.837,26.308,254.249,7.201
4,368,132.000,52.895,0,85,234,200.500,15.090,200.514,13.028,81.355,191,4,19,23,25.328,18.499,64.017,0.699,27.803,26299.000,0,1.061,0.433,0,26299.000,192,26,52.306,19.000,1.369,0.730,0.951,Test,81.355,27.803,19.000,1.463,4.705,411.000,73.559,21.646,25.896,9.500,13.901,10.568,3.159,414.890,0.683,5.946,17.986,0.606,0.779,0.895,0.904,43.000,528.255,0.697,0.683,1.431,1.682,0.836,0.699,286.645,3.837,28.581,3.799,12.915,33951,0.879,0.598,0.012,152.800,-0.092,0.005,0.246,253.239,15.913,8.707,12.348,3.514,48.186,11.204,3.347,43.758,92.264,1.701,13.677,242.375,49.135,253.239,8.707
5,359,121.000,46.330,0,85,211,139.375,14.748,139.229,13.107,70.527,128,5,23,19,24.857,18.389,25.646,0.907,26.077,36575.000,0,0.250,-0.805,0,36575.000,128,22,32.471,19.000,1.352,0.740,0.954,Test,70.527,26.077,19.000,1.372,4.931,404.000,71.483,21.380,22.449,9.500,13.038,10.764,2.560,389.133,0.729,6.728,13.855,0.672,0.820,0.889,1.014,45.000,495.459,0.725,0.729,1.103,0.135,0.952,0.907,288.473,9.885,12.425,9.418,87.253,30986,0.978,0.111,0.002,146.230,-0.050,0.005,0.245,254.869,15.965,2.428,2.315,1.521,21.862,1.749,1.323,16.506,86.311,0.276,2.609,253.150,17.512,254.869,2.428
6,414,137.000,31.981,0,85,85,170.599,14.614,170.080,12.550,75.456,159,5,23,20,24.985,21.098,160.567,0.914,27.659,19791.000,0,0.493,-0.707,0,19791.000,159,6,139.399,20.000,1.184,0.844,0.975,Test,75.456,27.659,20.000,1.383,5.374,467.000,76.685,22.959,24.018,10.000,13.829,11.995,1.029,434.461,0.723,11.823,13.753,0.689,0.830,0.887,1.016,53.000,553.173,0.748,0.723,1.094,0.569,0.956,0.914,338.544,5.290,0.000,NaN,NaN,35190,1.000,-0.000,0.000,148.342,-0.034,0.004,0.237,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
7,386,133.000,53.055,0,85,213,46.459,14.917,46.718,11.933,74.042,35,6,23,18,25.063,19.610,0.826,0.885,26.077,25534.000,0,0.679,-0.846,0,25534.000,35,21,32.471,18.000,1.278,0.782,0.974,Test,74.042,26.077,18.000,1.449,5.426,444.500,74.748,22.169,23.568,9.000,13.038,11.902,1.459,368.652,0.690,9.855,14.202,0.723,0.850,0.868,1.010,58.500,469.383,0.822,0.690,1.130,0.461,0.941,0.885,311.958,8.071,18.085,5.187,25.695,34143,0.929,0.346,0.005,152.073,-0.081,0.005,0.249,253.373,15.918,9.929,6.098,2.470,31.616,5.899,2.429,30.509,88.457,1.909,19.638,247.832,37.224,253.373,9.929
8,369,126.000,41.289,0,85,218,46.112,46.378,46.412,43.485,71.456,37,35,18,23,24.815,18.933,103.429,0.908,26.077,19892.000,0,1.557,2.124,0,19892.000,40,35,122.471,18.000,1.311,0.763,0.967,Test,71.456,26.077,18.000,1.449,7.007,574.000,72.655,21.675,22.745,9.000,13.038,11.350,1.220,368.652,0.690,10.274,13.837,0.691,0.831,0.643,1.017,205.000,469.383,0.786,0.690,1.101,0.322,0.953,0.908,297.544,10.440,16.939,6.053,35.578,32394,0.947,0.270,0.004,355.824,0.876,0.014,0.315,253.921,15.935,7.409,4.878,2.209,29.394,4.569,2.138,27.494,87.790,0.916,13.135,249.556,32.747,253.921,7.409
9,419,141.000,41.747,0,85,207,107.154,46.560,106.927,44.536,75.698,97,35,21,23,25.947,20.560,119.201,0.919,28.018,38383.000,0,0.284,-0.264,0,38383.000,99,35,124.824,21.000,1.262,0.792,0.968,Test,75.698,28.018,21.000,1.334,7.504,660.500,77.343,23.097,24.096,10.500,14.009,11.817,2.217,462.109,0.750,7.936,13.676,0.680,0.824,0.634,1.022,241.500,588.375,0.712,0.750,1.088,0.240,0.959,0.919,343.302,9.733,13.298,7.655,57.239,36337,0.967,0.165,0.003,585.520,0.891,0.069,0.434,254.458,15.952,4.435,3.112,1.764,23.969,2.601,1.613,19.991,86.724,0.310,2.439,252.010,22.978,254.458,4.435
10,386,128.000,37.830,0,85,85,138.487,46.324,138.668,44.292,73.355,128,35,21,23,25.850,19.012,57.663,0.901,27.203,34372.000,0,0.089,-0.715,0,34372.000,130,57,53.973,19.597,1.360,0.735,0.954,Test,73.355,27.203,19.597,1.388,6.986,597.000,73.812,22.169,23.350,9.799,13.601,11.034,2.398,418.703,0.720,7.125,13.940,0.664,0.815,0.647,1.006,211.000,533.109,0.724,0.720,1.109,0.127,0.949,0.901,312.645,2.577,0.000,NaN,NaN,32810,1.000,-0.000,0.000,672.201,0.879,0.073,0.434,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
