 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,335,111.000,26.875,0,85,85,13.984,13.422,13.357,11.077,66.284,4,4,20,19,21.339,19.988,7.005,0.958,22.825,12722.000,0,0.509,-0.637,0,12722.000,4,8,151.189,19,1.068,0.937,0.971,Test,66.284,22.825,19,1.201,5.118,367.000,67.915,20.653,21.099,9.500,11.413,10.687,0.804,340.614,0.832,11.919,13.115,0.819,0.905,0.913,1.025,32.000,433.683,0.772,0.832,1.044,0.174,0.979,0.958,268.716,6.046,0.000,NaN,NaN,28475,1.000,-0.000,0.000,102.288,-0.172,0.007,0.287,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
2,290,96.000,24.945,0,85,85,41.059,13.172,41.036,10.995,62.284,32,4,18,19,20.105,18.366,111.932,0.939,21.954,10732.000,0,0.635,-0.346,0,10732.000,35,4,120.069,18,1.095,0.913,0.957,Test,62.284,21.954,18,1.220,4.712,325.000,63.405,19.216,19.826,9.000,10.977,9.769,0.415,310.374,0.820,15.171,13.377,0.766,0.875,0.892,1.018,35.000,395.181,0.734,0.820,1.065,0.054,0.969,0.939,227.716,3.942,0.000,NaN,NaN,24650,1.000,-0.000,0.000,105.532,-0.169,0.007,0.286,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
3,283,93.000,28.493,0,85,85,69.108,12.691,68.220,10.699,61.698,60,4,19,18,20.496,17.580,139.779,0.934,22.204,13855.000,0,-0.013,-1.134,0,13855.000,61,4,125.838,18,1.166,0.858,0.951,Test,61.698,22.204,18,1.234,4.609,321.500,63.393,18.982,19.639,9.000,11.102,9.664,0.990,313.896,0.811,9.711,13.451,0.731,0.855,0.880,1.027,38.500,399.665,0.708,0.811,1.070,0.951,0.967,0.934,221.302,5.522,0.000,NaN,NaN,24055,1.000,-0.000,0.000,108.564,-0.158,0.006,0.267,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
4,274,90.000,24.318,0,85,85,96.241,13.252,96.729,11.129,61.355,88,4,18,19,20.016,17.430,57.580,0.915,21.471,10060.000,0,0.665,-0.177,0,10060.000,91,23,62.241,18,1.148,0.871,0.950,Test,61.355,21.471,18,1.193,4.544,306.500,62.171,18.678,19.530,9.000,10.735,9.415,0.584,303.538,0.838,12.320,13.739,0.757,0.870,0.894,1.013,32.500,386.476,0.709,0.838,1.093,0.042,0.956,0.915,212.645,2.144,0.000,NaN,NaN,23290,1.000,-0.000,0.000,115.674,-0.228,0.007,0.272,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
5,329,109.000,28.386,0,85,85,153.767,12.859,153.951,10.590,67.213,144,4,20,18,21.802,19.214,166.249,0.915,24.413,12637.000,0,0.417,-0.840,0,12637.000,144,5,145.008,18,1.135,0.881,0.975,Test,67.213,24.413,18,1.356,4.766,365.500,68.487,20.467,21.395,9.000,12.207,10.996,0.735,345.132,0.737,12.829,13.731,0.703,0.838,0.900,1.019,36.500,439.436,0.749,0.737,1.093,1.791,0.957,0.915,261.787,6.807,0.000,NaN,NaN,27965,1.000,-0.000,0.000,108.005,-0.160,0.008,0.282,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
6,242,80.000,25.414,0,85,85,181.963,13.240,181.902,11.407,57.799,175,4,14,19,20.380,15.119,95.210,0.910,21.095,10304.000,0,0.584,-0.119,0,10304.000,176,4,121.430,14,1.348,0.742,0.970,Test,57.799,21.095,14,1.507,4.067,269.500,59.543,17.553,18.398,7.000,10.548,9.570,0.789,231.952,0.664,10.772,13.805,0.692,0.832,0.898,1.030,27.500,295.330,0.819,0.664,1.099,0.323,0.954,0.910,184.201,7.411,0.000,NaN,NaN,20570,1.000,-0.000,0.000,91.898,-0.130,0.007,0.278,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
7,351,116.000,24.347,0,85,85,209.922,13.252,210.009,11.117,68.627,200,4,20,19,21.679,20.615,169.192,0.937,23.854,13368.000,0,0.486,-0.754,0,13368.000,200,6,146.976,19,1.052,0.951,0.980,Test,68.627,23.854,19,1.255,5.204,390.000,70.614,21.140,21.845,9.500,11.927,11.288,0.613,355.959,0.797,14.417,13.418,0.785,0.886,0.900,1.029,39.000,453.221,0.774,0.797,1.068,0.245,0.968,0.937,282.373,7.915,0.000,NaN,NaN,29835,1.000,-0.000,0.000,92.787,-0.121,0.007,0.289,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
8,315,104.000,22.460,0,85,85,237.795,13.471,237.794,11.845,64.627,229,4,18,19,20.675,19.399,106.670,0.948,22.804,17368.000,0,0.271,-0.140,0,17368.000,231,4,127.875,18,1.066,0.938,0.978,Test,64.627,22.804,18,1.267,4.830,346.000,66.614,20.027,20.572,9.000,11.402,10.716,0.393,322.377,0.789,17.102,13.259,0.771,0.878,0.910,1.031,31.000,410.463,0.767,0.789,1.055,0.289,0.974,0.948,250.373,6.946,0.000,NaN,NaN,26775,1.000,-0.000,0.000,92.840,-0.103,0.007,0.279,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
9,293,97.000,26.204,0,85,85,293.012,13.234,293.120,11.402,62.284,284,4,18,19,19.790,18.851,86.304,0.949,21.471,14473.000,0,0.044,-0.472,0,14473.000,289,23,62.241,18,1.050,0.953,0.961,Test,62.284,21.471,18,1.193,4.848,327.000,64.142,19.315,19.826,9.000,10.735,9.846,0.309,303.538,0.838,17.725,13.240,0.809,0.900,0.896,1.030,34.000,386.476,0.758,0.838,1.054,0.036,0.974,0.949,230.716,5.173,0.000,NaN,NaN,24905,1.000,-0.000,0.000,86.297,-0.045,0.007,0.275,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
10,311,103.000,32.184,0,85,85,321.278,13.182,321.315,11.110,64.870,312,4,19,19,20.150,19.652,94.884,0.929,22.472,13896.000,0,0.506,-0.770,0,13896.000,315,23,57.724,19,1.025,0.975,0.960,Test,64.870,22.472,19,1.183,4.929,348.000,65.966,19.899,20.649,9.500,11.236,10.178,0.411,335.343,0.845,15.882,13.531,0.784,0.886,0.894,1.017,37.000,426.972,0.728,0.845,1.077,0.053,0.964,0.929,246.130,11.654,0.000,NaN,NaN,26435,1.000,-0.000,0.000,75.156,0.035,0.007,0.277,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
