 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,1087,363.000,53.030,0,85,234,492.356,22.316,493.782,17.251,133.296,476,2,34,42,44.431,31.150,59.511,0.769,46.325,85642.000,0,0.803,-0.478,0,85642.000,481,43,57.339,33.916,1.426,0.701,0.937,Test,133.296,46.325,33.916,1.366,7.974,1160.500,125.544,37.202,42.430,16.958,23.162,18.490,7.355,1233.991,0.732,6.818,16.346,0.645,0.803,0.937,0.942,73.500,1571.166,0.692,0.732,1.301,0.137,0.877,0.769,953.704,7.059,9.047,14.790,218.232,93061,0.991,0.051,0.001,105.795,0.040,0.019,0.454,254.857,15.964,2.196,1.005,1.002,14.813,0.976,0.988,14.384,85.613,0.152,2.743,253.893,16.294,254.864,2.128
2,1071,356.000,47.295,0,85,225,77.196,23.030,76.679,18.377,127.154,62,3,32,40,41.563,32.809,93.378,0.832,43.909,71734.000,0,0.985,0.013,0,71734.000,64,5,120.069,32.000,1.267,0.789,0.955,Test,127.154,43.909,32.000,1.372,8.137,1122.500,123.038,36.927,40.474,16.000,21.954,19.407,2.480,1103.553,0.729,12.324,15.096,0.707,0.841,0.954,0.968,51.500,1405.088,0.762,0.729,1.201,0.280,0.912,0.832,943.846,3.196,5.835,23.124,533.435,91305,0.996,0.021,5.233E-4,64.565,0.032,0.016,0.446,254.960,15.967,0.941,0.410,0.640,9.484,0.387,0.622,8.945,85.252,0.037,0.865,254.577,9.784,254.960,0.941
3,1060,352.000,48.098,0,85,204,181.461,23.052,179.862,20.389,125.154,166,3,31,40,40.926,32.977,99.728,0.850,42.544,87114.000,0,0.544,-0.642,0,87114.000,173,4,113.552,31.000,1.241,0.806,0.962,Test,125.154,42.544,31.000,1.372,8.331,1113.500,121.721,36.737,39.838,15.500,21.272,19.313,1.286,1035.836,0.729,17.034,14.777,0.746,0.864,0.952,0.973,53.500,1318.867,0.804,0.729,1.176,0.054,0.922,0.850,934.846,10.559,5.123,22.959,525.154,90336,0.996,0.022,4.035E-4,67.635,0.034,0.018,0.456,254.881,15.965,2.744,0.390,0.624,8.968,0.399,0.632,9.184,85.223,0.267,6.155,254.562,10.082,254.918,1.895
4,1083,359.000,47.268,0,85,85,336.805,23.667,337.772,20.031,131.397,321,3,34,40,42.014,32.821,117.038,0.788,45.651,81023.000,0,0.686,-0.673,0,81023.000,325,3,118.811,34.000,1.280,0.781,0.950,Test,131.397,45.651,34.000,1.343,7.959,1141.500,123.851,37.134,41.825,17.000,22.825,18.951,4.950,1219.039,0.745,8.517,15.942,0.662,0.813,0.949,0.943,58.500,1552.129,0.698,0.745,1.269,0.882,0.888,0.788,951.603,1.347,0.000,NaN,NaN,92055,1.000,-0.000,0.000,70.781,0.070,0.018,0.455,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
5,1244,414.000,45.935,0,85,236,648.568,22.752,648.203,20.110,137.882,630,3,39,40,41.998,37.714,46.163,0.822,45.486,180717.000,0,-0.293,-0.618,0,180717.000,636,42,56.659,39.000,1.114,0.898,0.947,Test,137.882,45.486,39.000,1.166,9.209,1316.000,131.025,39.798,43.889,19.500,22.743,20.114,2.391,1393.268,0.857,13.009,15.283,0.766,0.875,0.945,0.950,72.000,1773.964,0.701,0.857,1.216,0.067,0.907,0.822,1106.118,5.548,7.279,20.295,409.940,106185,0.995,0.027,8.142E-4,116.969,0.096,0.019,0.450,254.969,15.968,0.724,0.582,0.763,11.843,0.523,0.723,10.652,85.358,0.109,2.293,254.456,11.083,254.978,0.478
6,1174,390.000,39.467,0,85,202,701.767,23.731,702.064,20.684,139.539,682,3,38,40,42.455,35.209,51.500,0.758,44.944,97613.000,0,0.445,-0.651,0,97613.000,690,42,57.724,37.600,1.206,0.829,0.931,Test,139.539,44.944,37.600,1.195,9.005,1271.500,128.171,38.662,44.417,18.800,22.472,19.427,5.306,1327.252,0.837,8.434,16.585,0.740,0.860,0.923,0.919,97.500,1689.910,0.695,0.837,1.320,0.070,0.870,0.758,1034.461,1.788,3.415,34.220,1169.001,99907,0.998,0.010,1.793E-4,140.778,0.057,0.022,0.468,254.955,15.967,1.547,0.164,0.405,5.633,0.181,0.425,6.187,85.100,0.162,5.545,254.802,6.800,254.963,1.255
7,1447,480.000,41.514,0,85,85,26.561,24.061,27.196,21.712,150.125,4,4,44,40,46.270,39.818,17.887,0.807,48.332,206638.000,0,-0.371,-0.545,0,206638.000,4,33,24.444,40.000,1.162,0.861,0.957,Test,150.125,48.332,40.000,1.208,10.211,1550.500,140.953,42.923,47.786,20.000,24.166,21.350,3.606,1518.400,0.828,11.242,15.575,0.789,0.888,0.933,0.939,103.500,1933.287,0.748,0.828,1.239,2.162,0.898,0.807,1296.875,4.561,0.000,NaN,NaN,122995,1.000,-0.000,0.000,76.554,0.015,0.017,0.446,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
8,1209,401.000,44.891,0,85,85,129.855,22.946,129.547,18.880,134.811,110,4,38,39,41.878,36.758,119.274,0.836,43.829,75267.000,0,1.038,0.193,0,75267.000,117,5,124.778,38.000,1.139,0.878,0.956,Test,134.811,43.829,38.000,1.153,9.441,1300.000,128.401,39.235,42.912,19.000,21.915,19.783,3.150,1308.089,0.867,11.146,15.032,0.801,0.895,0.930,0.952,91.000,1665.510,0.726,0.867,1.196,0.025,0.914,0.836,1074.189,10.414,0.000,NaN,NaN,102765,1.000,-0.000,0.000,56.531,0.078,0.020,0.475,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
9,1308,434.000,45.438,0,85,85,283.784,21.937,283.462,18.297,141.539,264,4,44,40,45.656,36.477,31.512,0.820,47.508,96344.000,0,0.508,-0.810,0,96344.000,264,34,30.343,38.718,1.252,0.799,0.937,Test,141.539,47.508,38.718,1.227,9.631,1437.500,136.482,40.809,45.053,19.359,23.754,20.744,5.918,1444.688,0.815,8.527,15.316,0.738,0.859,0.910,0.964,129.500,1839.434,0.711,0.815,1.219,0.161,0.906,0.820,1166.461,1.536,0.000,NaN,NaN,111180,1.000,-0.000,0.000,90.998,0.070,0.018,0.456,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
10,1238,411.000,40.715,0,85,85,388.641,23.184,387.757,21.228,148.368,370,4,39,39,44.702,35.262,54.605,0.707,49.518,134116.000,0,0.183,-0.799,0,134116.000,372,41,46.637,37.499,1.268,0.789,0.935,Test,148.368,49.518,37.499,1.320,8.771,1364.500,134.247,39.702,47.227,18.750,24.759,19.746,7.695,1458.394,0.757,7.118,17.781,0.643,0.802,0.907,0.905,126.500,1856.885,0.667,0.757,1.415,0.130,0.841,0.707,1089.632,4.804,0.000,NaN,NaN,105230,1.000,-0.000,0.000,101.893,0.082,0.018,0.442,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
