 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,1134,376.000,35.724,0,85,85,103.835,22.604,103.275,18.582,125.154,87,3,34,40,42.951,33.616,114.092,0.910,44.407,86728.000,0,-0.222,-0.944,0,86728.000,91,4,125.838,34.000,1.278,0.783,0.970,Test,125.154,44.407,34.000,1.306,8.544,1192.000,124.542,37.998,39.838,17.000,22.204,19.299,4.377,1185.830,0.766,9.225,13.813,0.732,0.856,0.951,0.995,58.000,1509.845,0.751,0.766,1.099,0.142,0.954,0.910,1008.846,14.019,0.000,NaN,NaN,96390,1.000,-0.000,0.000,155.444,0.895,0.014,0.442,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
2,1173,389.000,40.310,0,85,85,188.733,22.597,188.369,17.415,126.811,171,3,36,40,40.438,36.933,91.711,0.917,41.785,68490.000,0,0.577,-0.802,0,68490.000,181,3,111.038,36.000,1.095,0.913,0.965,Test,126.811,41.785,36.000,1.161,9.412,1235.500,125.126,38.646,40.365,18.000,20.893,19.556,0.751,1181.448,0.862,22.562,13.709,0.855,0.925,0.949,0.987,62.500,1504.266,0.780,0.862,1.091,0.101,0.957,0.917,1046.189,5.549,0.000,NaN,NaN,99705,1.000,-0.000,0.000,162.276,0.916,0.018,0.465,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
3,1099,364.000,31.945,0,85,85,20.563,22.776,20.312,18.448,122.912,4,4,34,38,39.928,35.046,81.261,0.914,41.593,59185.000,0,0.545,-0.509,0,59185.000,11,41,62.819,34.000,1.139,0.878,0.972,Test,122.912,41.593,34.000,1.223,8.916,1165.000,121.658,37.407,39.124,17.000,20.797,19.128,1.075,1110.687,0.817,18.450,13.746,0.809,0.899,0.943,0.990,66.000,1414.171,0.777,0.817,1.094,0.276,0.956,0.914,976.088,2.718,0.000,NaN,NaN,93415,1.000,-0.000,0.000,126.245,0.808,0.013,0.434,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
4,1098,364.000,36.694,0,85,85,146.567,22.448,145.734,18.204,122.225,129,4,36,38,38.428,36.380,108.837,0.924,40.162,76386.000,0,0.022,-1.119,0,76386.000,138,4,108.886,36.000,1.056,0.947,0.963,Test,122.225,40.162,36.000,1.116,9.293,1172.500,121.352,37.390,38.906,18.000,20.081,18.795,0.604,1135.559,0.896,24.189,13.606,0.867,0.931,0.936,0.993,74.500,1445.838,0.759,0.896,1.083,0.188,0.961,0.924,975.775,6.576,0.000,NaN,NaN,93330,1.000,-0.000,0.000,143.701,0.914,0.016,0.462,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
5,1061,352.000,40.479,0,85,85,230.707,22.286,229.888,17.887,119.740,213,5,36,35,39.291,34.382,38.032,0.930,41.881,74594.000,0,-0.169,-1.279,0,74594.000,219,40,56.689,35.000,1.143,0.875,0.971,Test,119.740,41.881,35.000,1.197,8.645,1137.500,120.045,36.755,38.114,17.500,20.940,18.514,1.893,1151.258,0.836,13.458,13.513,0.770,0.878,0.933,1.003,76.500,1465.827,0.724,0.836,1.075,0.287,0.964,0.930,941.260,21.233,0.000,NaN,NaN,90185,1.000,-0.000,0.000,202.176,0.898,0.019,0.459,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
6,1095,363.000,39.083,0,85,85,272.757,22.217,273.030,18.549,121.497,255,5,36,35,38.199,36.498,166.888,0.932,41.049,83725.000,0,0.087,-1.008,0,83725.000,256,10,145.923,35.000,1.047,0.955,0.973,Test,121.497,41.049,35.000,1.173,9.053,1167.500,121.385,37.339,38.674,17.500,20.524,19.152,0.589,1128.386,0.853,24.963,13.481,0.827,0.910,0.938,0.999,72.500,1436.706,0.762,0.853,1.073,0.155,0.965,0.932,973.503,9.182,0.000,NaN,NaN,93075,1.000,-0.000,0.000,198.857,0.903,0.021,0.468,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
7,1100,365.000,37.299,0,85,85,314.898,22.849,315.092,18.787,120.811,296,5,38,35,38.970,35.940,175.875,0.947,39.925,79923.000,0,-0.225,-1.172,0,79923.000,296,17,157.932,35.000,1.084,0.922,0.972,Test,120.811,39.925,35.000,1.141,9.264,1162.000,120.886,37.424,38.455,17.500,19.962,18.918,1.408,1097.494,0.877,15.943,13.268,0.879,0.937,0.947,1.001,62.000,1397.373,0.787,0.877,1.056,0.056,0.973,0.947,979.189,8.112,0.000,NaN,NaN,93500,1.000,-0.000,0.000,238.170,0.896,0.022,0.471,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
8,1013,336.000,27.531,0,85,85,61.667,23.051,61.680,21.475,118.912,45,6,36,34,37.970,33.969,44.856,0.900,41.110,86353.000,0,-0.355,0.397,0,86353.000,46,37,41.055,34.000,1.118,0.895,0.966,Test,118.912,41.110,34.000,1.209,8.467,1093.500,117.909,35.914,37.851,17.000,20.555,18.413,1.539,1097.772,0.827,14.842,13.959,0.763,0.874,0.926,0.992,80.500,1397.727,0.725,0.827,1.111,0.066,0.949,0.900,894.088,11.109,0.000,NaN,NaN,86105,1.000,-0.000,0.000,131.042,0.868,0.013,0.431,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
9,1153,382.000,42.550,0,85,85,272.418,67.642,272.521,63.862,125.154,254,50,38,36,39.221,37.430,177.126,0.925,41.110,102021.000,0,0.031,-1.017,0,102021.000,257,53,138.945,36.000,1.048,0.954,0.971,Test,125.154,41.110,36.000,1.142,12.482,1612.000,124.098,38.315,39.838,18.000,20.555,19.544,0.394,1162.347,0.876,31.148,13.585,0.869,0.932,0.715,0.992,459.000,1479.946,0.779,0.876,1.081,0.159,0.962,0.925,1027.846,11.390,0.000,NaN,NaN,98005,1.000,-0.000,0.000,705.446,0.887,0.351,0.702,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
10,1054,349.000,41.360,0,85,85,62.262,68.153,63.000,64.121,119.497,45,51,36,34,38.227,35.106,150.103,0.928,40.804,72724.000,0,0.275,-1.109,0,72724.000,49,52,126.027,34.000,1.089,0.918,0.973,Test,119.497,40.804,34.000,1.200,11.830,1516.500,119.539,36.633,38.037,17.000,20.402,18.749,0.891,1089.622,0.833,19.866,13.548,0.806,0.898,0.695,1.000,462.500,1387.350,0.760,0.833,1.078,0.030,0.963,0.928,934.503,10.918,0.000,NaN,NaN,89590,1.000,-0.000,0.000,617.022,0.905,0.258,0.672,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
