 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,5213,1731.000,31.721,0,85,187,395.821,41.967,395.453,35.591,269.865,355,3,81,80,86.538,76.700,42.628,0.900,90.785,386373.000,0,-0.375,-0.515,0,386373.000,361,70,40.533,77.782,1.128,0.886,0.980,Test,269.865,90.785,77.782,1.167,18.805,5363.500,261.931,81.470,85.901,38.891,45.393,40.645,6.836,5546.051,0.857,15.546,13.970,0.805,0.897,0.972,0.971,150.500,7061.452,0.738,0.857,1.112,0.058,0.948,0.900,4943.135,2.062,1.413,72.180,5208.000,443207,1.000,0.003,3.069E-5,138.296,0.974,0.113,0.691,254.994,15.969,0.443,0.034,0.184,2.451,0.031,0.176,2.230,85.020,0.002,0.139,254.965,2.562,254.994,0.443
2,4682,1554.000,22.127,0,85,185,569.134,44.629,567.674,42.068,257.806,532,3,79,81,79.078,75.386,63.905,0.885,84.504,340190.000,0,0.026,1.142,0,340190.000,548,82,69.206,74.246,1.049,0.953,0.974,Test,257.806,84.504,74.246,1.138,18.197,4831.000,250.494,77.210,82.062,37.123,42.252,38.273,4.678,4927.694,0.879,17.696,14.196,0.835,0.914,0.969,0.972,149.000,6274.134,0.746,0.879,1.130,0.011,0.941,0.885,4424.194,10.478,1.461,68.403,4677.000,398070,1.000,0.003,3.285E-5,146.792,0.974,0.127,0.699,254.992,15.968,0.526,0.036,0.191,2.484,0.035,0.188,2.426,85.021,6.408E-4,0.044,254.959,2.835,254.992,0.526
3,5208,1730.000,28.219,0,85,206,42.900,44.081,41.226,38.937,267.037,4,4,80,79,81.899,80.966,164.291,0.918,84.024,366486.000,0,-0.415,0.020,0,366486.000,19,9,128.234,79.000,1.012,0.989,0.984,Test,267.037,84.024,79.000,1.064,20.203,5333.000,259.944,81.431,85.000,39.500,42.012,41.137,0.708,5213.379,0.940,48.903,13.692,0.939,0.969,0.977,0.973,125.000,6637.881,0.785,0.940,1.090,0.050,0.958,0.918,4940.963,23.342,2.229,51.332,2644.096,442907,0.999,0.005,7.639E-5,133.115,0.973,0.105,0.682,254.987,15.968,0.704,0.073,0.270,3.726,0.071,0.266,3.618,85.043,0.002,0.119,254.918,4.193,254.987,0.704
4,5089,1689.000,31.886,0,85,85,131.549,41.811,131.186,36.298,265.380,92,4,79,78,84.740,76.464,41.201,0.908,88.865,418844.000,0,-0.660,-0.078,0,418844.000,98,69,39.063,78.000,1.108,0.902,0.982,Test,265.380,88.865,78.000,1.139,18.746,5233.500,258.271,80.495,84.473,39.000,44.433,40.515,5.002,5443.968,0.878,18.116,13.839,0.821,0.906,0.972,0.973,144.500,6931.475,0.734,0.878,1.101,0.008,0.953,0.908,4823.620,14.759,0.000,NaN,NaN,432565,1.000,-0.000,0.000,126.765,0.974,0.102,0.682,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
5,4858,1614.000,30.141,0,85,245,306.850,44.229,306.136,37.697,258.693,269,4,77,79,79.435,77.867,102.100,0.912,81.541,331868.000,0,-0.367,-0.057,0,331868.000,293,5,113.106,77.000,1.020,0.980,0.979,Test,258.693,81.541,77.000,1.059,19.507,4997.000,251.328,78.647,82.345,38.500,40.771,39.402,1.329,4931.270,0.944,34.177,13.776,0.930,0.965,0.972,0.972,139.000,6278.688,0.774,0.944,1.096,0.009,0.955,0.912,4599.307,11.545,3.414,37.641,1487.578,413394,0.998,0.011,1.792E-4,126.389,0.976,0.112,0.688,254.969,15.968,1.269,0.161,0.401,5.648,0.157,0.396,5.526,85.096,0.006,0.250,254.817,6.387,254.969,1.269
6,4873,1617.000,33.449,0,85,85,219.075,43.859,218.114,37.933,259.279,179,6,82,74,83.196,74.577,164.665,0.911,87.316,392333.000,0,-0.741,-0.129,0,392333.000,179,29,159.905,74.000,1.116,0.896,0.980,Test,259.279,87.316,74.000,1.180,18.404,5048.500,253.039,78.769,82.531,37.000,43.658,39.461,3.690,5074.731,0.848,20.543,13.796,0.814,0.902,0.965,0.976,175.500,6461.348,0.754,0.848,1.098,0.032,0.954,0.911,4613.721,12.094,0.000,NaN,NaN,414205,1.000,-0.000,0.000,141.257,0.974,0.117,0.694,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
7,4895,1626.000,34.763,0,85,222,482.356,42.213,482.502,35.385,261.279,443,6,82,74,83.102,74.999,10.767,0.901,85.440,416894.000,0,-0.597,-0.418,0,416894.000,443,55,16.314,74.000,1.108,0.902,0.979,Test,261.279,85.440,74.000,1.155,18.933,5082.000,253.476,78.946,83.168,37.000,42.720,39.757,2.489,4965.729,0.866,25.198,13.946,0.854,0.924,0.963,0.970,187.000,6322.563,0.774,0.866,1.110,0.006,0.949,0.901,4633.721,14.188,2.424,51.177,2669.935,416312,0.999,0.006,9.036E-5,145.756,0.973,0.123,0.697,254.991,15.968,0.600,0.079,0.282,3.947,0.074,0.272,3.683,85.048,0.004,0.202,254.919,4.002,254.991,0.600
8,4706,1562.000,25.846,0,85,149,220.770,129.560,220.194,124.285,255.865,183,90,73,81,84.074,71.269,115.417,0.903,85.235,317455.000,0,-0.110,-0.116,0,317455.000,199,94,121.079,72.666,1.180,0.848,0.978,Test,255.865,85.235,72.666,1.173,21.832,5846.000,249.202,77.407,81.444,36.333,42.617,38.742,7.666,4864.490,0.853,13.993,13.911,0.825,0.908,0.805,0.974,1140.000,6193.661,0.760,0.853,1.107,0.161,0.950,0.903,4450.135,0.952,0.933,68.578,4701.000,400074,1.000,0.003,1.339E-5,275.621,0.954,0.402,0.800,254.975,15.968,1.749,0.032,0.180,2.216,0.034,0.184,2.318,85.014,0.030,2.026,254.954,3.163,254.980,1.399
9,4562,1515.000,29.280,0,85,209,306.078,129.036,305.267,124.784,254.794,272,90,71,81,82.808,70.144,68.841,0.883,88.640,351320.000,0,-0.646,0.064,0,351320.000,289,171,66.038,71.000,1.181,0.847,0.977,Test,254.794,88.640,71.000,1.248,21.130,5884.000,246.868,76.214,81.103,35.500,44.320,38.265,6.383,4942.841,0.801,15.145,14.231,0.739,0.860,0.775,0.969,1322.000,6293.420,0.725,0.801,1.132,0.048,0.940,0.883,4307.206,4.108,2.434,48.067,2318.996,388002,0.999,0.006,9.112E-5,250.862,0.958,0.398,0.803,254.986,15.968,0.934,0.085,0.292,4.062,0.082,0.286,3.908,85.051,0.039,2.520,254.905,4.614,254.986,0.904
10,4872,1617.000,32.675,0,85,85,393.835,130.813,392.567,124.353,259.622,358,90,74,81,84.520,73.393,113.976,0.908,87.235,383609.000,0,-0.655,-0.329,0,383609.000,376,90,115.096,74.000,1.152,0.868,0.980,Test,259.622,87.235,74.000,1.179,21.432,5873.500,252.873,78.761,82.640,37.000,43.618,39.596,5.338,5070.070,0.848,17.138,13.835,0.815,0.903,0.829,0.974,1001.500,6455.413,0.755,0.848,1.101,0.013,0.953,0.908,4612.378,13.657,0.000,NaN,NaN,414120,1.000,-0.000,0.000,260.048,0.956,0.424,0.810,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
