 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,301,99.000,40.000,0,85,85,96.404,13.756,96.468,11.737,71.941,89,2,15,24,25.671,14.929,80.585,0.731,25.632,26124.000,0,0.020,-0.878,0,26124.000,93,26,69.444,15.000,1.720,0.582,0.935,Test,71.941,25.632,15.000,1.709,4.086,329.000,68.942,19.577,22.900,7.500,12.816,10.419,5.112,301.970,0.585,4.608,17.194,0.583,0.764,0.915,0.958,28.000,384.480,0.783,0.585,1.368,0.087,0.855,0.731,229.059,0.963,0,NaN,NaN,25585,1,-0,0,45.645,-0.039,0.011,0.393,255,15.969,0,0,0,0,0,0,0,85,0,0,255,0,255,0
2,366,121.000,29.308,0,85,85,174.817,13.391,175.097,12.584,77.598,162,2,25,22,27.949,16.673,43.232,0.764,30.610,51015.000,0,-0.938,1.069,0,51015.000,162,22,38.367,18.380,1.676,0.597,0.892,Test,77.598,30.610,18.380,1.665,4.289,412.500,76.601,21.587,24.700,9.190,15.305,10.577,6.095,441.890,0.600,4.284,16.452,0.497,0.705,0.887,0.987,46.500,562.631,0.651,0.600,1.309,0.198,0.874,0.764,288.402,4.903,0,NaN,NaN,31110,1,-0,0,72.076,-0.198,0.011,0.404,255,15.969,0,0,0,0,0,0,0,85,0,0,255,0,255,0
3,294,97.000,31.968,0,85,85,331.310,13.997,331.369,12.924,66.770,323,2,16,24,24.072,15.551,75.332,0.829,25.060,37788.000,0,-0.113,-0.495,0,37788.000,325,25,61.390,16.000,1.548,0.646,0.927,Test,66.770,25.060,16.000,1.566,4.039,318.000,66.431,19.348,21.253,8.000,12.530,10.099,2.629,314.912,0.638,6.229,15.164,0.596,0.772,0.925,0.995,24.000,400.959,0.733,0.638,1.207,0.183,0.910,0.829,227.230,5.194,0,NaN,NaN,24990,1,-0,0,56.886,-0.061,0.015,0.433,255,15.969,0,0,0,0,0,0,0,85,0,0,255,0,255,0
4,454,150.000,32.011,0,85,85,370.273,12.771,370.317,11.265,84.669,356,2,28,23,32.546,17.761,145.998,0.796,33.838,33520.000,0,-0.071,0.275,0,33520.000,356,4,145.840,19.047,1.832,0.546,0.938,Test,84.669,33.838,19.047,1.777,4.685,498.000,84.540,24.043,26.951,9.523,16.919,11.489,8.328,506.188,0.563,3.981,15.790,0.505,0.711,0.912,0.998,44.000,644.499,0.704,0.563,1.257,0.230,0.892,0.796,369.331,3.363,0,NaN,NaN,38590,1,-0,0,134.913,0.714,0.011,0.418,255,15.969,0,0,0,0,0,0,0,85,0,0,255,0,255,0
5,561,186.000,29.794,0,85,85,58.263,14.088,58.681,13.148,91.355,42,3,32,21,33.231,21.494,5.394,0.845,33.615,68990.000,0,-1.206,1.886,0,68990.000,43,22,22.751,21.000,1.546,0.647,0.949,Test,91.355,33.615,21.000,1.601,5.625,594.000,91.624,26.726,29.079,10.500,16.808,14.451,2.764,554.432,0.625,8.692,14.877,0.632,0.795,0.944,1.003,33.000,705.925,0.795,0.625,1.184,1.190,0.919,0.845,469.645,13.614,0,NaN,NaN,47685,1,-0,0,54.053,-0.100,0.011,0.411,255,15.969,0,0,0,0,0,0,0,85,0,0,255,0,255,0
6,355,117.000,43.039,0,85,85,136.154,13.725,136.025,12.142,73.012,125,3,22,22,25.467,17.748,132.248,0.837,26.907,41247.000,0,-0.549,-0.470,0,41247.000,128,3,131.987,18.897,1.435,0.697,0.921,Test,73.012,26.907,18.897,1.424,4.738,400.500,72.014,21.260,23.241,9.449,13.454,10.601,2.743,399.349,0.702,6.401,15.016,0.624,0.790,0.886,0.986,45.500,508.467,0.698,0.702,1.195,0.020,0.915,0.837,281.988,2.959,0,NaN,NaN,30175,1,-0,0,72.083,-0.199,0.012,0.393,255,15.969,0,0,0,0,0,0,0,85,0,0,255,0,255,0
7,472,156.000,36.923,0,85,85,213.339,12.883,212.988,11.871,85.113,200,3,28,21,31.501,19.078,24.649,0.819,33.838,58340.000,0,-1.024,0.481,0,58340.000,200,24,34.160,20.878,1.651,0.606,0.952,Test,85.113,33.838,20.878,1.621,4.920,523.000,85.593,24.515,27.092,10.439,16.919,11.894,5.727,554.850,0.617,4.970,15.348,0.525,0.724,0.902,1.006,51.000,706.457,0.668,0.617,1.221,0.413,0.905,0.819,386.887,2.143,0,NaN,NaN,40120,1,-0,0,56.402,-0.100,0.013,0.428,255,15.969,0,0,0,0,0,0,0,85,0,0,255,0,255,0
8,326,108.000,35.751,0,85,85,253.506,13.586,253.501,12.408,72.184,244,3,19,22,24.684,16.816,116.674,0.786,26.627,46663.000,0,-0.996,1.007,0,46663.000,245,3,124.287,18.025,1.468,0.681,0.926,Test,72.184,26.627,18.025,1.477,4.405,368.500,69.997,20.373,22.977,9.012,13.314,10.081,3.279,376.954,0.677,5.567,15.983,0.585,0.765,0.885,0.970,42.500,479.952,0.679,0.677,1.272,1.512,0.887,0.786,253.816,2.966,0,NaN,NaN,27710,1,-0,0,64.344,-0.184,0.014,0.402,255,15.969,0,0,0,0,0,0,0,85,0,0,255,0,255,0
9,507,168.000,40.852,0,85,85,292.419,14.019,292.335,12.672,86.527,277,3,29,21,30.582,21.108,18.622,0.851,32.202,61536.000,0,-0.868,-0.059,0,61536.000,278,22,36.158,21.000,1.449,0.690,0.958,Test,86.527,32.202,21.000,1.533,5.437,550.000,86.413,25.407,27.542,10.500,16.101,13.055,4.249,531.127,0.652,6.333,14.767,0.622,0.789,0.922,0.999,43.000,676.252,0.750,0.652,1.175,0.903,0.922,0.851,420.473,13.784,0,NaN,NaN,43095,1,-0,0,160.755,0.690,0.013,0.431,255,15.969,0,0,0,0,0,0,0,85,0,0,255,0,255,0
10,535,177.000,37.432,0,85,85,18.988,13.455,19.061,12.270,89.698,4,4,31,20,33.279,20.469,10.308,0.836,33.287,66661.000,0,-0.976,0.375,0,66661.000,5,22,32.735,20.000,1.626,0.615,0.962,Test,89.698,33.287,20.000,1.664,5.757,602.000,89.764,26.099,28.552,10.000,16.643,14.091,4.971,522.865,0.601,6.320,15.039,0.615,0.784,0.889,1.001,67.000,665.733,0.804,0.601,1.197,0.174,0.914,0.836,445.302,11.424,0,NaN,NaN,45475,1,-0,0,61.763,-0.154,0.012,0.409,255,15.969,0,0,0,0,0,0,0,85,0,0,255,0,255,0
