 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,560,185.000,27.792,0,85,85,15.100,19.073,15.080,17.849,90.184,4,4,23,30,32.651,21.838,65.320,0.865,34.482,73804.000,0,-1.061,1.735,0,73804.000,6,34,60.461,23.000,1.495,0.669,0.962,Test,90.184,34.482,23.000,1.499,5.520,598.000,89.980,26.702,28.706,11.500,17.241,13.494,4.561,622.886,0.667,6.318,14.523,0.600,0.774,0.936,0.998,38.000,793.083,0.706,0.667,1.156,0.094,0.930,0.865,469.816,1.102,0.000,NaN,NaN,47600,1.000,-0.000,0.000,5.397,0.558,0.039,0.618,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
2,553,183.000,18.917,0,85,85,46.164,19.033,46.143,18.656,88.527,36,4,21,30,31.716,22.200,89.119,0.887,31.953,65436.000,0,-1.042,3.338,0,65436.000,41,34,69.864,21.000,1.429,0.700,0.968,Test,88.527,31.953,21.000,1.522,5.927,595.000,88.964,26.535,28.179,10.500,15.977,14.121,1.285,527.014,0.657,12.456,14.172,0.690,0.830,0.929,1.005,42.000,671.015,0.824,0.657,1.128,1.554,0.942,0.887,464.473,7.651,0.000,NaN,NaN,47005,1.000,-0.000,0.000,5.432,0.563,0.041,0.623,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
3,554,184.000,39.135,0,85,208,169.652,19.043,169.355,16.968,89.355,159,4,22,30,32.121,21.960,105.391,0.872,34.482,72748.000,0,-0.410,-0.412,0,72748.000,161,4,119.539,22.000,1.463,0.684,0.962,Test,89.355,34.482,22.000,1.567,5.502,596.000,89.604,26.559,28.443,11.000,17.241,13.473,2.958,595.804,0.638,7.834,14.412,0.593,0.770,0.930,1.003,42.000,758.601,0.730,0.638,1.147,0.412,0.934,0.872,464.645,6.403,7.061,16.608,274.425,47325,0.993,0.038,7.662E-4,4.784,0.522,0.050,0.646,254.879,15.965,2.075,0.753,0.868,12.521,0.644,0.803,10.716,85.425,0.106,1.773,254.256,12.370,254.879,2.075
4,550,182.000,35.105,0,85,85,232.289,18.922,232.177,17.532,89.012,221,4,22,30,30.776,22.754,100.501,0.872,31.765,86199.000,0,-1.530,2.989,0,86199.000,224,6,118.179,22.000,1.353,0.739,0.954,Test,89.012,31.765,22.000,1.444,5.877,586.500,88.404,26.463,28.333,11.000,15.882,13.824,2.055,548.856,0.693,9.644,14.406,0.694,0.833,0.938,0.993,36.500,698.825,0.787,0.693,1.146,0.093,0.934,0.872,460.988,8.521,0.000,NaN,NaN,46750,1.000,-0.000,0.000,4.353,0.549,0.051,0.650,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
5,515,170.000,43.414,0,85,85,201.152,19.073,201.413,17.265,86.184,190,5,23,28,29.781,22.018,59.298,0.871,32.202,72348.000,0,-1.214,1.092,0,72348.000,192,33,53.842,23.000,1.353,0.739,0.952,Test,86.184,32.202,23.000,1.400,5.372,543.500,86.078,25.607,27.433,11.500,16.101,12.930,3.000,581.711,0.714,7.465,14.423,0.632,0.795,0.948,0.999,28.500,740.657,0.695,0.714,1.148,0.162,0.933,0.871,428.816,2.245,0.000,NaN,NaN,43775,1.000,-0.000,0.000,4.555,0.535,0.051,0.657,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
6,523,173.000,37.366,0,85,85,293.861,19.381,293.991,17.863,91.012,283,5,22,29,32.143,20.717,115.547,0.793,35.228,73819.000,0,-1.135,1.262,0,73819.000,283,5,124.592,22.000,1.552,0.645,0.957,Test,91.012,35.228,22.000,1.601,5.254,581.500,89.158,25.805,28.970,11.000,17.614,13.097,4.885,608.693,0.625,5.926,15.838,0.537,0.733,0.899,0.980,58.500,775.012,0.675,0.625,1.260,0.133,0.891,0.793,431.988,14.498,0.000,NaN,NaN,44455,1.000,-0.000,0.000,5.860,0.518,0.043,0.629,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
7,487,161.000,36.901,0,85,85,325.471,19.619,325.651,18.375,90.770,314,6,23,27,29.248,21.201,121.351,0.743,31.890,80691.000,0,-0.832,0.158,0,80691.000,314,8,131.186,22.553,1.380,0.725,0.924,Test,90.770,31.890,22.553,1.414,5.320,533.000,84.780,24.901,28.893,11.277,15.945,12.277,3.488,564.887,0.707,6.574,16.918,0.610,0.781,0.914,0.934,46.000,719.236,0.677,0.707,1.346,0.369,0.862,0.743,396.230,3.830,0.000,NaN,NaN,41395,1.000,-0.000,0.000,5.147,0.519,0.054,0.645,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
8,395,131.000,36.274,0,85,85,139.804,19.118,139.749,18.151,79.012,128,8,23,22,27.263,18.447,139.294,0.795,30.480,57490.000,0,-0.863,0.386,0,57490.000,128,10,138.991,19.799,1.478,0.677,0.943,Test,79.012,30.480,19.799,1.539,4.877,467.000,77.572,22.426,25.150,9.899,15.240,10.662,2.897,473.959,0.650,6.264,15.805,0.541,0.736,0.846,0.982,72.000,603.463,0.655,0.650,1.258,0.094,0.892,0.795,315.988,5.727,0.000,NaN,NaN,33575,1.000,-0.000,0.000,5.071,0.516,0.050,0.633,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
9,417,138.000,37.127,0,85,209,355.941,18.080,356.001,16.792,77.355,344,8,25,21,28.250,18.794,33.628,0.876,30.232,51907.000,0,-0.498,-0.180,0,51907.000,344,27,34.216,20.400,1.503,0.665,0.959,Test,77.355,30.232,20.400,1.482,5.212,495.000,78.173,23.042,24.623,10.200,15.116,11.388,4.584,484.388,0.675,5.319,14.350,0.581,0.762,0.842,1.011,78.000,616.742,0.676,0.675,1.142,0.218,0.936,0.876,339.645,0.100,6.072,20.347,412.002,35569,0.995,0.024,5.667E-4,5.838,0.487,0.058,0.658,254.978,15.968,0.441,0.492,0.701,10.039,0.420,0.648,8.570,85.297,0.041,0.832,254.564,8.913,254.978,0.441
10,370,122.000,33.766,0,85,85,418.251,18.284,418.042,17.300,73.698,407,8,23,20,25.868,18.212,30.103,0.856,28.425,43674.000,0,-1.012,1.074,0,43674.000,408,28,39.289,19.436,1.420,0.704,0.941,Test,73.698,28.425,19.436,1.463,4.446,397.000,74.048,21.705,23.459,9.718,14.213,10.981,2.795,433.912,0.684,6.569,14.680,0.583,0.764,0.932,1.005,27.000,552.473,0.670,0.684,1.168,0.472,0.925,0.856,296.302,0.801,0.000,NaN,NaN,31450,1.000,-0.000,0.000,5.974,0.496,0.046,0.624,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
