 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,4871,1617.000,30.866,0,85,85,131.219,42.588,132.324,36.229,270.451,95,2,73,80,81.671,75.939,83.472,0.837,85.428,373984.000,0,0.119,0.759,0,373984.000,113,4,115.665,73.000,1.075,0.930,0.975,Test,270.451,85.428,73.000,1.170,18.625,4998.500,254.279,78.752,86.087,36.500,42.714,40.115,1.947,4897.954,0.855,28.750,15.016,0.850,0.922,0.974,0.940,127.500,6236.268,0.781,0.855,1.195,0.161,0.915,0.837,4600.549,8.321,0.000,NaN,NaN,414035,1.000,-0.000,0.000,294.901,0.890,0.050,0.637,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
2,4929,1644.000,34.571,0,85,246,219.008,42.495,217.925,38.519,271.765,181,3,76,79,80.938,77.538,97.783,0.839,83.259,596061.000,0,-0.670,1.129,0,596061.000,200,5,114.102,76.000,1.044,0.958,0.974,Test,271.765,83.259,76.000,1.096,19.477,5094.500,254.344,79.220,86.505,38.000,41.629,39.945,0.763,4969.729,0.913,45.731,14.984,0.905,0.951,0.968,0.936,165.500,6327.656,0.779,0.913,1.192,0.019,0.916,0.839,4657.235,11.676,7.514,19.552,382.086,420864,0.995,0.036,8.675E-4,293.243,0.906,0.054,0.649,254.943,15.967,1.529,0.634,0.796,12.347,0.579,0.761,11.267,85.385,0.157,3.357,254.400,11.679,254.967,0.891
3,5166,1716.000,36.965,0,85,208,483.527,41.455,484.513,35.843,289.078,444,3,80,78,82.379,79.845,32.347,0.777,87.046,486770.000,0,-0.800,0.746,0,486770.000,449,68,42.672,78.000,1.032,0.969,0.966,Test,289.078,87.046,78.000,1.116,19.666,5378.000,262.466,81.102,92.016,39.000,43.523,41.044,1.422,5332.528,0.896,34.421,16.176,0.868,0.932,0.961,0.908,212.000,6789.585,0.761,0.896,1.287,0.007,0.881,0.777,4876.922,12.391,2.420,50.794,2578.000,439356,0.999,0.005,9.005E-5,328.765,0.913,0.062,0.666,254.974,15.968,1.330,0.085,0.291,4.299,0.084,0.291,4.289,85.048,0.049,2.479,254.915,4.320,254.986,0.719
4,5131,1710.000,35.436,0,85,244,571.596,43.141,572.515,36.239,273.865,533,3,79,79,81.111,80.544,55.165,0.860,84.599,379042.000,0,0.272,1.882,0,379042.000,549,78,61.011,78.977,1.007,0.993,0.978,Test,273.865,84.599,78.977,1.071,19.742,5247.000,259.265,80.827,87.174,39.488,42.300,40.986,0.458,5247.533,0.934,60.590,14.617,0.913,0.955,0.978,0.947,116.000,6681.366,0.768,0.934,1.163,0.087,0.927,0.860,4857.135,26.842,7.181,19.884,394.662,437989,0.995,0.034,7.924E-4,323.835,0.919,0.068,0.677,254.944,15.967,1.227,0.583,0.764,11.581,0.556,0.746,11.048,85.361,0.102,2.166,254.392,12.063,254.947,1.159
5,5260,1746.000,31.213,0,85,85,658.836,41.775,660.034,36.659,273.865,619,3,81,78,83.283,80.416,178.790,0.881,87.235,500169.000,0,-0.674,0.984,0,500169.000,622,16,151.966,78.000,1.036,0.966,0.974,Test,273.865,87.235,78.000,1.118,19.881,5448.500,263.980,81.837,87.174,39.000,43.618,41.452,1.596,5344.128,0.894,32.811,14.259,0.880,0.938,0.965,0.964,188.500,6804.354,0.773,0.894,1.135,1.408,0.939,0.881,4986.135,23.072,0.000,NaN,NaN,447100,1.000,-0.000,0.000,312.787,0.923,0.069,0.681,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
6,4512,1498.000,34.304,0,85,218,748.081,43.597,748.283,41.800,262.066,714,3,67,80,82.971,69.239,90.888,0.826,84.220,651663.000,0,-0.957,0.960,0,651663.000,724,77,60.086,67.000,1.198,0.834,0.971,Test,262.066,84.220,67.000,1.257,17.588,4653.500,247.015,75.795,83.418,33.500,42.110,38.798,7.021,4431.795,0.796,14.642,15.221,0.810,0.900,0.970,0.943,141.500,5642.737,0.800,0.796,1.211,0.005,0.909,0.826,4249.934,5.116,1.980,67.149,4507.000,383653,1.000,0.003,6.029E-5,321.664,0.903,0.058,0.659,254.990,15.968,0.655,0.051,0.225,3.409,0.047,0.217,3.171,85.029,0.020,1.325,254.948,3.499,254.994,0.387
7,5133,1704.000,33.238,0,85,214,43.511,42.843,44.250,37.417,282.735,3,4,82,78,82.528,79.192,178.298,0.807,86.377,451779.000,0,-0.182,0.091,0,451779.000,4,58,20.323,78.000,1.042,0.960,0.973,Test,282.735,86.377,78.000,1.107,19.649,5332.000,260.110,80.843,89.997,39.000,43.189,40.644,1.800,5291.551,0.903,30.291,15.574,0.876,0.936,0.963,0.920,199.000,6737.412,0.762,0.903,1.239,0.049,0.898,0.807,4850.265,12.239,1.801,71.624,5128.000,436434,1.000,0.003,4.985E-5,287.349,0.913,0.058,0.662,254.986,15.968,0.977,0.044,0.210,3.154,0.045,0.213,3.238,85.025,0.026,1.842,254.960,2.847,254.996,0.321
8,5094,1691.000,34.431,0,85,85,306.098,42.442,307.196,37.306,275.037,268,4,79,77,81.407,79.672,3.435,0.846,85.796,558085.000,0,-0.731,0.381,0,558085.000,275,10,139.254,77.000,1.022,0.979,0.971,Test,275.037,85.796,77.000,1.114,19.693,5308.000,260.423,80.535,87.547,38.500,42.898,40.856,2.689,5188.586,0.897,24.913,14.850,0.881,0.939,0.960,0.947,214.000,6606.313,0.771,0.897,1.182,0.113,0.920,0.846,4818.963,23.213,0.000,NaN,NaN,432990,1.000,-0.000,0.000,315.940,0.910,0.058,0.655,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
9,4810,1597.000,29.681,0,85,85,395.908,43.040,397.239,40.072,274.007,356,4,78,77,82.391,74.332,137.397,0.805,87.801,272870.000,0,1.650,4.725,0,272870.000,359,17,142.869,76.368,1.108,0.902,0.964,Test,274.007,87.801,76.368,1.150,18.145,5005.000,254.083,78.258,87.219,38.184,43.900,39.286,4.530,5266.204,0.870,18.459,15.609,0.794,0.891,0.961,0.927,195.000,6705.139,0.717,0.870,1.242,0.034,0.897,0.805,4535.993,6.644,0.000,NaN,NaN,408850,1.000,-0.000,0.000,315.686,0.912,0.060,0.663,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
10,5076,1685.000,26.741,0,85,85,834.106,41.946,834.854,36.294,270.551,796,4,79,77,82.110,78.711,20.778,0.871,87.006,355445.000,0,0.257,2.123,0,355445.000,796,66,37.528,77.000,1.043,0.959,0.977,Test,270.551,87.006,77.000,1.130,19.236,5258.000,259.466,80.393,86.119,38.500,43.503,40.751,1.423,5261.730,0.885,34.160,14.420,0.854,0.924,0.965,0.959,182.000,6699.443,0.758,0.885,1.148,0.010,0.934,0.871,4805.449,10.312,0.000,NaN,NaN,431460,1.000,-0.000,0.000,334.586,0.918,0.072,0.684,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
