 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,1387,462.000,39.130,0,85,247,344.845,25.605,344.516,25.412,169.823,328,1,35,51,50.839,34.737,86.410,0.604,51.662,171396.000,0,0.220,-0.392,0,171396.000,337,52,75.426,35.000,1.464,0.683,0.913,Test,169.823,51.662,35.000,1.476,9.359,1519.000,144.237,42.024,54.056,17.500,25.831,21.770,7.418,1420.143,0.677,7.993,20.793,0.662,0.813,0.913,0.849,132.000,1808.183,0.767,0.677,1.655,0.181,0.777,0.604,1217.177,3.023,6.716,21.800,478.240,118326,0.996,0.026,6.931E-4,157.778,0.649,0.029,0.517,254.909,15.966,2.281,0.521,0.722,11.214,0.502,0.708,10.792,85.311,0.231,5.014,254.513,10.482,254.970,0.853
2,2039,678.000,35.172,0,85,241,216.705,24.022,215.910,23.503,195.966,191,2,58,48,58.342,44.499,21.298,0.667,60.828,254790.000,0,-0.017,0.230,0,254790.000,194,44,27.408,47.270,1.311,0.763,0.933,Test,195.966,60.828,47.270,1.287,11.541,2205.500,172.919,50.952,62.378,23.635,30.414,26.138,12.636,2258.288,0.777,7.353,18.834,0.702,0.838,0.925,0.882,166.500,2875.341,0.709,0.777,1.499,0.551,0.817,0.667,1843.034,9.377,5.318,26.578,713.247,173728,0.997,0.018,4.348E-4,404.330,0.505,0.036,0.523,254.946,15.967,1.968,0.342,0.585,8.936,0.319,0.565,8.320,85.202,0.107,3.191,254.679,8.385,254.972,0.971
3,2052,690.000,42.706,0,85,247,408.113,27.107,408.756,25.790,197.380,384,2,51,50,53.350,48.973,158.458,0.662,58.412,285022.000,0,-0.313,0.141,0,285022.000,387,8,141.953,50.000,1.089,0.918,0.945,Test,197.380,58.412,50.000,1.168,11.910,2185.500,169.269,51.114,62.828,25.000,29.206,25.795,2.247,2293.847,0.856,17.209,18.986,0.766,0.875,0.939,0.858,133.500,2920.616,0.703,0.856,1.511,0.033,0.814,0.662,1854.620,4.255,13.355,11.255,125.112,176844,0.984,0.091,0.003,510.101,0.666,0.035,0.539,254.886,15.965,2.519,1.923,1.387,21.709,1.731,1.316,19.538,86.180,0.417,5.365,253.276,19.479,254.950,0.939
4,1794,603.000,43.437,0,85,252,471.011,26.822,470.265,25.164,210.007,449,2,47,50,49.290,46.342,138.629,0.511,56.639,205094.000,0,0.122,-0.013,0,205094.000,450,6,137.862,47.000,1.064,0.940,0.921,Test,210.007,56.639,47.000,1.205,10.948,1948.000,161.690,47.793,66.847,23.500,28.320,24.372,3.161,2090.764,0.830,13.708,24.584,0.712,0.844,0.921,0.770,154.000,2662.043,0.674,0.830,1.956,0.103,0.715,0.511,1583.993,7.302,12.102,10.977,119.975,154473,0.983,0.099,0.002,401.881,0.657,0.040,0.548,254.491,15.953,5.931,1.935,1.391,21.106,1.887,1.374,20.575,86.104,0.980,10.789,253.226,19.384,254.809,2.281
5,2015,683.000,60.465,0,85,249,536.565,26.500,537.292,22.410,208.007,506,2,57,49,55.133,46.534,20.959,0.585,59.034,250406.000,0,-0.373,-0.726,0,250406.000,506,32,26.131,48.932,1.185,0.844,0.917,Test,208.007,59.034,48.932,1.206,11.852,2198.000,170.509,50.652,66.211,24.466,29.517,25.593,7.016,2268.750,0.829,9.662,21.472,0.736,0.858,0.917,0.820,183.000,2888.662,0.698,0.829,1.709,0.081,0.765,0.585,1806.993,15.413,16.435,9.057,80.368,174902,0.976,0.136,0.004,577.565,0.686,0.043,0.566,254.826,15.963,2.560,2.882,1.698,26.279,2.691,1.641,24.539,86.800,0.527,5.962,252.252,25.057,254.893,1.397
6,1804,599.000,42.392,0,85,217,598.950,27.182,598.358,24.198,175.681,576,2,45,49,50.538,45.450,58.167,0.735,55.317,185871.000,0,-0.112,-0.020,0,185871.000,579,45,49.399,45.000,1.112,0.899,0.945,Test,175.681,55.317,45.000,1.229,11.031,1917.000,158.641,47.926,55.921,22.500,27.659,24.730,3.319,1955.074,0.813,13.574,17.109,0.751,0.866,0.941,0.903,113.000,2489.277,0.725,0.813,1.361,0.107,0.857,0.735,1628.319,15.667,4.263,30.027,900.520,153596,0.998,0.014,2.794E-4,455.982,0.708,0.038,0.550,254.919,15.966,2.448,0.257,0.507,7.723,0.251,0.501,7.530,85.142,0.135,4.070,254.780,6.591,254.977,0.702
7,1659,550.000,37.757,0,85,85,787.910,25.156,787.555,22.788,172.652,763,2,47,50,51.627,40.914,132.869,0.699,54.452,170941.000,0,0.369,0.076,0,170941.000,767,9,134.256,43.572,1.262,0.792,0.917,Test,172.652,54.452,43.572,1.250,10.674,1826.000,154.743,45.960,54.957,21.786,27.226,23.360,7.653,1863.436,0.800,8.444,17.968,0.712,0.844,0.909,0.896,167.000,2372.601,0.699,0.800,1.430,0.063,0.836,0.699,1486.348,4.001,0.000,NaN,NaN,141015,1.000,-0.000,0.000,607.372,0.664,0.041,0.554,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
8,1887,627.000,44.682,0,85,238,34.576,25.070,34.831,23.115,201.421,2,3,58,49,59.424,40.431,148.605,0.584,61.911,226044.000,0,-0.266,-0.284,0,226044.000,4,15,148.878,43.525,1.470,0.680,0.919,Test,201.421,61.911,43.525,1.422,10.692,2079.500,169.986,49.016,64.114,21.762,30.956,24.845,19.031,2116.387,0.703,5.695,21.500,0.627,0.792,0.907,0.844,192.500,2694.668,0.700,0.703,1.711,0.159,0.765,0.584,1685.579,7.661,4.851,30.701,941.218,160693,0.998,0.013,3.618E-4,263.877,0.577,0.040,0.536,254.984,15.968,0.628,0.260,0.510,7.991,0.231,0.480,7.079,85.158,0.057,1.833,254.762,7.326,254.992,0.291
9,2127,712.000,43.360,0,85,251,94.045,26.859,94.526,24.886,215.865,65,3,58,47,57.582,47.032,178.105,0.574,61.847,268928.000,0,-0.040,-0.141,0,268928.000,65,41,22.834,46.938,1.224,0.817,0.930,Test,215.865,61.847,46.938,1.318,11.838,2300.000,175.226,52.040,68.712,23.469,30.923,26.717,6.660,2279.988,0.759,10.352,21.908,0.708,0.841,0.925,0.812,173.000,2902.971,0.733,0.759,1.743,0.247,0.757,0.574,1911.135,8.169,10.708,13.892,191.869,182433,0.990,0.063,0.002,350.858,0.579,0.040,0.535,254.856,15.964,2.451,1.255,1.120,17.420,1.201,1.096,16.685,85.771,0.445,6.749,253.814,16.468,254.942,1.070
10,2118,707.000,39.752,0,85,240,156.658,26.549,156.904,24.813,210.451,130,3,53,49,54.373,49.597,171.142,0.601,61.400,280512.000,0,-0.490,0.255,0,280512.000,134,9,142.943,49.000,1.096,0.912,0.934,Test,210.451,61.400,49.000,1.253,11.968,2308.500,174.488,51.930,66.989,24.500,30.700,26.677,4.635,2362.961,0.798,12.391,20.911,0.715,0.846,0.917,0.829,190.500,3008.616,0.704,0.798,1.664,0.184,0.775,0.601,1907.549,7.924,8.574,15.443,238.658,181211,0.992,0.052,0.001,397.630,0.562,0.037,0.538,254.706,15.960,4.686,0.993,0.996,15.219,0.974,0.987,14.927,85.558,0.513,7.878,254.143,13.157,254.915,1.471
