 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,3220,1069.000,37.642,0,85,85,31.642,37.447,32.143,30.252,215.338,4,4,56,69,72.260,56.737,76.882,0.873,72.111,241462.000,0,0.595,-0.541,0,241462.000,20,72,70.560,56.000,1.274,0.785,0.979,Test,215.338,72.111,56.000,1.288,14.768,3345.500,208.882,64.030,68.544,28.000,36.056,32.824,7.607,3171.609,0.777,11.901,14.401,0.788,0.888,0.962,0.970,125.500,4038.217,0.797,0.777,1.146,0.015,0.934,0.873,3004.662,3.914,0.000,NaN,NaN,273700,1.000,-0.000,0.000,53.412,0.895,0.098,0.693,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
2,2734,910.000,36.504,0,85,228,478.358,39.001,478.269,35.387,205.380,452,4,55,69,68.751,50.632,66.135,0.815,71.063,302746.000,0,0.170,-0.806,0,302746.000,467,73,76.159,52.257,1.358,0.736,0.948,Test,205.380,71.063,52.257,1.360,13.026,2908.000,197.537,59.000,65.374,26.128,35.532,29.145,13.266,2916.603,0.735,8.002,15.428,0.689,0.830,0.940,0.962,174.000,3713.534,0.736,0.735,1.228,0.198,0.902,0.815,2528.620,16.014,5.799,21.728,476.015,233128,0.996,0.028,5.169E-4,69.526,0.913,0.102,0.704,254.938,15.967,1.506,0.446,0.667,9.535,0.425,0.652,9.091,85.270,0.024,0.570,254.521,10.221,254.938,1.506
3,2807,936.000,44.370,0,85,180,606.711,37.571,607.117,28.765,203.338,582,4,52,69,69.478,51.440,98.342,0.853,71.063,190786.000,0,0.633,-0.684,0,190786.000,596,73,76.159,51.056,1.351,0.740,0.972,Test,203.338,71.063,51.056,1.392,13.100,2924.500,197.456,59.783,64.725,25.528,35.532,30.757,10.916,2849.582,0.718,9.309,14.730,0.708,0.841,0.960,0.971,117.500,3628.201,0.774,0.718,1.172,0.011,0.924,0.853,2603.662,2.745,6.313,14.098,197.152,239848,0.990,0.059,6.125E-4,61.689,0.901,0.102,0.704,254.615,15.957,5.485,0.843,0.918,11.918,0.883,0.940,12.474,85.447,0.941,14.043,253.823,16.647,254.636,5.160
4,3056,1015.000,37.243,0,85,186,672.046,36.090,672.551,30.035,210.267,644,5,55,67,69.815,55.733,90.715,0.869,72.236,240858.000,0,0.526,-0.446,0,240858.000,664,72,68.051,55.000,1.253,0.798,0.972,Test,210.267,72.236,55.000,1.313,14.238,3231.000,206.067,62.378,66.930,27.500,36.118,31.951,8.889,3120.359,0.761,10.717,14.467,0.746,0.864,0.946,0.980,175.000,3972.965,0.769,0.761,1.151,7.089,0.932,0.869,2845.733,9.122,2.520,39.089,1526.934,259957,0.999,0.009,9.767E-5,74.050,0.902,0.105,0.715,254.967,15.968,1.281,0.111,0.333,4.323,0.115,0.339,4.502,85.064,0.161,6.292,254.862,5.384,254.967,1.281
5,2912,967.000,31.301,0,85,183,287.325,36.772,286.466,33.371,204.267,260,7,55,62,64.105,57.837,86.393,0.877,66.851,344261.000,0,-0.248,-0.104,0,344261.000,272,7,111.961,55.000,1.108,0.902,0.973,Test,204.267,66.851,55.000,1.215,14.635,3073.500,199.082,60.891,65.020,27.500,33.425,31.112,2.959,2887.738,0.823,18.087,14.329,0.830,0.911,0.947,0.975,161.500,3676.782,0.792,0.823,1.140,0.106,0.936,0.877,2707.733,8.234,1.816,53.935,2907.000,247618,0.999,0.004,5.072E-5,60.158,0.881,0.104,0.708,254.980,15.968,1.056,0.059,0.244,3.206,0.061,0.247,3.280,85.034,0.085,4.596,254.923,4.132,254.980,1.056
6,2462,818.000,39.649,0,85,189,158.712,38.623,159.519,32.793,190.995,131,8,57,59,63.244,49.566,44.116,0.848,64.078,183209.000,0,0.601,-0.527,0,183209.000,143,67,67.036,50.520,1.276,0.784,0.957,Test,190.995,64.078,50.520,1.268,13.040,2625.000,185.007,55.989,60.796,25.260,32.039,27.303,10.228,2542.533,0.788,8.537,14.817,0.763,0.874,0.938,0.969,163.000,3237.253,0.761,0.788,1.179,0.021,0.921,0.848,2271.005,12.689,3.571,28.607,816.566,209577,0.998,0.015,1.961E-4,52.710,0.883,0.101,0.700,254.944,15.967,1.603,0.213,0.461,6.095,0.217,0.466,6.225,85.125,0.200,6.998,254.740,7.436,254.944,1.603
7,2576,858.000,38.021,0,85,196,545.427,38.398,544.383,32.686,202.409,515,8,58,60,63.951,51.287,135.347,0.790,66.888,166728.000,0,0.943,0.171,0,166728.000,531,9,121.551,52.576,1.247,0.802,0.951,Test,202.409,66.888,52.576,1.272,13.173,2768.000,190.208,57.270,64.429,26.288,33.444,27.889,9.124,2762.006,0.786,9.233,15.904,0.733,0.856,0.931,0.940,192.000,3516.695,0.733,0.786,1.266,0.175,0.889,0.790,2373.591,10.948,5.328,19.206,368.176,219675,0.995,0.033,4.363E-4,83.339,0.914,0.101,0.707,254.862,15.964,2.697,0.467,0.683,8.945,0.503,0.709,9.644,85.277,0.641,12.285,254.415,11.216,254.862,2.697
8,2450,815.000,43.456,0,85,195,351.610,36.501,350.403,31.629,187.924,324,10,56,57,62.533,49.884,137.718,0.872,64.661,200953.000,0,0.531,-0.762,0,200953.000,326,15,140.648,50.703,1.254,0.798,0.963,Test,187.924,64.661,50.703,1.275,13.092,2659.500,183.329,55.852,59.818,25.351,32.330,27.681,8.065,2574.899,0.784,9.747,14.414,0.746,0.864,0.921,0.976,209.500,3278.463,0.747,0.784,1.147,0.119,0.934,0.872,2262.076,2.821,4.972,20.280,411.274,208852,0.995,0.031,3.801E-4,61.504,0.892,0.105,0.704,254.880,15.965,2.499,0.408,0.639,8.252,0.449,0.670,9.072,85.246,0.473,10.441,254.494,10.217,254.880,2.499
9,2512,842.000,44.166,0,85,209,222.744,37.034,222.917,31.156,188.711,196,12,56,52,59.605,53.660,159.407,0.886,64.815,205247.000,0,0.437,-0.919,0,205247.000,197,14,141.892,52.000,1.111,0.900,0.979,Test,188.711,64.815,52.000,1.246,13.461,2741.000,185.014,56.554,60.068,26.000,32.408,28.933,2.886,2647.095,0.802,17.030,14.177,0.761,0.873,0.916,0.980,229.000,3370.386,0.745,0.802,1.128,0.388,0.941,0.886,2323.289,11.899,9.304,10.904,117.754,215659,0.983,0.102,0.001,46.497,0.788,0.102,0.698,254.568,15.955,4.931,1.479,1.216,16.120,1.508,1.228,16.432,85.852,1.933,21.651,253.137,20.335,254.571,4.885
10,2410,800.000,39.751,0,85,85,96.136,38.779,96.976,34.825,185.296,68,13,56,51,60.229,50.948,19.612,0.882,61.847,261275.000,0,0.187,-1.019,0,261275.000,76,61,50.906,50.544,1.182,0.846,0.977,Test,185.296,61.847,50.544,1.224,13.302,2584.500,181.680,55.394,58.982,25.272,30.923,28.096,6.513,2455.115,0.817,11.009,14.247,0.802,0.896,0.932,0.980,174.500,3125.950,0.771,0.817,1.134,4.616,0.939,0.882,2224.704,7.359,0.000,NaN,NaN,204850,1.000,-0.000,0.000,45.789,0.811,0.105,0.703,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
