 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,394,131.000,21.465,0,85,217,87.025,14.058,86.904,13.519,77.841,76,1,21,26,25.822,19.428,111.680,0.817,28.018,74426.000,0,-0.776,1.370,0,74426.000,79,3,124.824,21.000,1.329,0.752,0.911,Test,77.841,28.018,21.000,1.334,4.925,433.500,76.424,22.398,24.777,10.500,14.009,11.555,2.118,462.109,0.750,7.939,15.379,0.639,0.799,0.909,0.982,39.500,588.375,0.670,0.750,1.224,2.976,0.904,0.817,316.159,5.768,6.650,19.774,389.003,33622,0.995,0.026,6.796E-4,7.308,0.620,0.017,0.497,254.848,15.964,3.023,0.622,0.789,12.343,0.533,0.730,10.580,85.334,0.246,4.887,254.485,10.227,254.975,0.504
2,368,122.000,24.275,0,85,85,51.573,13.851,51.641,13.260,73.355,43,2,19,24,25.127,18.648,98.474,0.859,26.000,68423.000,0,-0.595,0.119,0,68423.000,45,2,112.620,19.000,1.347,0.742,0.942,Test,73.355,26.000,19.000,1.368,4.915,401.500,73.089,21.646,23.350,9.500,13.000,11.429,1.266,387.987,0.731,10.157,14.622,0.693,0.833,0.917,0.996,33.500,494.000,0.745,0.731,1.164,0.097,0.927,0.859,294.645,2.664,0.000,NaN,NaN,31280,1.000,-0.000,0.000,7.270,0.614,0.017,0.503,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
3,411,138.000,23.214,0,85,228,156.313,13.729,156.343,13.163,77.941,145,2,22,23,25.502,20.520,49.358,0.850,29.206,78497.000,0,-0.378,-1.008,0,78497.000,148,25,51.953,21.920,1.243,0.805,0.944,Test,77.941,29.206,21.920,1.332,4.768,437.500,77.463,22.876,24.809,10.960,14.603,11.293,2.195,502.818,0.751,7.622,14.781,0.613,0.783,0.939,0.994,26.500,640.208,0.642,0.751,1.176,1.511,0.922,0.850,333.059,4.596,13.860,9.990,97.812,35499,0.981,0.098,0.003,32.918,0.477,0.017,0.507,254.616,15.957,3.948,2.436,1.561,24.598,2.066,1.437,20.868,86.372,0.793,8.094,252.927,20.939,254.954,0.504
4,357,121.000,25.482,0,85,229,191.528,14.164,191.544,13.532,72.527,183,2,18,24,25.154,18.071,107.693,0.853,26.833,67233.000,0,-0.759,-0.095,0,67233.000,184,2,116.565,18.000,1.392,0.718,0.947,Test,72.527,26.833,18.000,1.491,4.567,385.000,72.495,21.320,23.086,9.000,13.416,10.895,1.497,379.340,0.671,8.904,14.734,0.631,0.795,0.927,1.000,28.000,482.991,0.739,0.671,1.173,1.018,0.924,0.853,284.473,8.217,16.642,8.275,66.504,31052,0.972,0.133,0.004,71.409,0.587,0.017,0.513,254.375,15.949,5.276,3.563,1.888,29.938,3.003,1.733,25.236,86.980,1.238,10.421,252.056,24.739,254.992,0.118
5,364,124.000,22.659,0,85,227,226.926,14.038,226.923,13.472,71.941,218,2,18,24,24.966,18.564,80.349,0.884,26.000,69344.000,0,-0.962,1.781,0,69344.000,222,26,67.380,18.000,1.345,0.744,0.959,Test,71.941,26.000,18.000,1.444,4.744,387.500,71.724,21.528,22.900,9.000,13.000,11.215,1.248,367.566,0.692,10.040,14.218,0.686,0.828,0.939,0.997,23.500,468.000,0.778,0.692,1.131,0.049,0.940,0.884,292.059,6.641,17.706,7.601,55.802,31773,0.967,0.153,0.005,53.693,0.652,0.018,0.522,254.245,15.945,5.891,4.165,2.041,32.216,3.459,1.860,26.756,87.289,1.401,10.849,251.533,26.824,254.962,0.384
6,320,106.000,25.066,0,85,85,262.150,14.066,262.147,13.405,77.598,253,2,18,24,24.038,16.950,75.251,0.668,26.000,60584.000,0,-0.569,0.459,0,60584.000,259,26,67.380,17.861,1.418,0.705,0.883,Test,77.598,26.000,17.861,1.456,4.475,365.500,71.000,20.185,24.700,8.931,13.000,10.340,2.392,364.728,0.687,6.685,18.817,0.603,0.776,0.876,0.915,45.500,464.386,0.689,0.687,1.497,0.099,0.817,0.668,242.402,0.853,0.000,NaN,NaN,27200,1.000,-0.000,0.000,40.430,0.680,0.021,0.534,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
7,408,135.000,25.095,0,85,85,297.500,13.490,297.439,12.864,83.941,286,2,22,23,25.227,20.593,118.303,0.728,29.206,77187.000,0,-0.986,0.345,0,77187.000,288,2,128.047,21.965,1.225,0.816,0.936,Test,83.941,29.206,21.965,1.330,4.883,448.000,77.704,22.792,26.719,10.983,14.603,11.285,1.835,503.844,0.752,8.330,17.270,0.609,0.780,0.911,0.926,40.000,641.514,0.636,0.752,1.374,0.092,0.853,0.728,324.059,1.578,0.000,NaN,NaN,34680,1.000,-0.000,0.000,61.893,0.589,0.018,0.524,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
8,396,132.000,20.730,0,85,227,401.513,13.841,401.594,13.331,75.355,391,2,21,23,25.322,19.912,61.346,0.876,27.803,76101.000,0,-0.491,-1.442,0,76101.000,393,25,52.306,20.789,1.272,0.786,0.944,Test,75.355,27.803,20.789,1.337,4.894,427.500,75.058,22.454,23.986,10.394,13.901,11.202,2.184,453.954,0.748,7.579,14.339,0.652,0.808,0.926,0.996,31.500,577.992,0.685,0.748,1.141,1.181,0.936,0.876,320.645,0.972,10.043,13.965,193.015,33943,0.990,0.051,0.002,36.201,0.412,0.016,0.522,254.795,15.962,2.875,1.288,1.135,18.099,1.061,1.030,14.905,85.715,0.407,5.714,253.939,14.905,255.000,0.000
9,527,174.000,30.492,0,85,85,17.341,14.084,17.345,13.346,90.669,3,3,29,22,30.111,22.284,165.554,0.806,32.757,97280.000,0,-0.615,-0.811,0,97280.000,4,4,148.736,22.000,1.351,0.740,0.942,Test,90.669,32.757,22.000,1.489,5.583,574.500,87.899,25.904,28.861,11.000,16.378,13.173,2.492,565.995,0.672,8.344,15.599,0.625,0.791,0.917,0.969,47.500,720.647,0.731,0.672,1.241,0.177,0.898,0.806,436.331,8.096,0.000,NaN,NaN,44795,1.000,-0.000,0.000,49.338,0.589,0.017,0.512,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
10,575,190.000,26.503,0,85,85,332.168,14.050,332.103,13.485,90.770,317,3,31,22,31.149,23.503,174.366,0.877,32.016,107769.000,0,-1.664,2.903,0,107769.000,317,10,165.530,22.000,1.325,0.755,0.958,Test,90.770,32.016,22.000,1.455,6.209,624.500,90.297,27.058,28.893,11.000,16.008,14.554,0.909,553.190,0.687,15.267,14.329,0.714,0.845,0.921,0.995,49.500,704.344,0.816,0.687,1.140,0.129,0.936,0.877,484.230,8.719,0.000,NaN,NaN,48875,1.000,-0.000,0.000,126.971,0.846,0.016,0.526,255.000,15.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,255.000,0.000,255.000,0.000
