 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,24815,8268.000,33.755,0,85,244,105.799,79.028,106.118,69.997,601.186,4,4,205,153,213.734,147.826,160.858,0.863,212.361,2050448.000,0,-0.033,-0.834,0,2050448.000,4,46,163.869,148.311,1.446,0.692,0.991,Test,601.186,212.361,148.311,1.432,37.745,25181.500,577.551,177.751,191.363,74.155,106.180,90.601,127.639,24736.403,0.698,8.019,14.565,0.701,0.837,0.985,0.961,366.500,31495.367,0.788,0.698,1.159,0.011,0.929,0.863,24213.814,10.665,4.949,17.142,306.688,2116670,0.993,0.053,3.765E-4,77.793,0.985,0.258,0.851,254.721,15.960,4.681,0.585,0.765,9.624,0.589,0.767,9.672,85.298,0.446,10.238,254.178,13.493,254.721,4.681
2,18609,6194.000,33.281,0,85,220,333.238,91.571,332.335,88.443,520.902,268,4,132,179,181.645,130.439,84.111,0.862,181.463,1295438.000,0,0.547,-0.549,0,1295438.000,317,182,77.266,132.000,1.393,0.718,0.985,Test,520.902,181.463,132.000,1.375,33.219,18937.500,499.825,153.928,165.808,66.000,90.732,78.948,63.730,18812.785,0.727,9.889,14.581,0.720,0.848,0.983,0.960,328.500,23953.181,0.777,0.727,1.160,0.049,0.928,0.862,18088.098,6.601,4.222,20.087,420.991,1585820,0.995,0.039,2.740E-4,65.194,0.986,0.251,0.842,254.791,15.962,4.117,0.432,0.658,8.280,0.430,0.656,8.227,85.218,0.377,9.498,254.390,11.663,254.791,4.117
3,17955,6014.000,34.130,0,85,196,784.038,92.364,781.801,88.486,516.357,715,4,136,179,187.506,121.921,66.479,0.846,186.968,1333810.000,0,0.693,-0.402,0,1333810.000,764,183,73.213,121.029,1.538,0.650,0.985,Test,516.357,186.968,121.029,1.545,31.118,18278.000,496.806,151.199,164.362,60.515,93.484,76.094,136.318,17772.452,0.647,6.517,14.850,0.654,0.809,0.982,0.962,323.000,22628.589,0.793,0.647,1.182,0.020,0.920,0.846,17438.643,9.080,7.715,10.264,105.455,1539795,0.981,0.128,9.146E-4,71.742,0.985,0.246,0.842,254.200,15.944,8.176,1.535,1.239,15.512,1.540,1.241,15.540,85.758,1.124,16.019,252.768,22.513,254.203,8.138
4,17526,5837.000,34.736,0,85,199,1006.902,94.644,1008.876,88.632,512.902,944,4,127,179,184.547,120.917,106.338,0.837,183.415,1243806.000,0,0.528,-0.699,0,1243806.000,990,4,102.597,121.723,1.526,0.655,0.986,Test,512.902,183.415,121.723,1.507,30.899,17804.500,489.755,149.381,163.262,60.861,91.707,76.394,112.286,17534.615,0.664,7.209,15.010,0.663,0.814,0.984,0.955,278.500,22325.765,0.785,0.664,1.194,0.013,0.915,0.837,17013.098,3.507,4.466,17.332,305.220,1494298,0.993,0.049,3.066E-4,69.821,0.985,0.249,0.843,254.704,15.959,5.092,0.539,0.734,9.135,0.543,0.737,9.191,85.262,0.336,8.505,254.199,13.581,254.704,5.089
5,18758,6285.000,34.416,0,85,211,1230.494,93.967,1229.165,84.032,522.416,1166,4,131,179,180.980,131.967,92.572,0.864,181.463,1322408.000,0,0.722,-0.110,0,1322408.000,1204,5,105.338,131.000,1.371,0.729,0.986,Test,522.416,181.463,131.000,1.385,33.462,19076.000,500.367,154.543,166.290,65.500,90.732,79.571,46.270,18670.264,0.722,11.698,14.549,0.725,0.852,0.983,0.958,318.000,23771.718,0.789,0.722,1.158,0.015,0.929,0.864,18235.584,24.287,7.835,10.115,103.168,1609152,0.980,0.132,9.432E-4,73.398,0.985,0.249,0.843,254.172,15.943,8.313,1.577,1.256,15.642,1.605,1.267,15.884,85.785,1.402,17.691,252.712,22.633,254.172,8.310
6,24509,8277.000,37.508,0,85,195,556.341,94.836,552.359,88.241,609.512,462,6,196,175,209.454,148.987,35.410,0.829,211.142,1850872.000,0,0.542,-0.648,0,1850872.000,464,153,25.230,150.479,1.406,0.711,0.981,Test,609.512,211.142,150.479,1.403,37.878,25125.500,579.962,176.652,194.014,75.239,105.571,86.865,143.234,24953.952,0.713,7.258,15.158,0.700,0.837,0.975,0.952,616.500,31772.358,0.771,0.713,1.206,0.031,0.911,0.829,23899.488,30.659,10.699,7.327,52.592,2118943,0.963,0.227,0.002,88.237,0.984,0.254,0.851,253.522,15.922,10.931,2.912,1.706,21.287,2.932,1.712,21.423,86.455,2.002,21.032,250.805,30.642,253.526,10.887
7,24654,8229.000,34.758,0,85,219,337.092,281.401,334.218,272.650,608.198,240,191,190,179,216.710,144.850,41.839,0.838,218.689,1905917.000,0,0.250,-0.943,0,1905917.000,256,355,42.591,147.011,1.496,0.668,0.984,Test,608.198,218.689,147.011,1.488,41.615,28591.000,579.599,177.173,193.595,73.505,109.345,86.580,188.479,25250.292,0.672,6.306,15.004,0.656,0.810,0.862,0.953,3937.000,32149.670,0.767,0.672,1.194,0.008,0.915,0.838,24045.802,6.666,5.843,13.059,173.293,2106777,0.988,0.081,5.248E-4,184.270,0.971,0.346,0.879,254.487,15.953,6.613,0.922,0.960,11.809,0.952,0.976,12.189,85.454,1.255,17.298,253.624,17.600,254.489,6.594
8,20359,6781.000,27.012,0,85,241,560.068,279.437,559.378,273.910,544.558,488,191,144,179,186.061,139.319,71.759,0.863,185.540,1549315.000,0,0.091,-0.043,0,1549315.000,525,365,67.166,138.824,1.335,0.749,0.988,Test,544.558,185.540,138.824,1.337,40.775,23767.500,518.729,161.003,173.338,69.412,92.770,81.253,66.161,20229.790,0.748,9.989,14.566,0.753,0.868,0.857,0.953,3408.500,25757.369,0.790,0.748,1.159,0.011,0.929,0.863,19814.442,7.073,5.098,19.949,421.830,1736040,0.994,0.045,3.996E-4,209.065,0.967,0.289,0.848,254.788,15.962,4.234,0.524,0.724,9.623,0.503,0.709,9.220,85.272,0.219,5.372,254.317,12.504,254.797,4.031
9,19009,6350.000,37.190,0,85,207,784.450,280.690,786.989,272.255,522.517,719,191,129,179,183.595,131.828,96.617,0.875,181.665,1088831.000,0,0.648,-0.460,0,1088831.000,774,191,99.825,129.000,1.393,0.718,0.989,Test,522.517,181.665,129.000,1.408,38.374,21900.500,504.191,155.573,166.322,64.500,90.832,80.889,53.098,18405.589,0.710,11.101,14.363,0.733,0.856,0.868,0.965,2891.500,23434.724,0.811,0.710,1.143,0.008,0.935,0.875,18486.483,19.805,5.959,11.789,143.424,1625672,0.984,0.106,5.459E-4,194.888,0.969,0.278,0.845,254.089,15.940,10.348,1.223,1.106,13.796,1.252,1.119,14.122,85.521,0.984,11.278,253.276,19.465,254.261,8.374
10,27477,9169.000,33.880,0,85,216,112.005,278.699,113.454,268.980,636.399,12,192,200,176,210.054,166.552,150.214,0.853,211.986,2046671.000,0,0.372,-0.654,0,2046671.000,18,228,149.685,168.852,1.261,0.793,0.984,Test,636.399,211.986,168.852,1.255,49.412,32907.000,600.316,187.042,202.572,84.426,105.993,93.583,68.621,28112.747,0.797,11.297,14.740,0.779,0.882,0.835,0.943,5430.000,35794.261,0.768,0.797,1.173,0.006,0.923,0.853,26840.601,3.451,5.974,14.073,201.159,2347417,0.989,0.075,5.485E-4,182.054,0.971,0.352,0.882,254.597,15.956,5.625,0.851,0.923,11.684,0.848,0.921,11.621,85.432,0.511,10.876,253.810,16.295,254.600,5.568
