@relation FeaturesBW

@attribute Area numeric
@attribute Label {'Amorpha fruticosa','Anagyris foetida','Anthyllis barba-jovis','Anthyllis cytisoides','Astragalus glycyphyllos','Calicotome villosa','Caragana arborescens','Ceratonia siliqua','Colutea arborescens','Cytisus purgans','Cytisus scoparius','Dorycnium pentaphyllum','Dorycnium rectum','Hedysarum coronarium','Lathyrus aphaca','Lathyrus ochrus','Medicago sativa','Melilotus officinalis','Pisum sativum subsp. elatius','Senna alexandrina','Spartium junceum','Trifolium angustifolium','Vicia faba'}
@attribute Perimeter numeric
@attribute *Feret numeric
@attribute *Breadth numeric
@attribute *AspRatio numeric
@attribute *RFactor numeric
@attribute *ConvexArea numeric
@attribute *ConvexPerimeter numeric
@attribute *ArEquivD numeric
@attribute *PerEquivD numeric
@attribute *MinR numeric
@attribute *MaxR numeric
@attribute *avgR numeric
@attribute *VarianceR numeric
@attribute *EquivEllAr numeric
@attribute *ModRatio numeric
@attribute *HaralickRatio numeric
@attribute *ThinnessR numeric
@attribute *Roundness numeric
@attribute *Compactness numeric
@attribute *Solidity numeric
@attribute *Convexity numeric
@attribute *Concavity numeric
@attribute *ArBBox numeric
@attribute *Rectang numeric
@attribute *Sphericity numeric
@attribute *Elongation numeric
@attribute '*Bending Energy' numeric
@attribute *Jaggedness numeric
@attribute *Circularity numeric
@attribute *Endocarp numeric
@attribute 'Distance CM-FB' numeric

@data
1916,'Amorpha fruticosa',233238,97046,30628,3.169,7.09,2161.5,214582,49.392,74242,15314,48523,29.453,123861,2334496,316,2.646,28392,259,509,0.886,0.92,245.5,2972373,645,316,2259,295,665,0.443,1682.762,7.26
2737,'Amorpha fruticosa',284818,119.808,37848,3165,8566,3224,263.477,59033,90.66,18924,59.904,34.983,213.913,3561425,316,2392,29639,243,493,0.849,925,487,4534.547,604,316,2359,0.443,0.651,424,2452.182,10.972
3083,'Amorpha fruticosa',285262,115365,42.663,2.704,10024,3633,267002,62653,90802,21331,57.682,37162,185387,3865563,0.37,2.729,26395,295,0.543,0.849,0.936,550,4921788,626,0.37,2.1,1321,0.69,0.476,2797738,17
2638,'Amorpha fruticosa',276.333,111306,37899,2937,8792,3074.5,247274,57955,87.96,18949,55653,33537,175192,3313.102,0.34,2.534,28.946,271,521,858,895,436.5,4218372,625,0.34,2303,259,659,434,2361667,7546
2913,'Amorpha fruticosa',295161,120416,40632,2964,9309,3521.5,265877,60901,93.953,20316,60208,35.776,169.973,3842776,337,2.744,29.907,256,506,0.827,0.901,608.5,4892774,595,337,2.38,18.057,648,0.42,2617839,12.938
1835,'Amorpha fruticosa',244149,104,30851,3.371,6862,2242,225859,48.336,77715,15.426,52,28.742,153273,2519.983,297,2322,32484,0.216,465,818,925,407,3208542,0.572,297,2585,126273,622,387,1590851,3967
1844,'Amorpha fruticosa',254392,103005,30576,3.369,7114,2302,225048,48455,80975,15288,51.502,32007,160375,2473572,297,2.527,35095,221,0.47,0.801,885,458,3149.45,585,297,2793,7489,598,358,1589608,12.541
1787,'Amorpha fruticosa',223622,93814,31.56,2.973,7108,2095,210268,47.7,71181,15.78,46907,28.933,122145,2325.41,336,2.618,27984,259,508,853,0.94,308,2960805,604,336,2227,569,0.67,449,1563378,12206
2005,'Amorpha fruticosa',242208,98509,33.47,2943,7763,2402.5,217.789,50526,77097,16735,49254,30.007,101507,2589524,0.34,2978,29259,263,513,835,899,397.5,3297.084,608,0.34,2.328,0.916,655,429,1762.792,5.262
2867,'Amorpha fruticosa',311647,119854,39834,3009,10.629,4002,266718,60418,99.2,19917,59927,35753,221764,3749672,332,2401,33876,254,504,716,856,1135,4774.23,601,332,2696,725,609,371,2555353,10788
2323,'Amorpha fruticosa',265948,106.668,37104,2875,8599,2881.5,239.51,54385,84654,18552,53.334,32777,178956,3108489,348,2.45,30447,0.26,0.51,0.806,0.901,558.5,3957.851,0.587,348,2423,2127,642,413,2057052,16086
1901,'Amorpha fruticosa',230.492,95.718,33119,2.89,7931,2385,213.996,49198,73368,16.56,47.859,28052,118.606,2489806,0.346,2576,27947,264,514,797,0.928,484,3170119,0.6,0.346,2224,5.798,0.671,0.45,1670.508,8455
1760,'Amorpha fruticosa',213.38,87664,31.32,2799,8355,2301,200646,47338,67921,15.66,43832,26086,113395,2156422,0.357,2.45,25.87,292,0.54,765,0.94,541,2745.642,0.641,0.357,2059,552,0.697,486,1546.62,12022
