Area,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB
1916,Amorpha fruticosa,233238.0,97046.0,30628.0,3.169,7.09,2161.5,214582.0,49.392,74242.0,15314.0,48523.0,29.453000000000007,123861.0,2334496.0,316.0,2.6460000000000004,28392.0,259.0,509.0,0.8859999999999999,0.92,245.5,2972373.0,645.0,316.0,2259.0,295.0,665.0,0.443,1682.7620000000004,7.26
2737,Amorpha fruticosa,284818.0,119.808,37848.0,3165.0,8566.0,3224.0,263.47700000000003,59033.0,90.66,18924.0,59.904,34.983000000000004,213.913,3561425.0,316.0,2392.0,29639.0,243.0,493.0,0.8490000000000001,925.0,487.0,4534.547000000001,604.0,316.0,2359.0,0.443,0.6509999999999999,424.0,2452.182,10.972
3083,Amorpha fruticosa,285262.0,115365.0,42.663,2.704,10024.0,3633.0,267002.0,62653.0,90802.0,21331.0,57.682,37162.0,185387.0,3865563.0,0.37,2.729,26395.0,295.0,0.5429999999999999,0.8490000000000001,0.936,550.0,4921788.0,626.0,0.37,2.1,1321.0,0.69,0.476,2797738.0,17.0
2638,Amorpha fruticosa,276.333,111306.0,37899.0,2937.0,8792.0,3074.5,247274.0,57955.0,87.96,18949.0,55653.0,33537.0,175192.0,3313.1020000000008,0.34,2.5340000000000003,28.946,271.0,521.0,858.0,895.0,436.5,4218372.0,625.0,0.34,2303.0,259.0,659.0,434.0,2361667.0,7546.0
2913,Amorpha fruticosa,295161.0,120416.0,40632.0,2964.0,9309.0,3521.5,265877.0,60901.0,93.953,20316.0,60208.0,35.776,169.97299999999996,3842776.0,337.0,2.744,29.907,256.0,506.0,0.8270000000000001,0.901,608.5,4892774.0,595.0,337.0,2.38,18.057,648.0,0.42,2617839.0,12.938
1835,Amorpha fruticosa,244149.0,104.0,30851.0,3.3710000000000004,6862.0,2242.0,225859.0,48.33600000000001,77715.0,15.425999999999998,52.0,28.742,153273.0,2519.983,297.0,2322.0,32484.0,0.21600000000000005,465.0,818.0,925.0,407.0,3208542.0,0.5720000000000001,297.0,2585.0,126273.0,622.0,387.0,1590851.0,3967.0
1844,Amorpha fruticosa,254392.0,103005.0,30576.0,3.369,7114.0,2302.0,225048.0,48455.0,80975.0,15288.0,51.502,32007.0,160375.0,2473572.0,297.0,2.527,35095.0,221.0,0.47,0.8009999999999999,885.0,458.0,3149.45,585.0,297.0,2793.0,7489.0,598.0,358.0,1589608.0,12.541
1787,Amorpha fruticosa,223622.0,93814.0,31.56,2.9730000000000003,7108.0,2095.0,210268.0,47.7,71181.0,15.78,46907.0,28.933000000000003,122145.0,2325.41,336.0,2.6180000000000003,27984.0,259.0,508.0,853.0,0.94,308.0,2960805.0,604.0,336.0,2227.0,569.0,0.67,449.0,1563378.0,12206.0
2005,Amorpha fruticosa,242208.0,98509.0,33.47,2943.0,7763.0,2402.5,217.789,50526.0,77097.0,16735.0,49254.0,30.007,101507.0,2589524.0,0.34,2978.0,29259.0,263.0,513.0,835.0,899.0,397.5,3297.0840000000007,608.0,0.34,2.3280000000000003,0.916,655.0,429.0,1762.792,5.2620000000000005
2867,Amorpha fruticosa,311647.0,119854.0,39834.0,3009.0,10.629,4002.0,266718.0,60418.0,99.2,19917.0,59927.0,35753.0,221764.0,3749672.0,332.0,2401.0,33876.0,254.0,504.0,716.0,856.0,1135.0,4774.23,601.0,332.0,2696.0,725.0,609.0,371.0,2555353.0,10788.0
2323,Amorpha fruticosa,265948.0,106.668,37104.0,2875.0,8599.0,2881.5,239.51,54385.0,84654.0,18552.0,53.334,32777.0,178956.0,3108489.0,348.0,2.45,30447.0,0.26,0.51,0.8059999999999999,0.901,558.5,3957.851,0.5870000000000001,348.0,2423.0,2127.0,642.0,413.0,2057052.0,16086.0
1901,Amorpha fruticosa,230.492,95.718,33119.0,2.89,7931.0,2385.0,213.996,49198.0,73368.0,16.56,47.859,28052.0,118.606,2489806.0,0.34600000000000003,2576.0,27947.0,264.0,514.0,797.0,0.928,484.0,3170119.0,0.6,0.34600000000000003,2224.0,5.797999999999999,0.6709999999999999,0.45,1670.5079999999996,8455.0
1760,Amorpha fruticosa,213.38,87664.0,31.32,2799.0,8355.0,2301.0,200646.0,47338.0,67921.0,15.66,43832.0,26086.0,113395.0,2156422.0,0.35700000000000004,2.45,25.87,292.0,0.54,765.0,0.94,541.0,2745.6420000000007,0.6409999999999999,0.35700000000000004,2059.0,552.0,0.6970000000000001,486.0,1546.62,12022.0
