@relation FeaturesBW_Gray

@attribute Area numeric
@attribute Perimeter numeric
@attribute x_Feret numeric
@attribute x_Breadth numeric
@attribute x_AspRatio numeric
@attribute x_RFactor numeric
@attribute x_ConvexArea numeric
@attribute x_ConvexPerimeter numeric
@attribute x_ArEquivD numeric
@attribute x_PerEquivD numeric
@attribute x_MinR numeric
@attribute x_MaxR numeric
@attribute x_avgR numeric
@attribute x_VarianceR numeric
@attribute x_EquivEllAr numeric
@attribute x_ModRatio numeric
@attribute x_HaralickRatio numeric
@attribute x_ThinnessR numeric
@attribute x_Roundness numeric
@attribute x_Compactness numeric
@attribute x_Solidity numeric
@attribute x_Convexity numeric
@attribute x_Concavity numeric
@attribute x_ArBBox numeric
@attribute x_Rectang numeric
@attribute x_Sphericity numeric
@attribute x_Elongation numeric
@attribute x_BendingEnergy numeric
@attribute x_Jaggedness numeric
@attribute x_Circularity numeric
@attribute x_Endocarp numeric
@attribute DistanceCM_FB numeric
@attribute Mean numeric
@attribute Min numeric
@attribute Max numeric
@attribute Mode numeric
@attribute StD numeric
@attribute Skewness numeric
@attribute Kurtosis numeric
@attribute IntensitySum numeric
@attribute Uniformity numeric
@attribute Entropy numeric
@attribute SmothnessR numeric
@attribute GLCM_Contrast numeric
@attribute GLCM_Correlation numeric
@attribute GLCM_Energy numeric
@attribute GLCM_Homogeneity numeric
@attribute Label {'Amorpha fruticosa','Anagyris foetida','Anthyllis barba-jovis','Anthyllis cytisoides','Astragalus glycyphyllos','Calicotome villosa','Caragana arborescens','Ceratonia siliqua','Colutea arborescens','Cytisus purgans','Cytisus scoparius','Dorycnium pentaphyllum','Dorycnium rectum','Hedysarum coronarium','Lathyrus aphaca','Lathyrus ochrus','Medicago sativa','Melilotus officinalis','Pisum sativum subsp. elatius','Senna alexandrina','Spartium junceum','Trifolium angustifolium','Vicia faba'}

@data
1916,233238,97046,30628,3.169,7.09,2161.5,214582,49.392,74242,15314,48523,29.453,123861,2334496,316,2.646,28392,259,509,0.886,0.92,245.5,2972373,645,316,2259,295,665,0.443,1682.762,7.26,99.303757,0,226,112,0,52.288,2732,162860,1,-0,0,49.06,0.62,304,0.819,'Amorpha fruticosa'
2737,284818,119.808,37848,3165,8566,3224,263.477,59033,90.66,18924,59.904,34.983,213.913,3561425,316,2392,29639,243,493,0.849,925,487,4534.547,604,316,2359,0.443,0.651,424,2452.182,10.972,75.850959,1,175,114,2.791,52.288,2732,232791,0.999,5,0.00012,161368,773,0.26,818,'Amorpha fruticosa'
3083,285262,115365,42.663,2.704,10024,3633,267002,62653,90802,21331,57.682,37162,185387,3865563,0.37,2.729,26395,295,0.543,0.849,0.936,550,4921788,626,0.37,2.1,1321,0.69,0.476,2797738,17,72.655483,0,223,15,0,23101,534.67,262055,1,-0,0,156.28,0.73,0.286,792,'Amorpha fruticosa'
2638,276.333,111306,37899,2937,8792,3074.5,247274,57955,87.96,18949,55653,33537,175192,3313.102,0.34,2.534,28.946,271,521,858,895,436.5,4218372,625,0.34,2303,259,659,434,2361667,7546,91.157862,1,238,125,5296,23101,534.67,224837,996,24,0.000431,152.473,789,267,816,'Amorpha fruticosa'
2913,295161,120416,40632,2964,9309,3521.5,265877,60901,93.953,20316,60208,35.776,169.973,3842776,337,2.744,29.907,256,506,0.827,0.901,608.5,4892774,595,337,2.38,18.057,648,0.42,2617839,12.938,68.558511,0,237,10,5.097,27441,760393,248152,997,0.018,0.000399,71.37,0.808,242,823,'Amorpha fruticosa'
1835,244149,104,30851,3.371,6862,2242,225859,48.336,77715,15.426,52,28.742,153273,2519.983,297,2322,32484,0.216,465,818,925,407,3208542,0.572,297,2585,126273,622,387,1590851,3967,83.167444,1,196,91,0,42907,1839001,155975,1,-0,0,171028,0.73,0.274,812,'Amorpha fruticosa'
1844,254392,103005,30576,3.369,7114,2302,225048,48455,80975,15288,51.502,32007,160375,2473572,297,2.527,35095,221,0.47,0.801,885,458,3149.45,585,297,2793,7489,598,358,1589608,12.541,95.19458,1,209,92,2655,42907,1839001,156854,0.999,0.007,0.000108,151.492,0.766,254,0.814,'Amorpha fruticosa'
1787,223622,93814,31.56,2.973,7108,2095,210268,47.7,71181,15.78,46907,28.933,122145,2325.41,336,2.618,27984,259,508,853,0.94,308,2960805,604,336,2227,569,0.67,449,1563378,12206,95.205347,0,213,145,3.288,42.237,1782001,152034,0.999,0.007,0.000166,119546,0.783,302,0.839,'Amorpha fruticosa'
2005,242208,98509,33.47,2943,7763,2402.5,217.789,50526,77097,16735,49254,30.007,101507,2589524,0.34,2978,29259,263,513,835,899,397.5,3297.084,608,0.34,2.328,0.916,655,429,1762.792,5.262,73.790051,0,204,73,4533,26186,690904,170775,997,19,0.000316,224707,0.798,226,775,'Amorpha fruticosa'
2867,311647,119854,39834,3009,10.629,4002,266718,60418,99.2,19917,59927,35753,221764,3749672,332,2401,33876,254,504,716,856,1135,4774.23,601,332,2696,725,609,371,2555353,10788,72.902537,0,196,9,0,17.69,319.09,243695,1,-0,0,257.78,867,133,769,'Amorpha fruticosa'
