Area,Perimeter,x_Feret,x_Breadth,x_AspRatio,x_RFactor,x_ConvexArea,x_ConvexPerimeter,x_ArEquivD,x_PerEquivD,x_MinR,x_MaxR,x_avgR,x_VarianceR,x_EquivEllAr,x_ModRatio,x_HaralickRatio,x_ThinnessR,x_Roundness,x_Compactness,x_Solidity,x_Convexity,x_Concavity,x_ArBBox,x_Rectang,x_Sphericity,x_Elongation,x_BendingEnergy,x_Jaggedness,x_Circularity,x_Endocarp,DistanceCM_FB,Mean,Min,Max,Mode,StD,Skewness,Kurtosis,IntensitySum,Uniformity,Entropy,SmothnessR,GLCM_Contrast,GLCM_Correlation,GLCM_Energy,GLCM_Homogeneity,Label
1916,233238.0,97046.0,30628.0,3.1689999999999996,7.09,2161.5,214582.0,49.391999999999996,74242.0,15314.0,48523.0,29.453000000000003,123861.0,2334496.0,316.0,2.6460000000000004,28392.0,259.0,509.0,0.8859999999999999,0.92,245.5,2972373.0,645.0,316.0,2259.0,295.0,665.0,0.44299999999999995,1682.7620000000002,7.26,99.30375699440451,0,226,112,0.0,52.288000000000004,2732.0,162860,1.0,-0.0,0.0,49.06,0.62,304.0,0.8190000000000001,Amorpha fruticosa
2737,284818.0,119.80799999999999,37848.0,3165.0,8566.0,3224.0,263.47700000000003,59033.0,90.66,18924.0,59.903999999999996,34.983000000000004,213.91299999999998,3561425.0,316.0,2392.0,29639.0,243.0,493.0,0.8490000000000001,925.0,487.0,4534.5470000000005,604.0,316.0,2359.0,0.44299999999999995,0.6509999999999999,424.0,2452.1820000000002,10.972000000000001,75.85095890410959,1,175,114,2.7910000000000004,52.288000000000004,2732.0,232791,0.9990000000000001,5.0,0.0001198,161368.0,773.0,0.26,818.0,Amorpha fruticosa
3083,285262.0,115365.0,42.663000000000004,2.7039999999999997,10024.0,3633.0,267002.0,62653.0,90802.0,21331.0,57.681999999999995,37162.0,185387.0,3865563.0,0.37,2.7289999999999996,26395.0,295.0,0.5429999999999999,0.8490000000000001,0.9359999999999999,550.0,4921788.0,626.0,0.37,2.1,1321.0,0.69,0.47600000000000003,2797738.0,17.0,72.6554832248373,0,223,15,0.0,23101.0,534.67,262055,1.0,-0.0,0.0,156.28,0.73,0.28600000000000003,792.0,Amorpha fruticosa
2638,276.33299999999997,111306.0,37899.0,2937.0,8792.0,3074.5,247274.0,57955.0,87.96,18949.0,55653.0,33537.0,175192.0,3313.1020000000003,0.34,2.5340000000000003,28.945999999999998,271.0,521.0,858.0,895.0,436.5,4218372.0,625.0,0.34,2303.0,259.0,659.0,434.0,2361667.0,7546.0,91.15786163522009,1,238,125,5296.0,23101.0,534.67,224837,996.0,24.0,0.0004312,152.47299999999998,789.0,267.0,816.0,Amorpha fruticosa
2913,295161.0,120416.0,40632.0,2964.0,9309.0,3521.5,265877.0,60901.0,93.95299999999999,20316.0,60208.0,35.775999999999996,169.97299999999998,3842776.0,337.0,2.7439999999999998,29.906999999999996,256.0,506.0,0.8270000000000001,0.9009999999999999,608.5,4892774.0,595.0,337.0,2.38,18.057000000000002,648.0,0.42,2617839.0,12.937999999999999,68.5585106382979,0,237,10,5.0969999999999995,27441.0,760393.0,248152,997.0,0.018000000000000002,0.00039930000000000006,71.37,0.8079999999999999,242.0,823.0,Amorpha fruticosa
1835,244149.0,104.0,30851.0,3.3710000000000004,6862.0,2242.0,225859.0,48.336000000000006,77715.0,15.425999999999998,52.0,28.741999999999997,153273.0,2519.9829999999997,297.0,2322.0,32484.0,0.21600000000000003,465.0,818.0,925.0,407.0,3208542.0,0.5720000000000001,297.0,2585.0,126273.0,622.0,387.0,1590851.0,3967.0,83.1674440298507,1,196,91,0.0,42907.0,1839001.0,155975,1.0,-0.0,0.0,171028.0,0.73,0.27399999999999997,812.0,Amorpha fruticosa
1844,254392.0,103005.0,30576.0,3.3689999999999998,7114.0,2302.0,225048.0,48455.0,80975.0,15288.0,51.501999999999995,32007.0,160375.0,2473572.0,297.0,2.5269999999999997,35095.0,221.0,0.47,0.8009999999999999,885.0,458.0,3149.45,585.0,297.0,2793.0,7489.0,598.0,358.0,1589608.0,12.540999999999999,95.1945799457995,1,209,92,2655.0,42907.0,1839001.0,156854,0.9990000000000001,0.006999999999999999,0.0001084,151.49200000000002,0.7659999999999999,254.0,0.8140000000000001,Amorpha fruticosa
1787,223622.0,93814.0,31.56,2.9730000000000003,7108.0,2095.0,210268.0,47.7,71181.0,15.78,46907.0,28.933000000000003,122145.0,2325.41,336.0,2.6180000000000003,27984.0,259.0,508.0,853.0,0.94,308.0,2960805.0,604.0,336.0,2227.0,569.0,0.67,449.0,1563378.0,12206.0,95.2053469852105,0,213,145,3.2880000000000003,42.236999999999995,1782001.0,152034,0.9990000000000001,0.006999999999999999,0.0001662,119546.0,0.7829999999999999,302.0,0.8390000000000001,Amorpha fruticosa
2005,242208.0,98509.0,33.47,2943.0,7763.0,2402.5,217.78900000000002,50526.0,77097.0,16735.0,49254.0,30.006999999999998,101507.0,2589524.0,0.34,2978.0,29259.0,263.0,513.0,835.0,899.0,397.5,3297.0840000000003,608.0,0.34,2.3280000000000003,0.9159999999999999,655.0,429.0,1762.7920000000001,5.2620000000000005,73.7900512070227,0,204,73,4533.0,26186.0,690904.0,170775,997.0,19.0,0.0003159,224707.0,0.7979999999999999,226.0,775.0,Amorpha fruticosa
2867,311647.0,119854.0,39834.0,3009.0,10.629000000000001,4002.0,266718.0,60418.0,99.2,19917.0,59927.0,35753.0,221764.0,3749672.0,332.0,2401.0,33876.0,254.0,504.0,716.0,856.0,1135.0,4774.23,601.0,332.0,2696.0,725.0,609.0,371.0,2555353.0,10788.0,72.9025367156208,0,196,9,0.0,17.69,319.09,243695,1.0,-0.0,0.0,257.78,867.0,133.0,769.0,Amorpha fruticosa
