@relation FeaturesBW_RGB

@attribute Area numeric
@attribute Perimeter numeric
@attribute x_Feret numeric
@attribute x_Breadth numeric
@attribute x_AspRatio numeric
@attribute x_RFactor numeric
@attribute x_ConvexArea numeric
@attribute x_ConvexPerimeter numeric
@attribute x_ArEquivD numeric
@attribute x_PerEquivD numeric
@attribute x_MinR numeric
@attribute x_MaxR numeric
@attribute x_avgR numeric
@attribute x_VarianceR numeric
@attribute x_EquivEllAr numeric
@attribute x_ModRatio numeric
@attribute x_HaralickRatio numeric
@attribute x_ThinnessR numeric
@attribute x_Roundness numeric
@attribute x_Compactness numeric
@attribute x_Solidity numeric
@attribute x_Convexity numeric
@attribute x_Concavity numeric
@attribute x_ArBBox numeric
@attribute x_Rectang numeric
@attribute x_Sphericity numeric
@attribute x_Elongation numeric
@attribute x_BendingEnergy numeric
@attribute x_Jaggedness numeric
@attribute x_Circularity numeric
@attribute x_Endocarp numeric
@attribute DistanceCM_FB numeric
@attribute MeanIntensityR numeric
@attribute StdDevR numeric
@attribute MeanSqrtR numeric
@attribute MeanIntensityG numeric
@attribute StdDevG numeric
@attribute MeanSqrtG numeric
@attribute MeanIntensityB numeric
@attribute StdDevB numeric
@attribute MeanSqrtB numeric
@attribute MeanIntensityH numeric
@attribute StdDevH numeric
@attribute MeanSqrtH numeric
@attribute MeanIntensityS numeric
@attribute StdDevS numeric
@attribute MeanSqrtS numeric
@attribute MeanIntensityV numeric
@attribute StdDevV numeric
@attribute MeanSqrtV numeric
@attribute Label {'Amorpha fruticosa','Anagyris foetida','Anthyllis barba-jovis','Anthyllis cytisoides','Astragalus glycyphyllos','Calicotome villosa','Caragana arborescens','Ceratonia siliqua','Colutea arborescens','Cytisus purgans','Cytisus scoparius','Dorycnium pentaphyllum','Dorycnium rectum','Hedysarum coronarium','Lathyrus aphaca','Lathyrus ochrus','Medicago sativa','Melilotus officinalis','Pisum sativum subsp. elatius','Senna alexandrina','Spartium junceum','Trifolium angustifolium','Vicia faba'}

@data
1916,233238,97046,30628,3.169,7.09,2161.5,214582,49.392,74242,15314,48523,29.453,123861,2334496,316,2.646,28392,259,509,0.886,0.92,245.5,2972373,645,316,2259,295,665,0.443,1682.762,7.26,121.15028,57.271171,11.006829,95.421263,49.626501,9.768381,61.928058,41.751949,7.869438,0.138046,0.134345,0.371545,0.569281,0.24417,0.754507,0.485384,0.214025,0.696695,'Amorpha fruticosa'
2737,284818,119.808,37848,3165,8566,3224,263.477,59033,90.66,18924,59.904,34.983,213.913,3561425,316,2392,29639,243,493,0.849,925,487,4534.547,604,316,2359,0.443,0.651,424,2452.182,10.972,93.205479,43.000267,9.654298,72.040548,40.792768,8.48767,49.891507,36.813873,7.063392,0.154937,0.182109,0.39362,0.575744,0.260244,0.758778,0.379818,0.161231,0.616294,'Amorpha fruticosa'
3083,285262,115365,42.663,2.704,10024,3633,267002,62653,90802,21331,57.682,37162,185387,3865563,0.37,2.729,26395,295,0.543,0.849,0.936,550,4921788,626,0.37,2.1,1321,0.69,0.476,2797738,17,92.340511,46.709043,9.609397,67.283425,40.78853,8.202647,48.657987,35.925938,6.975528,0.146307,0.195202,0.382501,0.575554,0.259012,0.758653,0.373258,0.174766,0.610948,'Amorpha fruticosa'
2638,276.333,111306,37899,2937,8792,3074.5,247274,57955,87.96,18949,55653,33537,175192,3313.102,0.34,2.534,28.946,271,521,858,895,436.5,4218372,625,0.34,2303,259,659,434,2361667,7546,110.693711,54.847921,10.521108,87.31761,51.245068,9.344389,59.655975,41.723134,7.723728,0.1389,0.162183,0.372692,0.566524,0.255704,0.752678,0.44367,0.207508,0.666086,'Amorpha fruticosa'
2913,295161,120416,40632,2964,9309,3521.5,265877,60901,93.953,20316,60208,35.776,169.973,3842776,337,2.744,29.907,256,506,0.827,0.901,608.5,4892774,595,337,2.38,18.057,648,0.42,2617839,12.938,90.969605,46.97601,9.537799,62.345745,42.862377,7.895932,41.740122,35.796472,6.46066,0.138898,0.194495,0.372691,0.637208,0.25803,0.798253,0.366705,0.177293,0.605562,'Amorpha fruticosa'
1835,244149,104,30851,3.371,6862,2242,225859,48.336,77715,15.426,52,28.742,153273,2519.983,297,2322,32484,0.216,465,818,925,407,3208542,0.572,297,2585,126273,622,387,1590851,3967,104.828825,43.463182,10.238595,78.815299,38.275183,8.877798,48.710354,33.866108,6.97928,0.126894,0.11816,0.356221,0.597179,0.239399,0.772773,0.420784,0.162304,0.648679,'Amorpha fruticosa'
1844,254392,103005,30576,3.369,7114,2302,225048,48455,80975,15288,51.502,32007,160375,2473572,297,2.527,35095,221,0.47,0.801,885,458,3149.45,585,297,2793,7489,598,358,1589608,12.541,112.571816,47.954254,10.609987,93.24065,44.983361,9.65612,59.682927,38.421297,7.725473,0.138567,0.121704,0.372246,0.54536,0.240094,0.738485,0.451899,0.18136,0.672234,'Amorpha fruticosa'
1787,223622,93814,31.56,2.973,7108,2095,210268,47.7,71181,15.78,46907,28.933,122145,2325.41,336,2.618,27984,259,508,853,0.94,308,2960805,604,336,2227,569,0.67,449,1563378,12206,116.704209,56.45763,10.802972,92.088737,49.417922,9.596288,54.832765,40.198786,7.404915,0.144502,0.13893,0.380134,0.616665,0.240158,0.785281,0.470782,0.2102,0.686136,'Amorpha fruticosa'
2005,242208,98509,33.47,2943,7763,2402.5,217.789,50526,77097,16735,49254,30.007,101507,2589524,0.34,2978,29259,263,513,835,899,397.5,3297.084,608,0.34,2.328,0.916,655,429,1762.792,5.262,91.597293,40.240994,9.570647,69.995245,39.23064,8.366316,46.585589,35.973694,6.825364,0.142468,0.161579,0.377449,0.581806,0.265063,0.762762,0.369842,0.154185,0.608147,'Amorpha fruticosa'
2867,311647,119854,39834,3009,10.629,4002,266718,60418,99.2,19917,59927,35753,221764,3749672,332,2401,33876,254,504,716,856,1135,4774.23,601,332,2696,725,609,371,2555353,10788,91.375834,56.038715,9.559071,68.903872,48.166504,8.300836,45.029372,39.244644,6.710393,0.160731,0.191326,0.400913,0.648988,0.260779,0.805598,0.372989,0.207731,0.610728,'Amorpha fruticosa'
2323,265948,106.668,37104,2875,8599,2881.5,239.51,54385,84654,18552,53.334,32777,178956,3108489,348,2.45,30447,0.26,0.51,0.806,0.901,558.5,3957.851,0.587,348,2423,2127,642,413,2057052,16086,107.593806,49.157726,10.372743,79.440754,43.94569,8.912954,50.532316,38.374567,7.108609,0.13143,0.150475,0.362532,0.611404,0.251114,0.781923,0.431022,0.18565,0.656523,'Amorpha fruticosa'
1901,230.492,95.718,33119,2.89,7931,2385,213.996,49198,73368,16.56,47.859,28052,118.606,2489806,0.346,2576,27947,264,514,797,0.928,484,3170119,0.6,0.346,2224,5.798,0.671,0.45,1670.508,8455,123.568919,51.333302,11.116156,97.335135,45.797843,9.865857,61.491441,39.235362,7.841648,0.123288,0.102219,0.351124,0.565711,0.226088,0.752138,0.492528,0.193466,0.701803,'Amorpha fruticosa'
1760,213.38,87664,31.32,2799,8355,2301,200646,47338,67921,15.66,43832,26086,113395,2156422,0.357,2.45,25.87,292,0.54,765,0.94,541,2745.642,0.641,0.357,2059,552,0.697,486,1546.62,12022,97.849852,43.237384,9.891908,70.106879,39.043778,8.372985,45.293269,34.940393,6.730027,0.131576,0.161075,0.362735,0.611545,0.256977,0.782013,0.392731,0.162976,0.626683,'Amorpha fruticosa'
1595,218.309,87464,29614,2.953,7555,2076,197.978,45065,69.49,14807,43732,29325,90193,2034.323,0.339,3088,29.88,265,515,768,907,481,2590181,616,0.339,2378,1952,649,0.421,1376691,13.824,115.741732,52.638804,10.758333,95.395914,49.08598,9.767083,61.600195,41.03621,7.848579,0.13809,0.120591,0.371605,0.550663,0.251205,0.742067,0.465501,0.200048,0.682277,'Amorpha fruticosa'
1604,224208,89694,29186,3073,8831,2488.5,199234,45192,71368,14593,44847,30504,82825,2056042,325,3352,31.34,254,504,645,889,884.5,2617834,613,325,2494,0.007,633,401,1379.792,13583,114.969132,54.578974,10.722366,93.790914,50.169096,9.684571,62.042516,41.507546,7.876707,0.151742,0.161188,0.38954,0.554123,0.2496,0.744395,0.46256,0.205193,0.680118,'Amorpha fruticosa'
1409,195.439,84054,28.277,2.973,9242,2440.5,185923,42356,62.21,14138,42027,25684,83038,1866.696,336,2819,27109,254,504,0.577,951,1031.5,2376751,593,336,2157,3767,0.681,0.464,1213.561,7.17,123.173225,51.000134,11.098343,88.305389,47.125176,9.397095,57.786142,41.202356,7.60172,0.11072,0.119408,0.332746,0.590641,0.252491,0.768532,0.48996,0.193587,0.699971,'Amorpha fruticosa'
