Area,Perimeter,x_Feret,x_Breadth,x_AspRatio,x_RFactor,x_ConvexArea,x_ConvexPerimeter,x_ArEquivD,x_PerEquivD,x_MinR,x_MaxR,x_avgR,x_VarianceR,x_EquivEllAr,x_ModRatio,x_HaralickRatio,x_ThinnessR,x_Roundness,x_Compactness,x_Solidity,x_Convexity,x_Concavity,x_ArBBox,x_Rectang,x_Sphericity,x_Elongation,x_BendingEnergy,x_Jaggedness,x_Circularity,x_Endocarp,DistanceCM_FB,MeanIntensityR,StdDevR,MeanSqrtR,MeanIntensityG,StdDevG,MeanSqrtG,MeanIntensityB,StdDevB,MeanSqrtB,MeanIntensityH,StdDevH,MeanSqrtH,MeanIntensityS,StdDevS,MeanSqrtS,MeanIntensityV,StdDevV,MeanSqrtV,Label
1916,233238.0,97046.0,30628.0,3.1689999999999996,7.09,2161.5,214582.0,49.391999999999996,74242.0,15314.0,48523.0,29.453000000000003,123861.0,2334496.0,316.0,2.6460000000000004,28392.0,259.0,509.0,0.8859999999999999,0.92,245.5,2972373.0,645.0,316.0,2259.0,295.0,665.0,0.44299999999999995,1682.7620000000002,7.26,121.150279776179,57.2711707399252,11.006828779270599,95.4212629896083,49.62650093975579,9.76838077623965,61.9280575539568,41.751948698759996,7.869438198115339,0.138045746716439,0.13434538965942402,0.37154508032867206,0.569281118582545,0.24416996764215695,0.7545072024722791,0.485384241626307,0.21402458731231697,0.6966952286518879,Amorpha fruticosa
2737,284818.0,119.80799999999999,37848.0,3165.0,8566.0,3224.0,263.47700000000003,59033.0,90.66,18924.0,59.903999999999996,34.983000000000004,213.91299999999998,3561425.0,316.0,2392.0,29639.0,243.0,493.0,0.8490000000000001,925.0,487.0,4534.5470000000005,604.0,316.0,2359.0,0.44299999999999995,0.6509999999999999,424.0,2452.1820000000002,10.972000000000001,93.2054794520548,43.000267397714396,9.65429849611326,72.0405479452055,40.792767619401204,8.48767034852353,49.8915068493151,36.8138730521358,7.06339202149471,0.154937024198109,0.18210868598454397,0.39362040622674604,0.5757440634146229,0.260244104355431,0.7587780066756171,0.37981842600053706,0.161230836041559,0.616294106738445,Amorpha fruticosa
3083,285262.0,115365.0,42.663000000000004,2.7039999999999997,10024.0,3633.0,267002.0,62653.0,90802.0,21331.0,57.681999999999995,37162.0,185387.0,3865563.0,0.37,2.7289999999999996,26395.0,295.0,0.5429999999999999,0.8490000000000001,0.9359999999999999,550.0,4921788.0,626.0,0.37,2.1,1321.0,0.69,0.47600000000000003,2797738.0,17.0,92.3405107661492,46.709042975969496,9.609397003254118,67.2834251377066,40.7885302393234,8.202647446873879,48.6579869804707,35.9259383823322,6.97552772057217,0.14630730504206899,0.195202475796767,0.38250137913747295,0.575554208315395,0.259012092538914,0.758652890533869,0.373257926104844,0.17476553136685,0.610948382520851,Amorpha fruticosa
2638,276.33299999999997,111306.0,37899.0,2937.0,8792.0,3074.5,247274.0,57955.0,87.96,18949.0,55653.0,33537.0,175192.0,3313.1020000000003,0.34,2.5340000000000003,28.945999999999998,271.0,521.0,858.0,895.0,436.5,4218372.0,625.0,0.34,2303.0,259.0,659.0,434.0,2361667.0,7546.0,110.693710691824,54.847920857088496,10.5211078642804,87.31761006289308,51.245068263645294,9.34438922899154,59.65597484276729,41.7231338492148,7.72372804044571,0.13889966440282098,0.16218287062021802,0.37269245283855895,0.5665241189395339,0.255704069185559,0.7526779649621309,0.44366999630040704,0.20750833630213397,0.666085577310008,Amorpha fruticosa
2913,295161.0,120416.0,40632.0,2964.0,9309.0,3521.5,265877.0,60901.0,93.95299999999999,20316.0,60208.0,35.775999999999996,169.97299999999998,3842776.0,337.0,2.7439999999999998,29.906999999999996,256.0,506.0,0.8270000000000001,0.9009999999999999,608.5,4892774.0,595.0,337.0,2.38,18.057000000000002,648.0,0.42,2617839.0,12.937999999999999,90.96960486322192,46.97601047354961,9.537798743065501,62.3457446808511,42.862376763597204,7.8959321603501,41.740121580547104,35.7964718600687,6.460659531390519,0.13889828266500198,0.19449462514728896,0.3726905991100421,0.637208487270987,0.25802953176793697,0.798253397907574,0.366705405566482,0.17729297718419101,0.605562057568407,Amorpha fruticosa
1835,244149.0,104.0,30851.0,3.3710000000000004,6862.0,2242.0,225859.0,48.336000000000006,77715.0,15.425999999999998,52.0,28.741999999999997,153273.0,2519.9829999999997,297.0,2322.0,32484.0,0.21600000000000003,465.0,818.0,925.0,407.0,3208542.0,0.5720000000000001,297.0,2585.0,126273.0,622.0,387.0,1590851.0,3967.0,104.828824626866,43.4631815082756,10.238594856076,78.8152985074627,38.2751834463663,8.87779806638238,48.710354477611894,33.8661079327082,6.97928036960917,0.126893576494269,0.11816032025628699,0.356221246550888,0.597178803961427,0.23939929838471397,0.7727734493119099,0.42078394790752205,0.162304309556781,0.648678616810761,Amorpha fruticosa
1844,254392.0,103005.0,30576.0,3.3689999999999998,7114.0,2302.0,225048.0,48455.0,80975.0,15288.0,51.501999999999995,32007.0,160375.0,2473572.0,297.0,2.5269999999999997,35095.0,221.0,0.47,0.8009999999999999,885.0,458.0,3149.45,585.0,297.0,2793.0,7489.0,598.0,358.0,1589608.0,12.540999999999999,112.57181571815701,47.954254087014505,10.6099866031092,93.2406504065041,44.9833612961836,9.65611984217802,59.6829268292683,38.4212968004485,7.725472595852519,0.138567278561047,0.121704006764923,0.372246260640785,0.545360183030163,0.24009357242087398,0.738485059449521,0.45189861310377893,0.181360446144626,0.672234046373567,Amorpha fruticosa
1787,223622.0,93814.0,31.56,2.9730000000000003,7108.0,2095.0,210268.0,47.7,71181.0,15.78,46907.0,28.933000000000003,122145.0,2325.41,336.0,2.6180000000000003,27984.0,259.0,508.0,853.0,0.94,308.0,2960805.0,604.0,336.0,2227.0,569.0,0.67,449.0,1563378.0,12206.0,116.704209328783,56.45762983278001,10.8029722451177,92.0887372013652,49.417921792670896,9.59628767812664,54.83276450511949,40.198786305923,7.40491488844534,0.14450173857303303,0.13893030795144298,0.38013384297249,0.616665485808447,0.24015765448378498,0.7852805140893578,0.47078230609649896,0.210200491822457,0.686135778178415,Amorpha fruticosa
2005,242208.0,98509.0,33.47,2943.0,7763.0,2402.5,217.78900000000002,50526.0,77097.0,16735.0,49254.0,30.006999999999998,101507.0,2589524.0,0.34,2978.0,29259.0,263.0,513.0,835.0,899.0,397.5,3297.0840000000003,608.0,0.34,2.3280000000000003,0.9159999999999999,655.0,429.0,1762.7920000000001,5.2620000000000005,91.597293343087,40.2409938378843,9.57064748818423,69.99524506218,39.2306404915771,8.36631609862907,46.585588880760795,35.9736938494981,6.825363644580469,0.14246801213362198,0.161578610061049,0.37744935042151295,0.5818058797161451,0.26506343843854396,0.7627620072579292,0.36984236269489507,0.15418542323809,0.6081466621588051,Amorpha fruticosa
2867,311647.0,119854.0,39834.0,3009.0,10.629000000000001,4002.0,266718.0,60418.0,99.2,19917.0,59927.0,35753.0,221764.0,3749672.0,332.0,2401.0,33876.0,254.0,504.0,716.0,856.0,1135.0,4774.23,601.0,332.0,2696.0,725.0,609.0,371.0,2555353.0,10788.0,91.37583444592791,56.0387152960227,9.559070794064029,68.9038718291055,48.166504225317205,8.30083561029283,45.029372496662205,39.2446440836445,6.7103928720054995,0.16073088786837303,0.191326204043246,0.40091256885806603,0.648987798080564,0.26077911040312396,0.805597789272391,0.37298882169690295,0.207731159403479,0.6107281078326939,Amorpha fruticosa
