@relation FeaturesColour

@attribute MeanIntensityR numeric
@attribute StdDevR numeric
@attribute MeanSqrtR numeric
@attribute MeanIntensityG numeric
@attribute StdDevG numeric
@attribute MeanSqrtG numeric
@attribute MeanIntensityB numeric
@attribute StdDevB numeric
@attribute MeanSqrtB numeric
@attribute MeanIntensityH numeric
@attribute StdDevH numeric
@attribute MeanSqrtH numeric
@attribute MeanIntensityS numeric
@attribute StdDevS numeric
@attribute MeanSqrtS numeric
@attribute MeanIntensityV numeric
@attribute StdDevV numeric
@attribute MeanSqrtV numeric
@attribute label {'Amorpha fruticosa_All.jpg','Anagyris foetida_All.jpg','Anthyllis barba-jovis_All.jpg','Anthyllis cytisoides_All.jpg','Astragalus glycyphyllos_All.jpg','Calicotome villosa_All.jpg','Caragana arborescens_All.jpg','Ceratonia siliqua_All.jpg','Colutea arborescens_All.jpg','Cytisus purgans_All.jpg','Cytisus scoparius_All.jpg','Dorycnium pentaphyllum_All.jpg','Dorycnium rectum_All.jpg','Hedysarum coronarium_All.jpg','Lathyrus aphaca_All.jpg','Lathyrus ochrus_All.jpg','Medicago sativa_All.jpg','Melilotus officinalis_All.jpg','Pisum sativum subsp. elatius_All.jpg','Senna alexandrina_All.jpg','Spartium junceum_All.jpg','Trifolium angustifolium_All.jpg','Vicia faba_All.jpg'}

@data
121.15028,57.271171,11.006829,95.421263,49.626501,9.768381,61.928058,41.751949,7.869438,0.138046,0.134345,0.371545,0.569281,0.24417,0.754507,0.485384,0.214025,0.696695,'Amorpha fruticosa_All.jpg'
93.205479,43.000267,9.654298,72.040548,40.792768,8.48767,49.891507,36.813873,7.063392,0.154937,0.182109,0.39362,0.575744,0.260244,0.758778,0.379818,0.161231,0.616294,'Amorpha fruticosa_All.jpg'
92.340511,46.709043,9.609397,67.283425,40.78853,8.202647,48.657987,35.925938,6.975528,0.146307,0.195202,0.382501,0.575554,0.259012,0.758653,0.373258,0.174766,0.610948,'Amorpha fruticosa_All.jpg'
110.693711,54.847921,10.521108,87.31761,51.245068,9.344389,59.655975,41.723134,7.723728,0.1389,0.162183,0.372692,0.566524,0.255704,0.752678,0.44367,0.207508,0.666086,'Amorpha fruticosa_All.jpg'
90.969605,46.97601,9.537799,62.345745,42.862377,7.895932,41.740122,35.796472,6.46066,0.138898,0.194495,0.372691,0.637208,0.25803,0.798253,0.366705,0.177293,0.605562,'Amorpha fruticosa_All.jpg'
104.828825,43.463182,10.238595,78.815299,38.275183,8.877798,48.710354,33.866108,6.97928,0.126894,0.11816,0.356221,0.597179,0.239399,0.772773,0.420784,0.162304,0.648679,'Amorpha fruticosa_All.jpg'
112.571816,47.954254,10.609987,93.24065,44.983361,9.65612,59.682927,38.421297,7.725473,0.138567,0.121704,0.372246,0.54536,0.240094,0.738485,0.451899,0.18136,0.672234,'Amorpha fruticosa_All.jpg'
116.704209,56.45763,10.802972,92.088737,49.417922,9.596288,54.832765,40.198786,7.404915,0.144502,0.13893,0.380134,0.616665,0.240158,0.785281,0.470782,0.2102,0.686136,'Amorpha fruticosa_All.jpg'
91.597293,40.240994,9.570647,69.995245,39.23064,8.366316,46.585589,35.973694,6.825364,0.142468,0.161579,0.377449,0.581806,0.265063,0.762762,0.369842,0.154185,0.608147,'Amorpha fruticosa_All.jpg'
91.375834,56.038715,9.559071,68.903872,48.166504,8.300836,45.029372,39.244644,6.710393,0.160731,0.191326,0.400913,0.648988,0.260779,0.805598,0.372989,0.207731,0.610728,'Amorpha fruticosa_All.jpg'
