@relation FeaturesGray

@attribute Skewness numeric
@attribute Kurtosis numeric
@attribute 'Intensity sum' numeric
@attribute Uniformity numeric
@attribute Entropy numeric
@attribute 'Smothness R' numeric
@attribute GLCM-Contrast numeric
@attribute GLCM-Correlation numeric
@attribute GLCM-Energy numeric
@attribute GLCM-Homogeneity numeric
@attribute Mean numeric
@attribute Mode numeric
@attribute Min numeric
@attribute Max numeric
@attribute Label {'Amorpha fruticosa','Anagyris foetida','Anthyllis barba-jovis','Anthyllis cytisoides','Astragalus glycyphyllos','Calicotome villosa','Caragana arborescens','Ceratonia siliqua','Colutea arborescens','Cytisus purgans','Cytisus scoparius','Dorycnium pentaphyllum','Dorycnium rectum','Hedysarum coronarium','Lathyrus aphaca','Lathyrus ochrus','Medicago sativa','Melilotus officinalis','Pisum sativum subsp. elatius','Senna alexandrina','Spartium junceum','Trifolium angustifolium','Vicia faba'}

@data
?,?,162860,1,-0,0,49.06,0.62,304,0.819,636,0,85,85,'Amorpha fruticosa'
52.288,2732,232791,0.999,5,0.00012,161368,773,0.26,818,909,0,85,231,'Amorpha fruticosa'
?,?,262055,1,-0,0,156.28,0.73,0.286,792,1023,0,85,85,'Amorpha fruticosa'
23101,534.67,224837,996,24,0.000431,152.473,789,267,816,878,0,85,221,'Amorpha fruticosa'
27441,760393,248152,997,0.018,0.000399,71.37,0.808,242,823,969,0,85,245,'Amorpha fruticosa'
?,?,155975,1,-0,0,171028,0.73,0.274,812,609,0,85,85,'Amorpha fruticosa'
42907,1839001,156854,0.999,0.007,0.000108,151.492,0.766,254,0.814,612,0,85,199,'Amorpha fruticosa'
42.237,1782001,152034,0.999,0.007,0.000166,119546,0.783,302,0.839,593,0,85,224,'Amorpha fruticosa'
26186,690904,170775,997,19,0.000316,224707,0.798,226,775,667,0,85,218,'Amorpha fruticosa'
?,?,243695,1,-0,0,257.78,867,133,769,951,0,85,85,'Amorpha fruticosa'
17.69,319.09,198399,993,43,0.000756,268306,0.881,102,737,774,0,85,229,'Amorpha fruticosa'
?,?,161585,1,-0,0,475151,872,73,0.686,631,0,85,85,'Amorpha fruticosa'
?,?,149600,1,-0,0,386344,893,62,662,584,0,85,85,'Amorpha fruticosa'
39.9,1590001,135703,0.999,8,0.000158,315818,0.886,0.08,701,530,0,85,213,'Amorpha fruticosa'
28314,800586,136609,998,15,0.000347,293163,0.89,81,706,533,0,85,224,'Amorpha fruticosa'
37497,1404001,119928,0.999,8,0.00029,334913,0.886,0.08,0.712,468,0,85,248,'Amorpha fruticosa'
44.811,2006,171073,0.999,6,0.000146,294806,852,0.21,0.78,668,0,85,223,'Amorpha fruticosa'
48.734,2373,202237,0.999,5,7404,208764,887,94,721,789,0,85,192,'Amorpha fruticosa'
53.404,2850,242814,0.999,5,0.000104,322812,0.916,68,693,948,0,85,224,'Amorpha fruticosa'
?,?,189210,1,-0,0,291825,0.881,0.08,0.704,739,0,85,85,'Amorpha fruticosa'
?,?,183260,1,-0,0,312282,894,81,718,715,0,85,85,'Amorpha fruticosa'
54.194,2935,250064,0.999,4,0.000141,425.646,924,0.104,0.694,976,0,85,249,'Amorpha fruticosa'
48.27,2328,198422,0.999,5,9023,358.989,935,0.104,0.707,775,0,85,202,'Amorpha fruticosa'
29796,885913,151664,998,0.014,0.000336,383151,0.93,0.103,0.712,592,0,85,226,'Amorpha fruticosa'
37.483,1403001,119796,0.999,8,0.000147,284212,882,84,706,467,0,85,201,'Amorpha fruticosa'
?,?,200600,1,-0,0,375.387,0.933,0.101,0.7,783,0,85,85,'Amorpha fruticosa'
