Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean,Mode,Min,Max,Label
,,162860,1.0,-0.0,0.0,49.06,0.62,304.0,0.8190000000000001,636.0,0,85,85,Amorpha fruticosa
52.288,2732.0,232791,0.999,5.0,0.0001198,161368.0,773.0,0.26,818.0,909.0,0,85,231,Amorpha fruticosa
,,262055,1.0,-0.0,0.0,156.28,0.73,0.28600000000000003,792.0,1023.0,0,85,85,Amorpha fruticosa
23101.0,534.67,224837,996.0,24.0,0.0004312,152.47299999999996,789.0,267.0,816.0,878.0,0,85,221,Amorpha fruticosa
27441.0,760393.0,248152,997.0,0.018000000000000002,0.00039930000000000006,71.37,0.8079999999999999,242.0,823.0,969.0,0,85,245,Amorpha fruticosa
,,155975,1.0,-0.0,0.0,171028.0,0.73,0.274,812.0,609.0,0,85,85,Amorpha fruticosa
42907.0,1839001.0,156854,0.999,0.006999999999999999,0.0001084,151.49200000000005,0.7659999999999999,254.0,0.8140000000000001,612.0,0,85,199,Amorpha fruticosa
42.237,1782001.0,152034,0.999,0.006999999999999999,0.0001662,119546.0,0.7829999999999999,302.0,0.8390000000000001,593.0,0,85,224,Amorpha fruticosa
26186.0,690904.0,170775,997.0,19.0,0.0003159,224707.0,0.7979999999999999,226.0,775.0,667.0,0,85,218,Amorpha fruticosa
,,243695,1.0,-0.0,0.0,257.78,867.0,133.0,769.0,951.0,0,85,85,Amorpha fruticosa
17.69,319.09,198399,993.0,43.0,0.0007563,268306.0,0.8809999999999999,102.0,737.0,774.0,0,85,229,Amorpha fruticosa
,,161585,1.0,-0.0,0.0,475151.0,872.0,73.0,0.6859999999999999,631.0,0,85,85,Amorpha fruticosa
,,149600,1.0,-0.0,0.0,386344.0,893.0,62.0,662.0,584.0,0,85,85,Amorpha fruticosa
39.9,1590001.0,135703,0.999,8.0,0.0001579,315818.0,0.8859999999999999,0.08,701.0,530.0,0,85,213,Amorpha fruticosa
28314.0,800586.0,136609,998.0,15.0,0.0003469,293163.0,0.89,81.0,706.0,533.0,0,85,224,Amorpha fruticosa
37497.0,1404001.0,119928,0.999,8.0,0.00028989999999999995,334913.0,0.8859999999999999,0.08,0.7120000000000001,468.0,0,85,248,Amorpha fruticosa
44.81100000000001,2006.0,171073,0.999,6.0,0.0001456,294806.0,852.0,0.21,0.78,668.0,0,85,223,Amorpha fruticosa
48.734,2373.0,202237,0.999,5.0,7404.0,208764.0,887.0,94.0,721.0,789.0,0,85,192,Amorpha fruticosa
53.404,2850.0,242814,0.999,5.0,0.0001041,322812.0,0.916,68.0,693.0,948.0,0,85,224,Amorpha fruticosa
,,189210,1.0,-0.0,0.0,291825.0,0.8809999999999999,0.08,0.7040000000000001,739.0,0,85,85,Amorpha fruticosa
,,183260,1.0,-0.0,0.0,312282.0,894.0,81.0,718.0,715.0,0,85,85,Amorpha fruticosa
54.194,2935.0,250064,0.999,4.0,0.00014069999999999998,425.646,924.0,0.104,0.6940000000000001,976.0,0,85,249,Amorpha fruticosa
48.27,2328.0,198422,0.999,5.0,9023.0,358.9890000000001,935.0,0.104,0.7070000000000001,775.0,0,85,202,Amorpha fruticosa
29796.0,885913.0,151664,998.0,0.014,0.00033580000000000003,383151.0,0.93,0.103,0.7120000000000001,592.0,0,85,226,Amorpha fruticosa
37.483,1403001.0,119796,0.999,8.0,0.00014690000000000002,284212.0,882.0,84.0,706.0,467.0,0,85,201,Amorpha fruticosa
,,200600,1.0,-0.0,0.0,375.387,0.933,0.101,0.7,783.0,0,85,85,Amorpha fruticosa
48.374,2338.0,199300,0.999,5.0,0.000138,427204.0,932.0,155.0,0.72,778.0,0,85,230,Amorpha fruticosa
,,135405,1.0,-0.0,0.0,384259.0,0.942,196.0,737.0,528.0,0,85,85,Amorpha fruticosa
21416.0,458.424,116664,996.0,0.026,0.0005537999999999999,333865.0,0.949,0.17800000000000002,731.0,455.0,0,85,222,Amorpha fruticosa
7375.0,53.20399999999999,149047,0.964,0.21,5.0,345754.0,948.0,201.0,752.0,582.0,0,85,250,Amorpha fruticosa
,,139060,1.0,-0.0,0.0,400.237,0.939,0.18600000000000005,741.0,543.0,0,85,85,Amorpha fruticosa
,,116110,1.0,-0.0,0.0,369.638,0.944,193.0,0.7559999999999999,453.0,0,85,85,Amorpha fruticosa
,,164560,1.0,-0.0,0.0,344043.0,907.0,55.0,639.0,642.0,0,85,85,Amorpha fruticosa
,,238595,1.0,-0.0,0.0,380.544,943.0,205.0,0.75,932.0,0,85,85,Amorpha fruticosa
,,214115,1.0,-0.0,0.0,414.87,937.0,0.17800000000000002,728.0,836.0,0,85,85,Amorpha fruticosa
,,190740,1.0,-0.0,0.0,350846.0,0.947,0.234,0.7559999999999999,745.0,0,85,85,Amorpha fruticosa
,,193205,1.0,-0.0,0.0,415751.0,938.0,218.0,735.0,754.0,0,85,85,Amorpha fruticosa
22603.0,510284.0,173854,996.0,24.0,0.0005482,406414.0,0.939,207.0,745.0,679.0,0,85,229,Amorpha fruticosa
45464.0,2065.0,176090,0.999,6.0,0.0001456,424.982,937.0,271.0,0.75,687.0,0,85,225,Amorpha fruticosa
19824.0,397224.0,128546,995.0,32.0,0.0007442,366.56,945.0,228.0,755.0,502.0,0,85,242,Amorpha fruticosa
20895.0,436786.0,184455,995.0,0.029,0.0006697,378301.0,0.942,177.0,732.0,720.0,0,85,233,Amorpha fruticosa
53.861,2899.0,247001,0.999,4.0,0.00013730000000000003,351.25699999999995,945.0,183.0,721.0,964.0,0,85,246,Amorpha fruticosa
,,149940,1.0,-0.0,0.0,412575.0,938.0,0.22,738.0,585.0,0,85,85,Amorpha fruticosa
50695.0,2568.0,218823,0.999,5.0,8322.0,368.646,0.944,237.0,0.7440000000000001,854.0,0,85,203,Amorpha fruticosa
49.68899999999999,2467.0,210232,0.999,5.0,7803.0,375413.0,941.0,192.0,737.0,821.0,0,85,197,Amorpha fruticosa
25.863000000000003,668.5160000000002,170431,997.0,19.0,0.00030710000000000004,341398.0,0.947,201.0,747.0,665.0,0,85,207,Amorpha fruticosa
37.06800000000001,1372001.0,117142,0.999,0.009000000000000001,0.0001051,319147.0,0.949,187.0,0.7609999999999999,457.0,0,85,182,Amorpha fruticosa
41.267,1701001.0,145151,0.999,0.006999999999999999,0.0001792,374365.0,0.94,183.0,0.7559999999999999,566.0,0,85,226,Amorpha fruticosa
,,171615,1.0,-0.0,0.0,362.61800000000005,937.0,0.112,0.7170000000000001,670.0,0,85,85,Amorpha fruticosa
44294.0,1960001.0,167151,0.999,6.0,0.0001242,332719.0,0.944,125.0,0.71,652.0,0,85,211,Amorpha fruticosa
,,131410,1.0,-0.0,0.0,315478.0,935.0,161.0,764.0,513.0,0,85,85,Amorpha fruticosa
,,1317670,1.0,-0.0,0.0,35842.0,0.984,675.0,955.0,5147.0,0,85,85,Anagyris foetida
,,1289620,1.0,-0.0,0.0,38046.0,0.984,672.0,956.0,5037.0,0,85,85,Anagyris foetida
,,737545,1.0,-0.0,0.0,38856.0,0.984,685.0,0.96,2881.0,0,85,85,Anagyris foetida
89.43700000000003,7997.0,680264,1.0,2.0,1698.0,39635.0,983.0,0.69,961.0,2657.0,0,85,179,Anagyris foetida
8235.0,65.88600000000001,691085,972.0,157.0,3.0,41227.0,982.0,0.6920000000000001,0.96,2699.0,0,85,209,Anagyris foetida
,,673625,1.0,-0.0,0.0,44.13,982.0,684.0,0.959,2631.0,0,85,85,Anagyris foetida
61254.0,3750215.0,638410,0.999,4.0,2153.0,40817.0,983.0,695.0,0.962,2493.0,0,85,158,Anagyris foetida
54.209,2940.481,996644,0.999,5.0,6474.0,84764.0,982.0,259.0,0.8690000000000001,3893.0,0,85,201,Anagyris foetida
50287.0,2565.58,820466,0.999,6.0,6034.0,85566.0,983.0,235.0,0.86,3204.0,0,85,198,Anagyris foetida
,,803335,1.0,-0.0,0.0,75954.0,0.984,249.0,868.0,3138.0,0,85,85,Anagyris foetida
,,712980,1.0,-0.0,0.0,76542.0,0.984,237.0,0.8640000000000001,2785.0,0,85,85,Anagyris foetida
13.653,184767.0,709504,0.989,68.0,1.0,90.94,981.0,0.22,853.0,2771.0,0,85,210,Anagyris foetida
89677.0,8040.0,683912,1.0,2.0,1447.0,85.04299999999998,982.0,221.0,856.0,2671.0,0,85,172,Anagyris foetida
,,699805,1.0,-0.0,0.0,80.47,983.0,223.0,858.0,2733.0,0,85,85,Anagyris foetida
41949.0,1764682.0,888840,0.999,8.0,6276.0,169.21,0.964,551.0,888.0,3472.0,0,85,178,Anagyris foetida
,,703545,1.0,-0.0,0.0,167757.0,0.964,0.5660000000000001,0.8909999999999999,2748.0,0,85,85,Anagyris foetida
40062.0,1622162.0,788791,0.999,0.009000000000000001,0.0001261,170.616,963.0,564.0,0.8909999999999999,3081.0,0,85,212,Anagyris foetida
92.347,8526.0,725238,1.0,2.0,1912.0,176638.0,0.962,0.56,0.8859999999999999,2832.0,0,85,188,Anagyris foetida
63.49,4029.536,685703,1.0,4.0,3021.0,179.28799999999995,961.0,564.0,887.0,2678.0,0,85,175,Anagyris foetida
63.483,4078.214,658835,0.999,4.0,2907.0,179878.0,0.96,574.0,889.0,2573.0,0,85,180,Anagyris foetida
,,621265,1.0,-0.0,0.0,179.33900000000003,961.0,0.5720000000000001,889.0,2426.0,0,85,85,Anagyris foetida
,,1165775,1.0,-0.0,0.0,174.89700000000005,0.928,779.0,922.0,4553.0,0,85,85,Anagyris foetida
46.476000000000006,2178312.0,891082,0.999,0.006999999999999999,8557.0,172.08,927.0,785.0,924.0,3480.0,0,85,207,Anagyris foetida
,,758965,1.0,-0.0,0.0,182.56,0.923,0.7829999999999999,924.0,2964.0,0,85,85,Anagyris foetida
,,724540,1.0,-0.0,0.0,176.18900000000005,0.923,792.0,927.0,2830.0,0,85,85,Anagyris foetida
36.38,1335.6760000000004,756794,998.0,0.011,0.00012969999999999998,176149.0,924.0,789.0,0.926,2956.0,0,85,199,Anagyris foetida
,,694450,1.0,-0.0,0.0,175428.0,0.923,0.7909999999999999,0.926,2712.0,0,85,85,Anagyris foetida
,,663425,1.0,-0.0,0.0,173.78,0.926,785.0,0.923,2591.0,0,85,85,Anagyris foetida
,,720715,1.0,-0.0,0.0,191.241,951.0,643.0,897.0,2815.0,0,85,85,Anagyris foetida
39787.0,1581001.0,134940,0.999,8.0,0.00016380000000000002,44395.0,0.8109999999999999,401.0,0.8290000000000001,527.0,0,85,215,Anthyllis barba-jovis
39319.0,1544001.0,131794,0.999,8.0,0.0001652,65413.0,807.0,405.0,835.0,514.0,0,85,214,Anthyllis barba-jovis
10725.0,113738.0,89808,983.0,0.097,3.0,124949.0,0.7609999999999999,0.41,836.0,350.0,0,85,239,Anthyllis barba-jovis
32542.0,1057001.0,90401,998.0,0.011,0.0002484,108875.0,732.0,386.0,825.0,353.0,0,85,216,Anthyllis barba-jovis
,,73270,1.0,-0.0,0.0,109829.0,0.7809999999999999,392.0,831.0,286.0,0,85,85,Anthyllis barba-jovis
,,57630,1.0,-0.0,0.0,115665.0,0.7929999999999999,0.443,841.0,225.0,0,85,85,Anthyllis barba-jovis
25.71,659002.0,56557,997.0,16.0,0.00031689999999999995,145.71200000000005,799.0,0.416,0.8370000000000001,220.0,0,85,202,Anthyllis barba-jovis
,,61030,1.0,-0.0,0.0,150607.0,742.0,0.42,818.0,238.0,0,85,85,Anthyllis barba-jovis
25.179,632002.0,54265,997.0,17.0,0.0003475,190.121,0.7340000000000001,408.0,838.0,211.0,0,85,205,Anthyllis barba-jovis
35.581,1264001.0,107983,998.0,0.009000000000000001,0.00016869999999999998,301.8590000000001,863.0,382.0,841.0,421.0,0,85,203,Anthyllis barba-jovis
22.24,492.692,127186,996.0,24.0,0.0004595,309652.0,898.0,344.0,0.8270000000000001,496.0,0,85,209,Anthyllis barba-jovis
22884.0,522216.0,89527,996.0,0.022,0.0005616000000000001,321222.0,889.0,317.0,0.8170000000000001,349.0,0,85,228,Anthyllis barba-jovis
,,69105,1.0,-0.0,0.0,377.25,877.0,311.0,0.81,269.0,0,85,85,Anthyllis barba-jovis
26.458,698.0010000000002,59914,997.0,16.0,0.0005527,300438.0,884.0,298.0,802.0,234.0,0,85,244,Anthyllis barba-jovis
9218.0,83191.0,60343,977.0,122.0,3.0,304334.0,894.0,0.34700000000000003,0.8270000000000001,235.0,0,85,218,Anthyllis barba-jovis
23979.0,573002.0,49271,997.0,0.018000000000000002,0.0005287000000000001,149827.0,0.95,344.0,0.8420000000000001,192.0,0,85,226,Anthyllis barba-jovis
,,49810,1.0,-0.0,0.0,223192.0,917.0,0.35100000000000003,0.8440000000000001,194.0,0,85,85,Anthyllis barba-jovis
25476.0,647002.0,55562,997.0,17.0,0.00047539999999999995,328.47,0.901,327.0,0.8220000000000001,217.0,0,85,227,Anthyllis barba-jovis
,,98005,1.0,-0.0,0.0,307.62,902.0,321.0,821.0,382.0,0,85,85,Anthyllis barba-jovis
11.576,132764.0,138920,985.0,87.0,2.0,370972.0,0.906,0.19,0.8,542.0,0,85,246,Anthyllis barba-jovis
22.673,514385.0,86979,996.0,0.022,0.0005886,295457.0,0.9,348.0,831.0,339.0,0,85,234,Anthyllis barba-jovis
21518.0,464879.0,116301,996.0,0.026,0.0004927999999999999,419.169,895.0,0.1,0.72,454.0,0,85,220,Anthyllis barba-jovis
5836.0,32118.0,101731,946.0,289.0,0.009000000000000001,437733.0,0.908,96.0,0.7290000000000001,397.0,0,85,248,Anthyllis barba-jovis
20881.0,436798.0,73455,995.0,0.026,0.0006542000000000001,526572.0,887.0,63.0,0.63,286.0,0,85,231,Anthyllis barba-jovis
21193.0,447.18,77143,996.0,25.0,0.0007795,379.882,0.926,81.0,655.0,301.0,0,85,238,Anthyllis barba-jovis
6439.0,39576.0,70160,955.0,231.0,0.006999999999999999,399912.0,915.0,68.0,636.0,274.0,0,85,242,Anthyllis barba-jovis
12454.0,153119.0,40751,987.0,65.0,2.0,425895.0,912.0,66.0,608.0,159.0,0,85,241,Anthyllis barba-jovis
19.821,391.266,101029,995.0,0.03,0.0006542999999999999,456194.0,895.0,69.0,669.0,394.0,0,85,220,Anthyllis barba-jovis
25377.0,645107.0,108644,997.0,0.018000000000000002,0.00043799999999999997,399655.0,917.0,69.0,634.0,424.0,0,85,229,Anthyllis barba-jovis
21845.0,476783.0,81130,996.0,24.0,0.0007047,279165.0,0.911,324.0,831.0,316.0,0,85,241,Anthyllis barba-jovis
35707.0,1273001.0,108785,998.0,0.009000000000000001,0.00028900000000000003,556518.0,0.901,0.09,643.0,424.0,0,85,240,Anthyllis barba-jovis
20271.0,409941.0,105140,995.0,0.029,0.0007342000000000001,760568.0,885.0,0.181,0.68,410.0,0,85,232,Anthyllis barba-jovis
