@relation FeaturesGray_RGB

@attribute Mean numeric
@attribute Min numeric
@attribute Max numeric
@attribute Mode numeric
@attribute StD numeric
@attribute Skewness numeric
@attribute Kurtosis numeric
@attribute IntensitySum numeric
@attribute Uniformity numeric
@attribute Entropy numeric
@attribute SmothnessR numeric
@attribute GLCM_Contrast numeric
@attribute GLCM_Correlation numeric
@attribute GLCM_Energy numeric
@attribute GLCM_Homogeneity numeric
@attribute MeanIntensityR numeric
@attribute StdDevR numeric
@attribute MeanSqrtR numeric
@attribute MeanIntensityG numeric
@attribute StdDevG numeric
@attribute MeanSqrtG numeric
@attribute MeanIntensityB numeric
@attribute StdDevB numeric
@attribute MeanSqrtB numeric
@attribute MeanIntensityH numeric
@attribute StdDevH numeric
@attribute MeanSqrtH numeric
@attribute MeanIntensityS numeric
@attribute StdDevS numeric
@attribute MeanSqrtS numeric
@attribute MeanIntensityV numeric
@attribute StdDevV numeric
@attribute MeanSqrtV numeric
@attribute Label {'Amorpha fruticosa','Anagyris foetida','Anthyllis barba-jovis','Anthyllis cytisoides','Astragalus glycyphyllos','Calicotome villosa','Caragana arborescens','Ceratonia siliqua','Colutea arborescens','Cytisus purgans','Cytisus scoparius','Dorycnium pentaphyllum','Dorycnium rectum','Hedysarum coronarium','Lathyrus aphaca','Lathyrus ochrus','Medicago sativa','Melilotus officinalis','Pisum sativum subsp. elatius','Senna alexandrina','Spartium junceum','Trifolium angustifolium','Vicia faba'}

@data
99.303757,0,226,112,0,52.288,2732,162860,1,-0,0,49.06,0.62,304,0.819,121.15028,57.271171,11.006829,95.421263,49.626501,9.768381,61.928058,41.751949,7.869438,0.138046,0.134345,0.371545,0.569281,0.24417,0.754507,0.485384,0.214025,0.696695,'Amorpha fruticosa'
75.850959,1,175,114,2.791,52.288,2732,232791,0.999,5,0.00012,161368,773,0.26,818,93.205479,43.000267,9.654298,72.040548,40.792768,8.48767,49.891507,36.813873,7.063392,0.154937,0.182109,0.39362,0.575744,0.260244,0.758778,0.379818,0.161231,0.616294,'Amorpha fruticosa'
72.655483,0,223,15,0,23101,534.67,262055,1,-0,0,156.28,0.73,0.286,792,92.340511,46.709043,9.609397,67.283425,40.78853,8.202647,48.657987,35.925938,6.975528,0.146307,0.195202,0.382501,0.575554,0.259012,0.758653,0.373258,0.174766,0.610948,'Amorpha fruticosa'
91.157862,1,238,125,5296,23101,534.67,224837,996,24,0.000431,152.473,789,267,816,110.693711,54.847921,10.521108,87.31761,51.245068,9.344389,59.655975,41.723134,7.723728,0.1389,0.162183,0.372692,0.566524,0.255704,0.752678,0.44367,0.207508,0.666086,'Amorpha fruticosa'
68.558511,0,237,10,5.097,27441,760393,248152,997,0.018,0.000399,71.37,0.808,242,823,90.969605,46.97601,9.537799,62.345745,42.862377,7.895932,41.740122,35.796472,6.46066,0.138898,0.194495,0.372691,0.637208,0.25803,0.798253,0.366705,0.177293,0.605562,'Amorpha fruticosa'
83.167444,1,196,91,0,42907,1839001,155975,1,-0,0,171028,0.73,0.274,812,104.828825,43.463182,10.238595,78.815299,38.275183,8.877798,48.710354,33.866108,6.97928,0.126894,0.11816,0.356221,0.597179,0.239399,0.772773,0.420784,0.162304,0.648679,'Amorpha fruticosa'
95.19458,1,209,92,2655,42907,1839001,156854,0.999,0.007,0.000108,151.492,0.766,254,0.814,112.571816,47.954254,10.609987,93.24065,44.983361,9.65612,59.682927,38.421297,7.725473,0.138567,0.121704,0.372246,0.54536,0.240094,0.738485,0.451899,0.18136,0.672234,'Amorpha fruticosa'
95.205347,0,213,145,3.288,42.237,1782001,152034,0.999,0.007,0.000166,119546,0.783,302,0.839,116.704209,56.45763,10.802972,92.088737,49.417922,9.596288,54.832765,40.198786,7.404915,0.144502,0.13893,0.380134,0.616665,0.240158,0.785281,0.470782,0.2102,0.686136,'Amorpha fruticosa'
73.790051,0,204,73,4533,26186,690904,170775,997,19,0.000316,224707,0.798,226,775,91.597293,40.240994,9.570647,69.995245,39.23064,8.366316,46.585589,35.973694,6.825364,0.142468,0.161579,0.377449,0.581806,0.265063,0.762762,0.369842,0.154185,0.608147,'Amorpha fruticosa'
72.902537,0,196,9,0,17.69,319.09,243695,1,-0,0,257.78,867,133,769,91.375834,56.038715,9.559071,68.903872,48.166504,8.300836,45.029372,39.244644,6.710393,0.160731,0.191326,0.400913,0.648988,0.260779,0.805598,0.372989,0.207731,0.610728,'Amorpha fruticosa'
