 ,Area,Mean,Mode,Min,Max,Median,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,54117,18048,0,85,214,0,Asteraceae,1579.173,457.683,173.977,2.631,42.838,61595.500,1049.043,262.496,502.666,86.989,228.842,148.942,1819.489,62538.547,0.380,3.492,46.081,0.329,0.574,0.879,0.664,7478.500,79626.552,0.680,0.380,3.667,0.107,0.522,0.273,52537.827,77.440,6.400,17.029,289.683,4620333,0.993,0.051,6.295E-4,37.592,0.941,0.885,0.980,254.738,15.961,4.502,0.693,0.833,11.755,0.699,0.836,11.857,85.377,0.433,7.474,254.219,13.254,254.820,3.087
2,69921,23251,0,85,230,0,Asteraceae,1494.653,458.416,252.927,1.812,56.600,81513.500,1108.668,298.373,475.763,126.464,229.208,158.339,1179.765,91063.566,0.552,4.610,31.950,0.424,0.651,0.858,0.742,11592.500,115945.733,0.603,0.552,2.543,0.109,0.627,0.393,68426.347,30.663,3.952,30.681,947.534,5952361,0.998,0.018,2.402E-4,39.657,0.947,0.852,0.974,254.951,15.967,1.648,0.224,0.473,6.792,0.215,0.464,6.534,85.130,0.078,3.126,254.747,7.678,254.956,1.466
3,75627,25128,0,85,228,0,Asteraceae,1261.283,408.803,253.000,1.616,62.392,80129.000,1102.561,310.308,401.479,126.500,204.402,166.534,1140.118,81231.527,0.619,4.932,21.035,0.576,0.759,0.944,0.874,4502.000,103427.192,0.731,0.619,1.674,0.102,0.773,0.597,74365.717,129.630,2.785,46.857,2204.075,6432813,0.999,0.008,1.193E-4,39.904,0.939,0.867,0.976,254.989,15.968,0.682,0.099,0.315,4.614,0.091,0.301,4.220,85.060,0.021,1.529,254.901,4.622,254.990,0.610
4,62398,20856,0,85,250,0,Asteraceae,1166.663,376.889,239.651,1.573,55.939,66234.000,962.766,281.865,371.360,119.825,188.444,144.422,467.127,70938.493,0.636,6.682,21.813,0.559,0.748,0.942,0.825,3836.000,90321.695,0.691,0.636,1.736,6.146,0.759,0.576,61231.337,12.675,8.839,15.600,242.175,5339164,0.992,0.058,0.001,41.034,0.939,0.862,0.975,254.967,15.968,0.948,0.926,0.962,14.434,0.806,0.898,12.565,85.566,0.112,2.111,254.167,13.005,254.969,0.890
5,40779,13571,0,85,227,0,Asteraceae,1491.883,352.755,247.877,1.423,51.013,56533.500,922.670,227.863,474.881,123.938,176.377,121.185,766.101,68674.948,0.703,4.378,54.580,0.417,0.646,0.721,0.618,15754.500,87439.659,0.466,0.703,4.343,0.084,0.480,0.230,39287.117,53.494,4.934,25.182,640.490,3474311,0.997,0.026,3.743E-4,41.891,0.937,0.861,0.975,254.927,15.966,2.290,0.344,0.586,8.494,0.325,0.570,8.024,85.199,0.132,3.949,254.648,8.699,254.948,1.609
6,46007,15389,0,85,253,0,Asteraceae,1045.651,317.800,198.458,1.601,49.724,49644.000,827.654,242.029,332.841,99.229,158.900,121.748,393.370,49535.138,0.624,6.138,23.766,0.580,0.762,0.927,0.792,3637.000,63070.096,0.729,0.624,1.891,0.138,0.727,0.529,44961.349,21.609,9.277,14.657,213.707,3939705,0.991,0.065,0.001,37.121,0.942,0.876,0.979,254.941,15.967,1.437,1.040,1.020,15.221,0.918,0.958,13.442,85.633,0.155,3.125,254.038,14.116,254.946,1.245
7,30409,10135,0,85,243,0,Asteraceae,1023.911,319.658,159.438,2.005,34.408,34553.500,743.170,196.769,325.921,79.719,159.829,103.888,690.351,40028.311,0.499,3.954,34.476,0.379,0.616,0.880,0.726,4144.500,50965.629,0.597,0.499,2.744,0.045,0.604,0.364,29385.089,21.422,6.363,19.703,391.494,2594695,0.995,0.041,6.223E-4,35.438,0.941,0.873,0.978,254.896,15.965,2.413,0.554,0.744,10.747,0.529,0.728,10.257,85.327,0.169,4.470,254.388,11.887,254.906,2.162
8,27676,9212,0,85,252,0,Asteraceae,1053.325,266.852,171.232,1.558,39.784,33352.500,679.482,187.718,335.284,85.616,133.426,96.428,278.265,35887.602,0.642,5.781,40.089,0.495,0.703,0.830,0.645,5676.500,45693.514,0.606,0.642,3.190,4.782,0.560,0.313,26622.675,8.928,5.094,23.832,573.234,2358430,0.996,0.027,3.990E-4,29.412,0.944,0.897,0.983,254.918,15.966,2.011,0.370,0.608,8.707,0.359,0.599,8.449,85.216,0.063,1.900,254.565,10.224,254.920,1.959
9,30767,10261,0,85,241,0,Asteraceae,872.354,284.318,158.476,1.794,36.997,33046.000,712.953,197.924,277.679,79.238,142.159,102.609,725.472,35388.245,0.557,3.810,24.734,0.485,0.696,0.931,0.817,2279.000,45057.713,0.683,0.557,1.968,0.133,0.713,0.508,29894.646,57.123,6.854,18.043,326.357,2626945,0.994,0.046,7.220E-4,35.914,0.945,0.874,0.980,254.870,15.965,2.496,0.649,0.805,11.610,0.627,0.792,11.231,85.382,0.178,4.706,254.270,13.068,254.880,2.258
10,29320,9757,0,85,216,0,Asteraceae,1016.070,273.856,172.129,1.591,41.150,35403.500,697.274,193.213,323.425,86.065,136.928,99.695,290.219,37022.566,0.629,5.852,35.211,0.498,0.706,0.828,0.686,6083.500,47138.595,0.622,0.629,2.802,2.801,0.597,0.357,28303.930,61.886,4.594,23.479,553.297,2497966,0.996,0.027,3.244E-4,39.293,0.942,0.881,0.981,254.871,15.965,3.053,0.359,0.599,8.362,0.360,0.600,8.381,85.197,0.202,5.115,254.568,10.074,254.897,2.440
