 ,Area,Mean,Mode,Min,Max,Median,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,76134,67,0,0,239,0,Brassicaceae,1425.606,447.913,236.884,1.891,55.562,78184.500,1087.331,311.347,453.785,118.442,223.956,162.488,1190.155,83333.445,0.529,4.710,26.694,0.483,0.695,0.974,0.763,2050.500,106103.437,0.718,0.529,2.124,0.058,0.686,0.471,74708.394,21.469,6.976,30.694,941.923,17318,0.998,0.017,7.479E-4,352.048,0.970,0.500,0.940,0.205,0.453,6.311,0.236,0.485,7.229,0.241,0.491,7.397,0.227,0.140,4.307,0.040,1.325,0.242,7.420
2,115111,911,0,0,253,0,Brassicaceae,1462.403,441.553,327.919,1.347,84.922,117802.500,1250.368,382.837,465.497,163.960,220.776,194.544,403.048,113720.641,0.743,9.690,18.579,0.752,0.867,0.977,0.855,2691.500,144793.618,0.795,0.743,1.478,0.003,0.822,0.676,113648.597,43.512,21.887,10.711,112.806,233371,0.983,0.110,0.007,392.168,0.974,0.420,0.935,2.123,1.457,22.919,2.039,1.428,22.015,1.921,1.386,20.740,2.027,0.254,3.739,0.210,2.364,2.126,22.955
3,113276,346,0,0,249,0,Brassicaceae,1727.062,441.662,323.355,1.366,84.345,117030.500,1247.723,379.773,549.741,161.678,220.831,192.463,452.840,112165.491,0.732,9.044,26.332,0.739,0.860,0.968,0.722,3754.500,142813.539,0.793,0.732,2.095,0.879,0.691,0.477,111548.938,31.162,13.391,17.101,291.297,88667,0.993,0.051,0.003,401.763,0.973,0.424,0.935,0.796,0.892,13.697,0.790,0.889,13.515,0.762,0.873,13.012,0.783,0.199,4.677,0.104,1.896,0.829,14.181
4,106473,43,0,0,244,0,Brassicaceae,1529.021,429.348,321.758,1.334,80.875,109087.000,1193.302,368.192,486.702,160.879,214.674,185.260,340.945,108499.900,0.749,10.033,21.958,0.735,0.858,0.976,0.780,2614.000,138146.364,0.771,0.749,1.747,0.247,0.757,0.572,104943.979,12.826,4.717,44.985,2027.832,11193,0.999,0.009,3.421E-4,406.901,0.972,0.431,0.936,0.094,0.306,4.236,0.109,0.331,4.911,0.112,0.335,5.021,0.105,0.063,2.886,0.022,1.053,0.113,5.071
5,95149,227,0,0,249,0,Brassicaceae,1560.393,405.346,306.082,1.324,77.237,98356.000,1132.749,348.062,496.689,153.041,202.673,174.243,313.537,97443.469,0.755,9.840,25.590,0.737,0.859,0.967,0.726,3207.000,124068.879,0.767,0.755,2.036,0.141,0.701,0.491,93588.607,20.986,11.853,19.422,376.500,58124,0.995,0.040,0.002,399.553,0.973,0.425,0.935,0.616,0.785,12.020,0.625,0.790,12.117,0.592,0.770,11.476,0.611,0.177,4.294,0.083,1.705,0.645,12.510
6,94460,75,0,0,239,0,Brassicaceae,1600.317,384.267,326.617,1.177,81.117,97925.500,1119.042,346.800,509.397,163.309,192.133,173.610,119.360,98573.908,0.850,15.891,27.112,0.815,0.902,0.965,0.699,3465.500,125508.198,0.753,0.850,2.158,0.001,0.681,0.463,92859.683,11.318,6.659,32.471,1055.074,19401,0.998,0.016,6.814E-4,394.231,0.974,0.419,0.934,0.193,0.439,6.297,0.211,0.459,6.841,0.212,0.461,6.872,0.205,0.111,3.833,0.031,1.113,0.217,7.028
7,89004,71,0,0,246,0,Brassicaceae,1525.388,386.430,315.069,1.226,75.093,91163.500,1087.655,336.635,485.546,157.535,193.215,168.256,122.006,95623.906,0.815,15.233,26.143,0.759,0.871,0.976,0.713,2159.500,121752.139,0.731,0.815,2.080,1.169,0.693,0.481,87478.612,12.303,6.690,32.476,1056.337,18378,0.998,0.016,6.877E-4,402.164,0.973,0.416,0.935,0.190,0.436,6.186,0.213,0.462,6.897,0.217,0.466,7.016,0.206,0.114,3.877,0.038,1.311,0.221,7.144
8,101403,75,0,0,241,0,Brassicaceae,1605.246,454.146,300.925,1.509,77.436,110481.500,1191.575,359.319,510.966,150.462,227.073,183.041,553.696,107335.643,0.663,7.779,25.412,0.626,0.791,0.918,0.742,9078.500,136663.985,0.742,0.663,2.022,0.120,0.703,0.495,99797.754,20.460,6.356,33.245,1105.379,19405,0.998,0.015,6.209E-4,452.876,0.974,0.492,0.948,0.173,0.415,5.748,0.199,0.446,6.594,0.203,0.451,6.739,0.191,0.117,3.924,0.035,1.237,0.203,6.756
9,103086,123,0,0,247,0,Brassicaceae,1704.667,456.098,286.000,1.595,84.897,121647.000,1206.046,362.289,542.612,143.000,228.049,183.473,830.345,102450.405,0.627,6.367,28.189,0.631,0.794,0.847,0.707,18561.000,130443.907,0.790,0.627,2.243,8.033,0.668,0.446,101381.333,43.138,8.163,26.644,710.273,31641,0.997,0.023,0.001,453.115,0.975,0.471,0.947,0.288,0.537,7.714,0.314,0.560,8.349,0.318,0.564,8.459,0.307,0.161,4.649,0.048,1.407,0.325,8.647
10,89101,90,0,0,249,0,Brassicaceae,1587.790,450.620,256.000,1.760,75.236,106509.000,1147.584,336.819,505.409,128.000,225.310,173.226,1089.458,90602.441,0.568,5.248,28.295,0.559,0.747,0.837,0.723,17408.000,115358.611,0.772,0.568,2.252,0.030,0.666,0.444,87513.210,39.813,7.499,28.886,836.740,23220,0.998,0.020,8.641E-4,471.477,0.975,0.434,0.943,0.245,0.495,7.124,0.266,0.515,7.630,0.272,0.521,7.804,0.261,0.128,4.237,0.051,1.560,0.281,8.088
