 ,Area,Mean,Mode,Min,Max,Median,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,5626,15,0,0,247,0,Plantaginaceae,359.973,112.058,70.223,1.596,17.164,6042.500,290.319,84.636,114.583,35.111,56.029,43.894,54.015,6180.297,0.627,5.972,23.032,0.570,0.755,0.931,0.807,416.500,7868.998,0.715,0.627,1.833,0.049,0.739,0.546,5266.027,10.348,12.556,18.186,329.649,3883,0.994,0.042,0.002,1659.089,0.873,0.223,0.781,0.704,0.839,12.858,0.698,0.836,12.697,0.668,0.817,12.138,0.690,0.163,3.992,0.084,1.593,0.727,13.225
2,9634,5,0,0,225,0,Plantaginaceae,458.056,146.185,95.723,1.527,22.103,10151.000,378.218,110.754,145.804,47.861,73.092,56.361,77.867,10990.232,0.655,6.387,21.779,0.574,0.758,0.949,0.826,517.000,13993.198,0.688,0.655,1.733,0.177,0.760,0.577,9175.944,14.688,5.358,40.169,1614.929,1287,0.999,0.009,4.413E-4,1305.335,0.926,0.270,0.846,0.120,0.347,4.851,0.138,0.371,5.533,0.142,0.377,5.701,0.134,0.084,3.416,0.024,1.152,0.143,5.717
3,7441,8,0,0,231,0,Plantaginaceae,425.227,136.029,77.767,1.749,19.116,8169.000,344.555,97.335,135.354,38.883,68.015,49.921,117.581,8308.391,0.572,4.604,24.300,0.512,0.716,0.911,0.810,728.000,10578.572,0.703,0.572,1.934,0.278,0.719,0.517,7015.773,14.178,8.049,26.068,679.595,2301,0.997,0.021,9.954E-4,1598.832,0.891,0.246,0.808,0.275,0.524,7.165,0.320,0.566,8.334,0.332,0.576,8.641,0.309,0.201,5.240,0.065,1.746,0.332,8.641
4,6414,52,0,0,252,0,Plantaginaceae,385.286,114.390,70.465,1.623,19.120,6871.000,313.445,90.369,122.640,35.233,57.195,46.993,67.117,6330.678,0.616,5.736,23.144,0.624,0.790,0.933,0.814,457.000,8060.470,0.796,0.616,1.842,0.299,0.737,0.543,6028.714,7.217,21.609,10.250,103.440,13443,0.981,0.123,0.007,1530.179,0.890,0.228,0.793,2.106,1.451,21.803,2.099,1.449,21.636,2.082,1.443,21.446,2.096,0.648,9.948,0.199,2.392,2.185,22.519
5,6058,3,0,0,226,0,Plantaginaceae,353.588,111.973,77.000,1.454,18.304,6439.000,296.990,87.825,112.551,38.500,55.987,45.010,49.170,6771.654,0.688,6.419,20.638,0.615,0.784,0.941,0.840,381.000,8621.937,0.703,0.688,1.642,8.496,0.780,0.609,5704.412,20.168,5.457,38.965,1518.655,849,0.999,0.009,4.577E-4,1567.834,0.896,0.231,0.804,0.125,0.354,4.871,0.146,0.382,5.689,0.149,0.386,5.807,0.140,0.087,3.391,0.026,1.051,0.149,5.807
6,7970,111,0,0,252,0,Plantaginaceae,537.193,127.941,86.451,1.480,21.961,8827.000,352.707,100.736,170.994,43.226,63.971,50.964,94.234,8687.045,0.676,5.250,36.208,0.620,0.787,0.903,0.657,857.000,11060.689,0.721,0.676,2.881,0.277,0.589,0.347,7432.807,16.009,27.970,7.673,57.076,28660,0.968,0.206,0.012,1485.786,0.905,0.241,0.814,3.545,1.883,27.656,3.607,1.899,28.056,3.638,1.907,28.282,3.597,1.858,17.153,0.322,2.944,3.735,29.050
7,5261,28,0,0,252,0,Plantaginaceae,410.441,108.240,64.000,1.691,16.634,5656.500,285.323,81.844,130.647,32.000,54.120,41.970,63.374,5440.760,0.591,5.272,32.021,0.572,0.756,0.930,0.695,395.500,6927.390,0.759,0.591,2.548,0.076,0.626,0.392,4850.559,16.246,17.336,12.372,151.544,7345,0.987,0.084,0.005,1696.048,0.874,0.223,0.787,1.329,1.153,16.550,1.413,1.189,17.543,1.444,1.202,17.926,1.396,0.849,11.040,0.153,2.106,1.456,18.074
8,7980,4,0,0,225,0,Plantaginaceae,391.428,113.217,91.000,1.244,23.572,8384.000,329.287,100.799,124.596,45.500,56.608,50.459,19.734,8091.730,0.804,11.359,19.200,0.793,0.890,0.952,0.841,404.000,10302.711,0.775,0.804,1.528,0.037,0.809,0.654,7588.572,13.940,5.315,40.015,1601.936,1061,0.999,0.009,4.342E-4,1132.327,0.943,0.317,0.873,0.127,0.356,5.079,0.136,0.369,5.437,0.136,0.369,5.449,0.133,0.065,2.838,0.017,0.741,0.139,5.571
9,7907,12,0,0,227,0,Plantaginaceae,437.370,116.812,92.385,1.264,22.853,8386.500,329.135,100.337,139.219,46.192,58.406,50.882,18.903,8475.714,0.791,11.703,24.193,0.738,0.859,0.943,0.753,479.500,10791.615,0.733,0.791,1.925,0.932,0.721,0.519,7469.630,5.018,9.237,22.934,524.616,3182,0.996,0.026,0.001,1097.569,0.944,0.330,0.876,0.377,0.614,8.660,0.414,0.644,9.514,0.417,0.646,9.565,0.403,0.227,5.387,0.052,1.338,0.422,9.680
10,6069,6,0,0,239,0,Plantaginaceae,389.186,117.784,74.000,1.592,18.763,6943.000,303.827,87.905,123.882,37.000,58.892,44.488,61.133,6845.526,0.628,5.690,24.957,0.557,0.746,0.874,0.781,874.000,8715.994,0.696,0.628,1.986,0.019,0.710,0.504,5679.814,4.972,7.837,27.579,760.391,1726,0.997,0.018,9.436E-4,1078.761,0.945,0.320,0.882,0.259,0.509,7.136,0.293,0.541,8.069,0.302,0.549,8.319,0.285,0.181,4.976,0.047,1.339,0.302,8.319
11,10285,19,0,0,249,0,Plantaginaceae,535.193,129.375,106.805,1.211,31.048,12619.500,380.320,114.435,170.357,53.403,64.688,57.594,32.456,10852.593,0.826,10.110,27.849,0.782,0.885,0.815,0.711,2334.500,13817.951,0.744,0.826,2.216,0.148,0.672,0.451,9749.807,10.954,10.125,21.192,448.911,4921,0.996,0.032,0.002,1108.803,0.943,0.362,0.880,0.453,0.673,9.611,0.486,0.697,10.277,0.496,0.705,10.502,0.478,0.295,6.571,0.055,1.350,0.499,10.555
12,8237,4,0,0,220,0,Plantaginaceae,401.186,119.541,89.024,1.343,27.560,10350.000,335.888,102.409,127.701,44.512,59.770,51.286,33.811,8358.213,0.745,8.820,19.540,0.734,0.857,0.796,0.837,2113.000,10642.007,0.774,0.745,1.555,0.088,0.802,0.643,7835.814,10.619,5.223,40.582,1645.795,1060,0.999,0.009,4.194E-4,1158.592,0.941,0.317,0.865,0.121,0.348,4.916,0.131,0.362,5.321,0.134,0.366,5.430,0.129,0.095,3.977,0.016,0.707,0.134,5.450
13,3654,10,0,0,255,0,Plantaginaceae,321.404,110.291,42.000,2.626,12.480,4324.000,259.729,68.209,102.306,21.000,55.145,39.183,124.924,3638.123,0.381,3.506,28.271,0.382,0.618,0.845,0.808,670.000,4632.202,0.789,0.381,2.250,1.445,0.667,0.445,3332.596,16.956,13.336,17.524,306.892,2788,0.993,0.043,0.003,1258.478,0.931,0.275,0.851,0.756,0.869,13.260,0.765,0.874,13.354,0.769,0.877,13.422,0.763,0.423,8.751,0.054,1.210,0.787,13.736
14,6456,9,0,0,227,0,Plantaginaceae,404.357,129.074,75.758,1.704,20.445,8290.500,321.421,90.664,128.711,37.879,64.537,47.444,83.230,7679.902,0.587,5.200,25.326,0.493,0.702,0.779,0.795,1834.500,9778.354,0.660,0.587,2.015,0.331,0.704,0.496,6051.643,11.630,8.778,24.226,585.926,2339,0.997,0.024,0.001,1183.718,0.940,0.330,0.878,0.338,0.581,8.190,0.370,0.608,8.963,0.380,0.616,9.207,0.363,0.239,5.799,0.047,1.282,0.380,9.207
15,3973,20,0,0,248,0,Plantaginaceae,298.919,110.041,47.000,2.341,12.398,4286.000,261.590,71.124,95.149,23.500,55.020,37.842,120.108,4062.018,0.427,3.453,22.490,0.418,0.646,0.927,0.875,313.000,5171.922,0.768,0.427,1.790,0.062,0.747,0.559,3674.081,11.536,17.747,13.068,169.078,5374,0.988,0.072,0.005,972.370,0.950,0.334,0.894,1.412,1.188,18.596,1.367,1.169,17.935,1.279,1.131,16.774,1.353,0.220,4.064,0.204,2.761,1.446,18.960
16,3566,24,0,0,248,0,Plantaginaceae,294.635,111.018,41.000,2.708,11.151,3889.000,259.239,67.382,93.785,20.500,55.509,39.733,125.244,3574.927,0.369,3.550,24.344,0.368,0.607,0.917,0.880,323.000,4551.739,0.783,0.369,1.937,0.081,0.718,0.516,3271.365,8.644,20.510,11.404,128.320,6379,0.985,0.095,0.006,1110.888,0.943,0.319,0.881,1.867,1.366,21.462,1.799,1.341,20.624,1.700,1.304,19.479,1.789,0.228,3.648,0.223,2.686,1.893,21.695
