 ,Area,Mean,Mode,Min,Max,Median,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,156754,51,0,0,254,0,Solanaceae,1676.334,479.851,431.000,1.113,106.177,160061.000,1432.626,446.750,533.594,215.500,239.926,224.427,109.819,162432.741,0.898,21.416,17.927,0.867,0.931,0.979,0.855,3307.000,206815.789,0.758,0.898,1.427,0.001,0.837,0.701,155077.666,20.297,4.414,52.361,2753.214,13277,0.999,0.007,2.995E-4,372.888,0.981,0.402,0.952,0.080,0.283,4.230,0.087,0.295,4.523,0.087,0.295,4.517,0.085,0.037,2.210,0.012,0.783,0.090,4.658
2,125362,142,0,0,246,0,Solanaceae,1895.846,442.512,375.681,1.178,92.616,128754.000,1289.187,399.520,603.467,187.840,221.256,200.275,182.965,130567.256,0.849,14.806,28.671,0.815,0.903,0.974,0.680,3392.000,166243.394,0.754,0.849,2.282,0.034,0.662,0.438,123466.154,31.329,7.911,27.169,737.462,36516,0.997,0.021,9.616E-4,396.309,0.979,0.405,0.953,0.253,0.503,6.907,0.303,0.551,8.235,0.317,0.563,8.608,0.291,0.183,4.987,0.069,1.980,0.318,8.622
3,60396,50,0,0,230,0,Solanaceae,1267.492,433.038,178.000,2.433,45.756,62247.500,1020.358,277.306,403.455,89.000,216.519,155.214,1826.577,60539.105,0.411,3.632,26.600,0.410,0.640,0.970,0.805,1851.500,77080.783,0.784,0.411,2.117,0.069,0.687,0.472,59128.508,34.838,6.758,31.477,990.056,12970,0.998,0.016,7.019E-4,546.029,0.967,0.414,0.936,0.186,0.431,5.868,0.225,0.474,7.077,0.233,0.483,7.343,0.215,0.137,4.298,0.052,1.733,0.233,7.346
4,115869,165,0,0,251,0,Solanaceae,1893.094,445.647,358.527,1.243,85.896,120258.000,1250.482,384.095,602.590,179.263,222.823,191.488,264.458,125487.994,0.805,11.775,30.930,0.743,0.862,0.964,0.661,4389.000,159776.276,0.725,0.805,2.461,0.087,0.637,0.406,113975.906,1.044,9.217,25.213,636.439,42486,0.997,0.025,0.001,413.978,0.978,0.405,0.952,0.360,0.600,9.148,0.371,0.609,9.325,0.368,0.607,9.236,0.367,0.103,3.555,0.050,1.502,0.388,9.733
5,130036,248,0,0,252,0,Solanaceae,2154.054,453.971,364.000,1.247,94.061,134149.000,1327.111,406.899,685.657,182.000,226.986,202.923,266.036,129783.572,0.802,12.441,35.682,0.803,0.896,0.969,0.616,4113.000,165245.577,0.787,0.802,2.839,0.842,0.593,0.352,127881.946,109.766,10.280,20.995,439.843,63669,0.995,0.035,0.002,400.150,0.979,0.405,0.953,0.431,0.656,9.089,0.509,0.714,10.687,0.529,0.727,11.097,0.490,0.307,6.519,0.108,2.459,0.530,11.112
6,112417,2,0,0,221,0,Solanaceae,1386.095,434.836,315.712,1.377,83.875,114580.000,1229.623,378.330,441.208,157.856,217.418,190.826,475.118,107821.739,0.726,8.755,17.090,0.757,0.870,0.981,0.887,2163.000,137282.901,0.819,0.726,1.360,0.171,0.857,0.735,111030.905,15.004,1.097,193.819,37596.614,637,1.000,4.863E-4,1.852E-5,254.461,0.986,0.491,0.971,0.005,0.070,0.950,0.006,0.077,1.147,0.006,0.079,1.200,0.006,0.004,0.703,0.001,0.285,0.006,1.200
7,124447,4,0,0,222,0,Solanaceae,1458.386,437.439,369.000,1.185,98.071,134775.000,1272.142,398.059,464.219,184.500,218.720,198.838,127.525,126775.078,0.844,17.608,17.091,0.828,0.910,0.923,0.872,10328.000,161415.042,0.771,0.844,1.360,0.013,0.857,0.735,122988.614,45.048,1.342,157.925,24957.038,1058,1.000,7.219E-4,2.768E-5,273.611,0.984,0.516,0.971,0.007,0.085,1.145,0.009,0.095,1.438,0.009,0.096,1.443,0.009,0.005,0.806,0.002,0.350,0.009,1.457
8,46285,4,0,0,204,0,Solanaceae,1153.685,431.845,140.000,3.085,36.060,48921.500,979.821,242.759,367.229,70.000,215.922,141.986,2451.888,47483.825,0.324,2.867,28.756,0.316,0.562,0.946,0.849,2636.500,60458.283,0.766,0.324,2.288,0.875,0.661,0.437,45131.315,18.519,2.283,87.837,7714.694,1203,1.000,0.002,8.014E-5,356.659,0.982,0.412,0.959,0.021,0.144,1.815,0.028,0.166,2.421,0.030,0.173,2.619,0.026,0.018,1.566,0.010,0.891,0.030,2.619
9,121752,51,0,0,223,0,Solanaceae,1700.410,433.887,358.706,1.210,104.233,142080.000,1274.701,393.725,541.257,179.353,216.944,198.144,124.882,122237.844,0.827,17.731,23.748,0.823,0.907,0.857,0.750,20328.000,155638.057,0.782,0.827,1.890,0.603,0.727,0.529,120051.590,40.372,4.693,43.686,1909.510,13093,0.999,0.009,3.386E-4,265.703,0.985,0.510,0.971,0.088,0.296,3.848,0.114,0.338,4.972,0.121,0.348,5.268,0.108,0.071,3.109,0.036,1.631,0.121,5.268
10,151149,125,0,0,245,0,Solanaceae,2060.532,484.869,408.174,1.188,102.758,156528.000,1417.713,438.690,655.888,204.087,242.435,220.221,178.592,155438.816,0.842,16.479,28.090,0.819,0.905,0.966,0.688,5379.000,197910.848,0.764,0.842,2.235,0.482,0.669,0.447,149088.468,47.723,6.785,31.899,1017.580,32182,0.998,0.016,7.074E-4,325.386,0.980,0.544,0.970,0.188,0.434,6.028,0.222,0.471,7.064,0.229,0.478,7.286,0.213,0.135,4.322,0.045,1.581,0.229,7.298
11,130243,9,0,0,240,0,Solanaceae,1550.812,454.757,377.135,1.206,96.766,138246.000,1321.975,407.223,493.639,188.567,227.379,203.633,314.470,134699.545,0.829,11.483,18.466,0.802,0.895,0.942,0.852,8003.000,171504.787,0.759,0.829,1.469,0.029,0.825,0.681,128692.188,18.542,2.027,104.630,10980.545,2531,1.000,0.002,6.320E-5,291.859,0.981,0.577,0.973,0.017,0.130,1.774,0.020,0.142,2.101,0.021,0.146,2.214,0.019,0.012,1.269,0.005,0.543,0.021,2.225
12,138559,30,0,0,251,0,Solanaceae,1628.771,457.813,406.993,1.125,128.574,184923.000,1352.661,420.022,518.454,203.496,228.907,210.204,101.734,146340.696,0.889,20.841,19.146,0.842,0.917,0.749,0.830,46364.000,186326.761,0.744,0.889,1.524,1.774,0.810,0.656,136930.229,88.189,3.565,64.398,4168.494,7714,1.000,0.004,1.954E-4,308.659,0.980,0.575,0.973,0.052,0.229,3.390,0.058,0.241,3.729,0.056,0.237,3.599,0.056,0.022,1.529,0.010,0.715,0.059,3.796
13,152689,107,0,0,242,0,Solanaceae,1820.719,496.372,408.992,1.214,103.683,161683.500,1426.309,440.919,579.553,204.496,248.186,220.520,212.402,159445.409,0.824,15.131,21.711,0.789,0.888,0.944,0.783,8994.500,203012.200,0.752,0.824,1.728,0.678,0.761,0.579,150868.281,51.108,6.218,34.607,1198.266,27470,0.998,0.014,5.942E-4,270.073,0.983,0.574,0.974,0.157,0.397,5.471,0.189,0.434,6.512,0.194,0.440,6.697,0.180,0.109,3.799,0.041,1.533,0.195,6.724
14,137757,223,0,0,254,0,Solanaceae,2070.331,469.282,388.000,1.209,97.877,144300.000,1361.067,418.805,659.007,194.000,234.641,210.603,251.457,143006.541,0.827,13.281,31.115,0.796,0.892,0.955,0.657,6543.000,182081.583,0.757,0.827,2.476,0.625,0.636,0.404,135686.669,105.729,9.492,22.854,521.510,57237,0.996,0.030,0.001,265.712,0.983,0.578,0.974,0.367,0.606,8.425,0.431,0.657,9.844,0.448,0.670,10.240,0.416,0.265,6.136,0.089,2.213,0.449,10.252
15,131390,590,0,0,255,0,Solanaceae,2052.189,461.686,361.000,1.279,147.612,214101.500,1325.158,409.012,653.232,180.500,230.843,206.723,221.075,130901.260,0.782,13.903,32.053,0.785,0.886,0.614,0.646,82711.500,166668.661,0.788,0.782,2.551,0.043,0.626,0.392,129337.811,48.811,16.261,14.126,198.463,151206,0.990,0.074,0.004,271.432,0.982,0.583,0.975,1.100,1.049,15.677,1.173,1.083,16.559,1.179,1.086,16.627,1.151,0.497,8.213,0.146,2.601,1.208,17.049
16,127060,317,0,0,246,0,Solanaceae,2092.130,456.991,377.000,1.212,92.791,133218.500,1320.180,402.216,665.946,188.500,228.496,201.466,216.864,135312.873,0.825,13.681,34.448,0.775,0.880,0.954,0.631,6158.500,172285.700,0.737,0.825,2.741,0.300,0.604,0.365,124967.870,49.750,11.710,18.286,333.109,81297,0.994,0.045,0.002,223.407,0.986,0.570,0.974,0.555,0.745,10.200,0.667,0.817,12.209,0.697,0.835,12.748,0.640,0.405,7.425,0.154,2.996,0.698,12.759
17,153692,296,0,0,248,0,Solanaceae,2344.179,487.370,420.843,1.158,104.594,160145.500,1439.728,442.365,746.175,210.422,243.685,220.408,250.322,161090.343,0.863,13.931,35.754,0.824,0.908,0.960,0.614,6453.500,205106.595,0.749,0.863,2.845,1.404,0.593,0.351,151347.821,51.918,10.319,20.869,434.567,76001,0.995,0.036,0.002,214.844,0.988,0.519,0.973,0.435,0.659,9.127,0.514,0.717,10.721,0.535,0.731,11.150,0.494,0.322,6.767,0.110,2.554,0.536,11.167
18,145999,108,0,0,250,0,Solanaceae,1900.785,465.188,424.000,1.097,179.116,261765.500,1395.429,431.152,605.039,212.000,232.594,215.968,80.366,154911.752,0.911,24.091,24.747,0.859,0.927,0.558,0.734,115766.500,197239.769,0.740,0.911,1.969,7.992,0.713,0.508,144098.215,41.519,6.458,34.069,1163.600,27767,0.998,0.015,6.411E-4,207.719,0.988,0.532,0.974,0.172,0.415,5.903,0.197,0.444,6.694,0.201,0.449,6.822,0.190,0.097,3.581,0.041,1.486,0.205,6.967
19,124525,47,0,0,225,0,Solanaceae,1810.861,481.253,348.398,1.381,133.534,201889.500,1312.013,398.184,576.415,174.199,240.626,199.156,631.123,131685.820,0.724,7.927,26.334,0.685,0.827,0.617,0.725,77364.500,167667.593,0.743,0.724,2.096,0.291,0.691,0.477,122714.139,3.117,4.559,46.378,2151.221,12247,0.999,0.008,3.195E-4,223.049,0.986,0.572,0.975,0.085,0.291,3.927,0.103,0.321,4.777,0.107,0.328,4.978,0.098,0.063,2.917,0.025,1.212,0.107,4.980
