Area,Mean,Mode,Min,Max,Median,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,Label
171528,3525,0,0,255,0,1914.685,489.722,458.0,1.069,113.69,174913.5,1488.0439999999999,467.329,609.4630000000001,229.0,244.861,233.9,35.732,176159.18899999998,0.935,39.129,21.373,0.9109999999999999,0.9540000000000001,0.981,0.777,3385.5,224292.84600000002,0.765,0.935,1.7009999999999998,0.001,0.767,0.588,169613.315,29.471,35.396,6.586,41.43899999999999,902623,0.9570000000000001,0.256,0.019,361.397,0.981,Amaranthacea
161998,1391,0,0,254,0,1802.3339999999998,495.49199999999996,432.551,1.146,105.98,164971.5,1450.3410000000001,454.161,573.701,216.275,247.74599999999998,227.78799999999998,133.83700000000002,168330.711,0.873,19.69,20.052,0.84,0.917,0.982,0.805,2973.5,214325.318,0.7559999999999999,0.873,1.5959999999999999,0.024,0.792,0.627,160195.666,33.791,22.941999999999997,10.349,105.21700000000001,356271,0.982,0.11699999999999999,0.008,362.666,0.981,Amaranthacea
159707,428,0,0,253,0,2219.922,482.31199999999995,437.287,1.103,109.06,165251.0,1453.8039999999999,450.93800000000005,706.623,218.644,241.15599999999998,226.463,49.062,165647.49800000002,0.907,32.330999999999996,30.857,0.8740000000000001,0.935,0.966,0.655,5544.0,210908.945,0.757,0.907,2.456,0.037000000000000005,0.638,0.40700000000000003,157487.078,12.197000000000001,12.284,17.91,320.32099999999997,109698,0.9940000000000001,0.047,0.002,358.593,0.982,Amaranthacea
155196,117,0,0,252,0,1610.9129999999998,485.224,416.713,1.1640000000000001,103.736,158132.5,1421.703,444.524,512.77,208.356,242.612,222.31799999999998,184.773,158806.598,0.8590000000000001,16.355,16.721,0.8390000000000001,0.9159999999999999,0.981,0.883,2936.5,202198.84,0.768,0.8590000000000001,1.331,1.216,0.867,0.752,153585.087,8.113,6.881,35.409,1253.249,30175,0.998,0.013000000000000001,0.0007276,342.43,0.982,Amaranthacea
161602,504,0,0,255,0,2271.319,501.17199999999997,433.059,1.157,115.72399999999999,182204.5,1462.5410000000002,453.606,722.9830000000001,216.52900000000002,250.58599999999998,227.863,161.14700000000002,170460.367,0.8640000000000001,17.95,31.923000000000002,0.8190000000000001,0.905,0.887,0.644,20602.5,217036.88,0.745,0.8640000000000001,2.54,0.092,0.627,0.39399999999999996,159330.68099999998,18.363,13.457,16.855,283.607,129263,0.993,0.054000000000000006,0.003,764.85,0.907,Amaranthacea
157813,66,0,0,225,0,1742.854,499.63199999999995,431.69199999999995,1.157,108.03200000000001,169571.5,1444.486,448.256,554.768,215.84599999999998,249.81599999999997,224.763,171.832,169400.099,0.8640000000000001,17.146,19.248,0.805,0.897,0.9309999999999999,0.8290000000000001,11758.5,215686.905,0.732,0.8640000000000001,1.5319999999999998,1.681,0.8079999999999999,0.653,156070.146,24.186,4.71,43.887,1925.5839999999998,16941,0.9990000000000001,0.009000000000000001,0.000341,674.336,0.922,Amaranthacea
156997,413,0,0,255,0,1732.026,542.623,385.338,1.4080000000000001,93.99600000000001,160234.5,1455.2079999999999,447.096,551.321,192.669,271.312,223.81799999999998,839.982,164221.601,0.71,7.723,19.108,0.679,0.8240000000000001,0.98,0.84,3237.5,209093.437,0.7509999999999999,0.71,1.521,0.091,0.8109999999999999,0.6579999999999999,155264.97400000002,20.371,12.743,18.869,354.724,105943,0.9940000000000001,0.042,0.002,799.826,0.897,Amaranthacea
153423,61,0,0,238,0,1874.31,486.55699999999996,403.68199999999996,1.205,103.73,158558.5,1426.8570000000002,441.978,596.611,201.84099999999998,243.27900000000002,221.57,160.505,154263.62,0.83,17.489,22.898000000000003,0.825,0.9079999999999999,0.968,0.7609999999999999,5135.5,196414.54100000003,0.7809999999999999,0.83,1.8219999999999998,2.7460000000000004,0.741,0.5489999999999999,151548.69,53.818000000000005,4.618,45.006,2027.088,15761,0.9990000000000001,0.008,0.0003279,798.663,0.9,Amaranthacea
130564,353,0,0,255,0,1910.116,459.42699999999996,368.0,1.248,93.26299999999999,134609.5,1318.046,407.724,608.009,184.0,229.713,206.38,218.83700000000002,132786.536,0.8009999999999999,13.950999999999999,27.944000000000003,0.7879999999999999,0.887,0.97,0.69,4045.5,169069.069,0.772,0.8009999999999999,2.224,0.08199999999999999,0.6709999999999999,0.45,128653.884,53.868,12.327,17.819000000000003,317.061,90458,0.9940000000000001,0.048,0.002,926.8960000000001,0.838,Amaranthacea
109875,30,0,0,209,0,1549.0479999999998,498.964,310.506,1.607,76.794,120377.5,1266.587,374.028,493.077,155.253,249.482,190.65099999999998,1234.0,121682.69699999999,0.622,5.4270000000000005,21.839000000000002,0.562,0.75,0.9129999999999999,0.818,10502.5,154931.22199999998,0.7090000000000001,0.622,1.7380000000000002,0.064,0.759,0.575,108325.95199999999,25.894000000000002,3.781,53.75899999999999,2888.61,7727,0.9990000000000001,0.006,0.0002198,815.248,0.88,Amaranthacea
38312,12779,0,85,246,0,1904.8239999999998,654.0830000000001,84.971,7.6979999999999995,21.355,43881.5,1366.5120000000002,220.863,606.3240000000001,42.485,327.04200000000003,170.891,8856.739,43650.829000000005,0.13,1.8159999999999998,94.705,0.114,0.33799999999999997,0.873,0.7170000000000001,5569.5,55577.960999999996,0.6890000000000001,0.13,7.5360000000000005,9.526,0.364,0.133,36407.176,107.884,7.117999999999999,18.06,325.796,3271644,0.9940000000000001,0.044000000000000004,0.0007785,54.933,0.971,Apiaceae
79301,26331,0,85,216,0,1316.036,448.59,248.84799999999998,1.8030000000000002,59.528,83892.5,1116.258,317.756,418.907,124.42399999999999,224.295,166.037,1303.1660000000002,87674.67300000001,0.555,4.599,21.84,0.502,0.708,0.945,0.848,4591.5,111630.86099999999,0.71,0.555,1.7380000000000002,0.20600000000000002,0.759,0.575,77984.964,33.536,0.7609999999999999,163.1,26656.956000000002,6740956,1.0,0.0006703,8.916e-06,51.534,0.965,Apiaceae
75882,25200,0,85,228,0,1268.479,449.16,237.361,1.892,56.802,80152.0,1099.5739999999998,310.83099999999996,403.77,118.68,224.58,165.98,1270.504,83733.656,0.528,4.657,21.205,0.479,0.6920000000000001,0.9470000000000001,0.867,4270.0,106613.002,0.7120000000000001,0.528,1.6869999999999998,0.6990000000000001,0.77,0.593,74613.521,31.705,1.4969999999999999,87.52,7682.243,6451272,1.0,0.002,3.446e-05,55.178999999999995,0.9620000000000001,Apiaceae
