Area,Mean,Mode,Min,Max,Median,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V,Label
171528,3525,0,0,255,0,1914.685,489.722,458.0,1.069,113.69,174913.5,1488.0439999999999,467.329,609.4630000000001,229.0,244.861,233.9,35.732,176159.18899999998,0.935,39.129,21.373,0.9109999999999999,0.9540000000000001,0.981,0.777,3385.5,224292.84600000002,0.765,0.935,0.439,0.9620000000000001,5.2829999999999995,2.299,35.565,5.265,2.294,35.411,5.24,2.289,35.239000000000004,5.263,1.6219999999999999,15.519,0.159,1.705,5.3389999999999995,35.908,Amaranthacea
161998,1391,0,0,254,0,1802.3339999999998,495.49199999999996,432.551,1.146,105.98,164971.5,1450.3410000000001,454.161,573.701,216.275,247.74599999999998,227.78799999999998,133.83700000000002,168330.711,0.873,19.69,20.052,0.84,0.917,0.982,0.805,2973.5,214325.318,0.7559999999999999,0.873,0.436,0.963,2.234,1.495,23.345,2.205,1.485,22.998,2.158,1.469,22.506,2.199,0.271,4.437,0.124,1.7069999999999999,2.2569999999999997,23.54,Amaranthacea
159707,428,0,0,253,0,2219.922,482.31199999999995,437.287,1.103,109.06,165251.0,1453.8039999999999,450.93800000000005,706.623,218.644,241.15599999999998,226.463,49.062,165647.49800000002,0.907,32.330999999999996,30.857,0.8740000000000001,0.935,0.966,0.655,5544.0,210908.945,0.757,0.907,0.428,0.963,0.616,0.785,11.129000000000001,0.708,0.841,12.652000000000001,0.736,0.858,13.139000000000001,0.687,0.379,7.135,0.146,2.891,0.745,13.296,Amaranthacea
155196,117,0,0,252,0,1610.9129999999998,485.224,416.713,1.1640000000000001,103.736,158132.5,1421.703,444.524,512.77,208.356,242.612,222.31799999999998,184.773,158806.598,0.8590000000000001,16.355,16.721,0.8390000000000001,0.9159999999999999,0.981,0.883,2936.5,202198.84,0.768,0.8590000000000001,0.447,0.966,0.19899999999999998,0.446,7.053,0.195,0.441,6.8839999999999995,0.19,0.436,6.718999999999999,0.19399999999999998,0.02,1.032,0.013999999999999999,0.607,0.201,7.12,Amaranthacea
161602,504,0,0,255,0,2271.319,501.17199999999997,433.059,1.157,115.72399999999999,182204.5,1462.5410000000002,453.606,722.9830000000001,216.52900000000002,250.58599999999998,227.863,161.14700000000002,170460.367,0.8640000000000001,17.95,31.923000000000002,0.8190000000000001,0.905,0.887,0.644,20602.5,217036.88,0.745,0.8640000000000001,0.7829999999999999,0.9640000000000001,0.7440000000000001,0.863,12.65,0.82,0.9059999999999999,13.785,0.835,0.914,14.015,0.8,0.361,6.771,0.126,2.6060000000000003,0.8490000000000001,14.255,Amaranthacea
157813,66,0,0,225,0,1742.854,499.63199999999995,431.69199999999995,1.157,108.03200000000001,169571.5,1444.486,448.256,554.768,215.84599999999998,249.81599999999997,224.763,171.832,169400.099,0.8640000000000001,17.146,19.248,0.805,0.897,0.9309999999999999,0.8290000000000001,11758.5,215686.905,0.732,0.8640000000000001,0.7709999999999999,0.965,0.08900000000000001,0.298,3.905,0.113,0.336,4.9510000000000005,0.121,0.34700000000000003,5.29,0.107,0.07200000000000001,3.1660000000000004,0.035,1.569,0.121,5.29,Amaranthacea
156997,413,0,0,255,0,1732.026,542.623,385.338,1.4080000000000001,93.99600000000001,160234.5,1455.2079999999999,447.096,551.321,192.669,271.312,223.81799999999998,839.982,164221.601,0.71,7.723,19.108,0.679,0.8240000000000001,0.98,0.84,3237.5,209093.437,0.7509999999999999,0.71,0.795,0.9640000000000001,0.6759999999999999,0.8220000000000001,12.790999999999999,0.6709999999999999,0.8190000000000001,12.677999999999999,0.677,0.823,12.779000000000002,0.675,0.349,8.161,0.042,1.065,0.695,13.110999999999999,Amaranthacea
153423,61,0,0,238,0,1874.31,486.55699999999996,403.68199999999996,1.205,103.73,158558.5,1426.8570000000002,441.978,596.611,201.84099999999998,243.27900000000002,221.57,160.505,154263.62,0.83,17.489,22.898000000000003,0.825,0.9079999999999999,0.968,0.7609999999999999,5135.5,196414.54100000003,0.7809999999999999,0.83,0.7879999999999999,0.963,0.085,0.29100000000000004,3.821,0.10800000000000001,0.32899999999999996,4.87,0.115,0.33899999999999997,5.175,0.10300000000000001,0.068,3.0469999999999997,0.033,1.537,0.115,5.175,Amaranthacea
130564,353,0,0,255,0,1910.116,459.42699999999996,368.0,1.248,93.26299999999999,134609.5,1318.046,407.724,608.009,184.0,229.713,206.38,218.83700000000002,132786.536,0.8009999999999999,13.950999999999999,27.944000000000003,0.7879999999999999,0.887,0.97,0.69,4045.5,169069.069,0.772,0.8009999999999999,0.8490000000000001,0.965,0.617,0.7859999999999999,11.095,0.716,0.846,12.731,0.745,0.863,13.225999999999999,0.693,0.409,7.665,0.152,3.029,0.7509999999999999,13.345,Amaranthacea
109875,30,0,0,209,0,1549.0479999999998,498.964,310.506,1.607,76.794,120377.5,1266.587,374.028,493.077,155.253,249.482,190.65099999999998,1234.0,121682.69699999999,0.622,5.4270000000000005,21.839000000000002,0.562,0.75,0.9129999999999999,0.818,10502.5,154931.22199999998,0.7090000000000001,0.622,0.816,0.968,0.055999999999999994,0.237,3.033,0.075,0.273,4.021,0.08,0.282,4.29,0.07,0.047,2.5380000000000003,0.026000000000000002,1.399,0.08,4.29,Amaranthacea
