 ,Area,Mean,Mode,Min,Max,Median,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,3031,81.553,25,1,243,71,101_011,300.032,123.406,39.028,3.162,9.010,3493.000,271.042,62.122,95.503,19.514,61.703,35.356,190.361,3782.731,0.316,2.563,29.699,0.253,0.503,0.868,0.903,462.000,4816.322,0.629,0.316,2.363,0.245,0.650,0.423,2730.968,8.233,57.721,0.845,-0.030,247188,0.006,7.525,0.049,557.098,0.933,0.030,0.495,202.427,14.228,83.234,15.883,3.985,36.695,10.558,3.249,28.719,76.289,9.429,33.345,231.839,50.295,202.928,82.933
2,3366,102.914,133,1,242,104,111_011,324.233,133.222,42.503,3.134,9.809,4105.500,293.436,65.465,103.206,21.251,66.611,41.900,248.999,4447.145,0.319,2.655,31.232,0.241,0.491,0.820,0.905,739.500,5662.281,0.594,0.319,2.485,2.733,0.634,0.402,3041.767,9.708,57.218,0.187,-0.700,346408,0.005,7.686,0.048,461.575,0.935,0.013,0.469,217.610,14.752,66.399,29.895,5.468,56.841,18.672,4.321,41.888,88.726,11.444,29.325,225.868,56.826,218.911,65.265
3,3483,104.355,112,2,246,106,11_011,311.019,127.424,44.274,2.878,9.987,3998.000,287.711,66.593,99.001,22.137,63.712,38.281,195.143,4430.910,0.347,2.740,27.773,0.273,0.523,0.871,0.925,515.000,5641.610,0.617,0.347,2.210,0.091,0.673,0.452,3171.981,17.170,57.047,0.179,-0.668,363467,0.005,7.679,0.048,607.233,0.921,0.009,0.395,217.773,14.757,65.039,31.396,5.603,58.405,21.058,4.589,44.230,90.076,10.986,28.413,221.717,61.004,219.012,64.201
4,3714,103.583,114,0,239,107,121_011,305.061,123.110,47.144,2.611,11.198,4331.000,287.308,68.766,97.104,23.572,61.555,40.150,197.258,4558.381,0.383,2.859,25.057,0.312,0.559,0.858,0.942,617.000,5803.911,0.640,0.383,1.994,0.208,0.708,0.502,3408.939,14.837,51.858,0.208,-0.197,384706,0.006,7.542,0.040,483.529,0.912,0.020,0.473,212.620,14.581,65.293,36.508,6.042,58.379,23.419,4.839,41.670,90.849,11.576,27.277,215.499,63.353,213.309,64.933
5,3471,100.407,115,1,242,99,131_011,308.333,127.562,43.078,2.961,10.172,4076.500,283.419,66.479,98.145,21.539,63.781,38.293,193.481,4315.841,0.338,2.753,27.390,0.272,0.521,0.851,0.919,605.500,5495.100,0.632,0.338,2.180,0.048,0.677,0.459,3162.667,15.126,51.673,0.349,-0.238,348514,0.006,7.569,0.039,556.921,0.899,0.022,0.476,216.337,14.708,64.591,30.256,5.501,53.828,19.198,4.382,39.007,88.597,9.641,22.874,222.090,59.332,217.166,64.025
6,3247,95.514,109,1,238,93,141_011,316.818,134.462,40.824,3.294,9.256,3910.000,293.523,64.298,100.846,20.412,67.231,36.346,246.665,4311.256,0.304,2.314,30.913,0.229,0.478,0.830,0.926,663.000,5489.262,0.592,0.304,2.460,0.217,0.638,0.407,2930.182,4.410,54.094,0.516,-0.334,310135,0.006,7.574,0.043,525.226,0.917,0.014,0.472,206.759,14.379,71.798,29.932,5.471,51.444,20.557,4.534,40.770,85.749,10.148,24.061,217.518,64.119,207.718,71.272
7,3354,78.854,75,0,235,70,151_011,291.505,122.450,42.619,2.873,9.948,3827.000,272.681,65.349,92.789,21.309,61.225,35.604,170.077,4098.716,0.348,2.730,25.335,0.285,0.534,0.876,0.935,473.000,5218.647,0.643,0.348,2.016,0.217,0.704,0.496,3062.495,11.311,53.947,0.966,0.372,264475,0.007,7.437,0.043,575.812,0.937,0.014,0.436,196.647,14.023,83.652,20.806,4.561,40.107,13.601,3.688,32.311,77.018,14.621,42.499,226.299,53.836,197.608,83.107
8,2998,101.716,108,0,243,100,161_011,281.037,118.068,39.086,3.021,9.048,3356.000,261.469,61.783,89.457,19.543,59.034,38.058,169.500,3624.497,0.331,2.923,26.345,0.274,0.523,0.893,0.930,358.000,4614.852,0.650,0.331,2.096,0.532,0.691,0.477,2716.963,5.520,50.026,0.362,-0.183,304944,0.006,7.519,0.037,784.663,0.874,0.035,0.406,218.617,14.786,62.129,28.851,5.371,51.829,19.250,4.387,38.569,88.906,8.397,19.781,221.617,60.067,219.426,61.377
9,2922,86.507,104,0,241,82,171_011,279.747,116.284,39.730,2.927,9.364,3421.000,261.039,60.995,89.046,19.865,58.142,33.780,165.347,3628.553,0.342,2.627,26.783,0.275,0.525,0.854,0.933,499.000,4620.017,0.632,0.342,2.131,1.874,0.685,0.469,2642.253,13.027,53.125,0.669,-0.062,252774,0.006,7.501,0.042,415.397,0.947,0.012,0.464,203.695,14.272,78.148,23.566,4.855,43.915,15.697,3.962,34.648,80.986,10.697,29.580,222.580,59.960,204.527,77.645
10,2981,85.041,59,1,248,78,181_011,286.676,118.343,40.617,2.914,9.688,3602.000,265.878,61.608,91.252,20.308,59.171,35.837,201.136,3775.191,0.343,2.527,27.569,0.271,0.521,0.828,0.927,621.000,4806.722,0.620,0.343,2.194,0.262,0.675,0.456,2694.324,11.272,52.830,0.800,0.111,253508,0.006,7.472,0.041,620.532,0.921,0.018,0.469,208.072,14.425,76.643,20.299,4.505,40.723,13.024,3.609,31.021,80.465,9.403,27.762,227.241,55.275,208.786,76.136
