Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:02 |        0.00% |       11.11% |       6.2477 |       3.6039 |      1.0000e-04 |
|       1 |           5 |       00:00:04 |       37.50% |       34.34% |       3.3842 |       2.3729 |      1.0000e-04 |
|       1 |          10 |       00:00:06 |       31.25% |       45.96% |       3.1471 |       1.9484 |      1.0000e-04 |
|       1 |          15 |       00:00:07 |       37.50% |       51.52% |       2.2890 |       1.6838 |      1.0000e-04 |
|       1 |          20 |       00:00:09 |       43.75% |       55.05% |       1.4945 |       1.4716 |      1.0000e-04 |
|       1 |          25 |       00:00:11 |       50.00% |       62.12% |       1.6025 |       1.2971 |      1.0000e-04 |
|       1 |          30 |       00:00:12 |       50.00% |       62.12% |       1.3736 |       1.2112 |      1.0000e-04 |
|       1 |          35 |       00:00:14 |       50.00% |       61.11% |       2.0411 |       1.1201 |      1.0000e-04 |
|       1 |          40 |       00:00:16 |       68.75% |       67.17% |       1.2498 |       1.0070 |      1.0000e-04 |
|       1 |          45 |       00:00:17 |       50.00% |       69.19% |       1.1868 |       0.9369 |      1.0000e-04 |
|       1 |          50 |       00:00:19 |       50.00% |       75.76% |       1.5040 |       0.7507 |      1.0000e-04 |
|       1 |          55 |       00:00:20 |       68.75% |       77.78% |       0.8471 |       0.7310 |      1.0000e-04 |
|       1 |          60 |       00:00:22 |       62.50% |       77.27% |       1.6994 |       0.8050 |      1.0000e-04 |
|       1 |          65 |       00:00:24 |       93.75% |       77.78% |       0.4405 |       0.8247 |      1.0000e-04 |
|       1 |          70 |       00:00:25 |       68.75% |       76.77% |       0.8443 |       0.7284 |      1.0000e-04 |
|       1 |          75 |       00:00:27 |       68.75% |       78.28% |       1.2943 |       0.7058 |      1.0000e-04 |
|       1 |          80 |       00:00:29 |       81.25% |       80.81% |       0.5112 |       0.6439 |      1.0000e-04 |
|       1 |          85 |       00:00:30 |       56.25% |       81.82% |       1.1553 |       0.5577 |      1.0000e-04 |
|       1 |          90 |       00:00:32 |       68.75% |       84.34% |       0.9415 |       0.5019 |      1.0000e-04 |
