Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:03 |       10.94% |       12.63% |       4.5264 |       3.4407 |      1.0000e-04 |
|       1 |           5 |       00:00:07 |       17.19% |       41.41% |       2.6730 |       2.3400 |      1.0000e-04 |
|       1 |          10 |       00:00:11 |       31.25% |       49.49% |       2.4865 |       1.9538 |      1.0000e-04 |
|       1 |          15 |       00:00:15 |       42.19% |       52.53% |       1.9389 |       1.6572 |      1.0000e-04 |
|       1 |          20 |       00:00:19 |       51.56% |       60.10% |       1.8074 |       1.4041 |      1.0000e-04 |
|       2 |          25 |       00:00:23 |       57.81% |       67.17% |       1.5562 |       1.1827 |      1.0000e-04 |
|       2 |          30 |       00:00:27 |       62.50% |       68.18% |       1.1830 |       0.9894 |      1.0000e-04 |
|       2 |          35 |       00:00:31 |       75.00% |       70.71% |       0.7810 |       0.8827 |      1.0000e-04 |
|       2 |          40 |       00:00:36 |       75.00% |       82.32% |       0.9026 |       0.6436 |      1.0000e-04 |
|       2 |          45 |       00:00:40 |       75.00% |       82.83% |       0.6708 |       0.5546 |      1.0000e-04 |
|       3 |          50 |       00:00:44 |       76.56% |       88.89% |       0.6331 |       0.5210 |      1.0000e-04 |
|       3 |          55 |       00:00:48 |       73.44% |       87.88% |       0.7160 |       0.4429 |      1.0000e-04 |
|       3 |          60 |       00:00:52 |       82.81% |       89.39% |       0.5306 |       0.3941 |      1.0000e-04 |
|       3 |          65 |       00:00:56 |       71.88% |       88.89% |       0.7451 |       0.4040 |      1.0000e-04 |
|       3 |          70 |       00:01:01 |       81.25% |       87.88% |       0.6768 |       0.3503 |      1.0000e-04 |
|       4 |          75 |       00:01:05 |       79.69% |       91.92% |       0.6637 |       0.3323 |      1.0000e-04 |
|       4 |          80 |       00:01:09 |       87.50% |       88.89% |       0.3875 |       0.3116 |      1.0000e-04 |
|       4 |          85 |       00:01:13 |       90.62% |       90.40% |       0.3799 |       0.2922 |      1.0000e-04 |
|       4 |          90 |       00:01:17 |       79.69% |       91.92% |       0.6315 |       0.2607 |      1.0000e-04 |
