Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:04 |        0.00% |       11.62% |       3.0829 |       3.0831 |      1.0000e-04 |
|       1 |           5 |       00:00:11 |       12.50% |       32.83% |       3.0032 |       2.6114 |      1.0000e-04 |
|       1 |          10 |       00:00:18 |       50.00% |       41.92% |       2.0844 |       2.1428 |      1.0000e-04 |
|       1 |          15 |       00:00:26 |       37.50% |       44.44% |       2.3859 |       1.8968 |      1.0000e-04 |
|       1 |          20 |       00:00:34 |       75.00% |       50.51% |       1.0730 |       1.7048 |      1.0000e-04 |
|       1 |          25 |       00:00:41 |       68.75% |       55.56% |       1.3201 |       1.5307 |      1.0000e-04 |
|       1 |          30 |       00:00:49 |       68.75% |       61.62% |       1.2664 |       1.3942 |      1.0000e-04 |
|       1 |          35 |       00:00:57 |       75.00% |       72.22% |       0.9609 |       1.2073 |      1.0000e-04 |
|       1 |          40 |       00:01:05 |       75.00% |       68.18% |       0.9714 |       1.1016 |      1.0000e-04 |
|       1 |          45 |       00:01:12 |       56.25% |       72.73% |       1.0488 |       1.0186 |      1.0000e-04 |
|       1 |          50 |       00:01:20 |       75.00% |       70.71% |       0.9049 |       0.9871 |      1.0000e-04 |
|       1 |          55 |       00:01:28 |       87.50% |       70.71% |       0.4700 |       0.9318 |      1.0000e-04 |
|       1 |          60 |       00:01:35 |       75.00% |       73.23% |       1.1756 |       0.8796 |      1.0000e-04 |
|       1 |          65 |       00:01:43 |       87.50% |       77.27% |       0.8023 |       0.7904 |      1.0000e-04 |
|       1 |          70 |       00:01:51 |       75.00% |       79.29% |       0.8435 |       0.7562 |      1.0000e-04 |
|       1 |          75 |       00:01:58 |      100.00% |       77.78% |       0.3269 |       0.7515 |      1.0000e-04 |
|       1 |          80 |       00:02:06 |       81.25% |       82.83% |       0.6023 |       0.6694 |      1.0000e-04 |
|       1 |          85 |       00:02:14 |       75.00% |       81.31% |       0.7362 |       0.6797 |      1.0000e-04 |
|       1 |          90 |       00:02:21 |       93.75% |       83.84% |       0.3973 |       0.6503 |      1.0000e-04 |
