Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:05 |        1.56% |        9.09% |       3.5466 |       3.2048 |      1.0000e-04 |
|       1 |           5 |       00:00:13 |       25.00% |       30.81% |       2.5938 |       2.5218 |      1.0000e-04 |
|       1 |          10 |       00:00:23 |       35.94% |       48.48% |       2.2602 |       1.9227 |      1.0000e-04 |
|       1 |          15 |       00:00:33 |       31.25% |       52.53% |       2.2258 |       1.6464 |      1.0000e-04 |
|       1 |          20 |       00:00:43 |       56.25% |       61.11% |       1.6196 |       1.4123 |      1.0000e-04 |
|       2 |          25 |       00:00:53 |       73.44% |       66.67% |       1.0983 |       1.1729 |      1.0000e-04 |
|       2 |          30 |       00:01:02 |       57.81% |       72.22% |       1.3286 |       1.0457 |      1.0000e-04 |
|       2 |          35 |       00:01:12 |       75.00% |       71.72% |       0.8437 |       0.8958 |      1.0000e-04 |
|       2 |          40 |       00:01:22 |       68.75% |       76.26% |       0.9416 |       0.8096 |      1.0000e-04 |
|       2 |          45 |       00:01:32 |       73.44% |       81.31% |       0.8531 |       0.6760 |      1.0000e-04 |
|       3 |          50 |       00:01:42 |       89.06% |       81.82% |       0.5239 |       0.6250 |      1.0000e-04 |
|       3 |          55 |       00:01:51 |       81.25% |       79.80% |       0.6206 |       0.5910 |      1.0000e-04 |
|       3 |          60 |       00:02:00 |       87.50% |       83.33% |       0.5419 |       0.5255 |      1.0000e-04 |
|       3 |          65 |       00:02:10 |       89.06% |       87.88% |       0.4870 |       0.4718 |      1.0000e-04 |
|       3 |          70 |       00:02:20 |       89.06% |       86.36% |       0.3562 |       0.4334 |      1.0000e-04 |
|       4 |          75 |       00:02:29 |       82.81% |       90.91% |       0.5792 |       0.3707 |      1.0000e-04 |
|       4 |          80 |       00:02:39 |       87.50% |       88.38% |       0.4500 |       0.3597 |      1.0000e-04 |
|       4 |          85 |       00:02:49 |       84.38% |       89.90% |       0.4811 |       0.3266 |      1.0000e-04 |
|       4 |          90 |       00:02:58 |       89.06% |       90.40% |       0.3224 |       0.3148 |      1.0000e-04 |
