Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:06 |        1.56% |       15.15% |       3.4055 |       2.8714 |      1.0000e-04 |
|       1 |           5 |       00:00:17 |       51.56% |       55.05% |       1.8604 |       1.7602 |      1.0000e-04 |
|       1 |          10 |       00:00:29 |       62.50% |       66.16% |       1.1983 |       1.1885 |      1.0000e-04 |
|       1 |          15 |       00:00:41 |       57.81% |       73.74% |       1.1267 |       0.8866 |      1.0000e-04 |
|       1 |          20 |       00:00:54 |       85.94% |       82.32% |       0.5486 |       0.6092 |      1.0000e-04 |
|       2 |          25 |       00:01:06 |       82.81% |       83.84% |       0.4643 |       0.5001 |      1.0000e-04 |
|       2 |          30 |       00:01:19 |       90.62% |       86.36% |       0.2672 |       0.4641 |      1.0000e-04 |
|       2 |          35 |       00:01:32 |       89.06% |       91.92% |       0.4392 |       0.3264 |      1.0000e-04 |
|       2 |          40 |       00:01:44 |       92.19% |       88.89% |       0.2482 |       0.3119 |      1.0000e-04 |
|       2 |          45 |       00:01:57 |       93.75% |       89.90% |       0.1718 |       0.2874 |      1.0000e-04 |
|       3 |          50 |       00:02:09 |       95.31% |       90.91% |       0.1327 |       0.2666 |      1.0000e-04 |
|       3 |          55 |       00:02:21 |       98.44% |       90.40% |       0.1006 |       0.2873 |      1.0000e-04 |
|       3 |          60 |       00:02:34 |       93.75% |       93.43% |       0.2329 |       0.2226 |      1.0000e-04 |
|       3 |          65 |       00:02:46 |       93.75% |       91.92% |       0.1559 |       0.2560 |      1.0000e-04 |
|       3 |          70 |       00:02:59 |       96.88% |       90.40% |       0.1436 |       0.2518 |      1.0000e-04 |
|       4 |          75 |       00:03:11 |      100.00% |       91.41% |       0.0418 |       0.1961 |      1.0000e-04 |
|       4 |          80 |       00:03:24 |       98.44% |       91.92% |       0.0624 |       0.2479 |      1.0000e-04 |
|       4 |          85 |       00:03:36 |      100.00% |       92.93% |       0.0231 |       0.2447 |      1.0000e-04 |
|       4 |          90 |       00:03:49 |       96.88% |       94.44% |       0.1447 |       0.1779 |      1.0000e-04 |
