Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:03 |        4.69% |        6.57% |       4.6231 |       4.1047 |      1.0000e-04 |
|       1 |           5 |       00:00:08 |       21.88% |       12.63% |       3.1962 |       3.3275 |      1.0000e-04 |
|       1 |          10 |       00:00:12 |       20.31% |       24.24% |       2.8076 |       2.5883 |      1.0000e-04 |
|       1 |          15 |       00:00:17 |       34.38% |       43.43% |       2.2918 |       2.1127 |      1.0000e-04 |
|       1 |          20 |       00:00:22 |       57.81% |       54.55% |       1.6944 |       1.7773 |      1.0000e-04 |
|       2 |          25 |       00:00:26 |       59.38% |       59.09% |       1.4578 |       1.4981 |      1.0000e-04 |
|       2 |          30 |       00:00:31 |       68.75% |       59.60% |       1.2831 |       1.4061 |      1.0000e-04 |
|       2 |          35 |       00:00:35 |       71.88% |       64.65% |       1.0882 |       1.2203 |      1.0000e-04 |
|       2 |          40 |       00:00:40 |       71.88% |       67.68% |       1.0687 |       1.1070 |      1.0000e-04 |
|       2 |          45 |       00:00:44 |       73.44% |       72.22% |       1.0148 |       0.9910 |      1.0000e-04 |
|       3 |          50 |       00:00:49 |       71.88% |       71.72% |       0.8996 |       0.9182 |      1.0000e-04 |
|       3 |          55 |       00:00:53 |       71.88% |       81.82% |       0.9625 |       0.7428 |      1.0000e-04 |
|       3 |          60 |       00:00:58 |       75.00% |       82.83% |       0.9771 |       0.6810 |      1.0000e-04 |
|       3 |          65 |       00:01:02 |       79.69% |       84.34% |       0.5793 |       0.6320 |      1.0000e-04 |
|       3 |          70 |       00:01:07 |       75.00% |       84.34% |       0.6867 |       0.5817 |      1.0000e-04 |
|       4 |          75 |       00:01:11 |       84.38% |       86.87% |       0.6165 |       0.5781 |      1.0000e-04 |
|       4 |          80 |       00:01:16 |       90.62% |       86.36% |       0.4034 |       0.5211 |      1.0000e-04 |
|       4 |          85 |       00:01:20 |       84.38% |       85.35% |       0.7571 |       0.4868 |      1.0000e-04 |
|       4 |          90 |       00:01:25 |       89.06% |       88.38% |       0.4848 |       0.4320 |      1.0000e-04 |
