Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:03 |       10.94% |       17.68% |       5.2603 |       4.1035 |      1.0000e-04 |
|       1 |           5 |       00:00:06 |       15.62% |       22.22% |       3.1315 |       2.8916 |      1.0000e-04 |
|       1 |          10 |       00:00:09 |       31.25% |       35.86% |       2.4360 |       2.4390 |      1.0000e-04 |
|       1 |          15 |       00:00:12 |       39.06% |       46.46% |       2.3750 |       2.1337 |      1.0000e-04 |
|       1 |          20 |       00:00:15 |       51.56% |       50.00% |       2.1094 |       1.9353 |      1.0000e-04 |
|       2 |          25 |       00:00:18 |       32.81% |       50.00% |       2.2898 |       1.8595 |      1.0000e-04 |
|       2 |          30 |       00:00:21 |       53.12% |       54.04% |       1.9710 |       1.7549 |      1.0000e-04 |
|       2 |          35 |       00:00:25 |       50.00% |       56.06% |       1.9261 |       1.6279 |      1.0000e-04 |
|       2 |          40 |       00:00:28 |       54.69% |       53.54% |       1.6066 |       1.5976 |      1.0000e-04 |
|       2 |          45 |       00:00:31 |       57.81% |       60.10% |       1.4850 |       1.3925 |      1.0000e-04 |
|       3 |          50 |       00:00:34 |       64.06% |       63.64% |       1.4604 |       1.3165 |      1.0000e-04 |
|       3 |          55 |       00:00:37 |       71.88% |       65.66% |       1.1568 |       1.1917 |      1.0000e-04 |
|       3 |          60 |       00:00:40 |       65.62% |       69.19% |       1.2158 |       1.1397 |      1.0000e-04 |
|       3 |          65 |       00:00:43 |       65.62% |       71.72% |       1.3951 |       1.0208 |      1.0000e-04 |
|       3 |          70 |       00:00:46 |       75.00% |       73.74% |       0.9962 |       0.9048 |      1.0000e-04 |
|       4 |          75 |       00:00:49 |       75.00% |       70.71% |       0.7699 |       0.8727 |      1.0000e-04 |
|       4 |          80 |       00:00:52 |       70.31% |       74.75% |       0.9122 |       0.7971 |      1.0000e-04 |
|       4 |          85 |       00:00:55 |       84.38% |       78.28% |       0.5952 |       0.6835 |      1.0000e-04 |
|       4 |          90 |       00:00:58 |       82.81% |       80.81% |       0.4584 |       0.6758 |      1.0000e-04 |
