Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:07 |        0.00% |        7.58% |       7.6525 |       3.2048 |      1.0000e-04 |
|       1 |           5 |       00:00:16 |        0.00% |       22.73% |       3.5364 |       2.6106 |      1.0000e-04 |
|       1 |          10 |       00:00:25 |       25.00% |       30.30% |       2.7714 |       2.3700 |      1.0000e-04 |
|       1 |          15 |       00:00:34 |       31.25% |       38.89% |       2.4525 |       2.0250 |      1.0000e-04 |
|       1 |          20 |       00:00:43 |       43.75% |       48.99% |       1.9683 |       1.7927 |      1.0000e-04 |
|       1 |          25 |       00:00:52 |       50.00% |       35.35% |       1.9309 |       1.8958 |      1.0000e-04 |
|       1 |          30 |       00:01:02 |       56.25% |       44.44% |       1.3842 |       1.9573 |      1.0000e-04 |
|       1 |          35 |       00:01:11 |       12.50% |       45.96% |       2.6378 |       1.7519 |      1.0000e-04 |
|       1 |          40 |       00:01:20 |       56.25% |       51.01% |       1.7277 |       1.8002 |      1.0000e-04 |
|       1 |          45 |       00:01:29 |       31.25% |       45.96% |       2.2282 |       1.6974 |      1.0000e-04 |
|       1 |          50 |       00:01:38 |       25.00% |       39.39% |       2.7116 |       2.0240 |      1.0000e-04 |
|       1 |          55 |       00:01:46 |       56.25% |       45.45% |       1.5430 |       1.5449 |      1.0000e-04 |
|       1 |          60 |       00:01:53 |       56.25% |       51.52% |       1.5121 |       1.5175 |      1.0000e-04 |
|       1 |          65 |       00:02:02 |       81.25% |       53.03% |       0.8394 |       1.5056 |      1.0000e-04 |
|       1 |          70 |       00:02:10 |       56.25% |       60.10% |       1.7693 |       1.3071 |      1.0000e-04 |
|       1 |          75 |       00:02:19 |       43.75% |       58.08% |       1.6733 |       1.2898 |      1.0000e-04 |
|       1 |          80 |       00:02:28 |       56.25% |       57.58% |       1.3194 |       1.3263 |      1.0000e-04 |
|       1 |          85 |       00:02:38 |       62.50% |       62.63% |       1.1929 |       1.0881 |      1.0000e-04 |
|       1 |          90 |       00:02:46 |       37.50% |       68.18% |       1.7515 |       0.9775 |      1.0000e-04 |
