Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:02 |        0.00% |       19.05% |       4.1503 |       2.6339 |      1.0000e-04 |
|       1 |           5 |       00:00:03 |       50.00% |       38.10% |       1.8309 |       1.6673 |      1.0000e-04 |
|       1 |          10 |       00:00:04 |       62.50% |       76.19% |       1.1605 |       0.6916 |      1.0000e-04 |
|       2 |          15 |       00:00:05 |       50.00% |       85.71% |       1.3743 |       0.5515 |      1.0000e-04 |
|       2 |          20 |       00:00:06 |       68.75% |       80.95% |       0.6618 |       0.6108 |      1.0000e-04 |
|       3 |          25 |       00:00:07 |       81.25% |       80.95% |       0.6881 |       0.3639 |      1.0000e-04 |
|       3 |          30 |       00:00:07 |       87.50% |       85.71% |       0.2119 |       0.2937 |      1.0000e-04 |
|       4 |          35 |       00:00:08 |       87.50% |       85.71% |       0.3248 |       0.2124 |      1.0000e-04 |
|       4 |          40 |       00:00:09 |       93.75% |       90.48% |       0.5933 |       0.3391 |      1.0000e-04 |
|       5 |          45 |       00:00:10 |       81.25% |       90.48% |       0.5563 |       0.2606 |      1.0000e-04 |
|       5 |          50 |       00:00:11 |      100.00% |       95.24% |       0.0933 |       0.1332 |      1.0000e-04 |
|       6 |          55 |       00:00:13 |       93.75% |       85.71% |       0.1936 |       0.1988 |      1.0000e-04 |
|       6 |          60 |       00:00:13 |       93.75% |       95.24% |       0.2760 |       0.0808 |      1.0000e-04 |
|       7 |          65 |       00:00:15 |       93.75% |       95.24% |       0.2264 |       0.1469 |      1.0000e-04 |
|       7 |          70 |       00:00:16 |       81.25% |       90.48% |       0.3160 |       0.2124 |      1.0000e-04 |
|       8 |          75 |       00:00:17 |       81.25% |       80.95% |       1.0924 |       0.4271 |      1.0000e-04 |
|       8 |          80 |       00:00:18 |       93.75% |       95.24% |       0.1153 |       0.1223 |      1.0000e-04 |
|       9 |          85 |       00:00:19 |      100.00% |       95.24% |       0.0757 |       0.2215 |      1.0000e-04 |
|       9 |          90 |       00:00:20 |      100.00% |       90.48% |       0.0721 |       0.1975 |      1.0000e-04 |
