Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:03 |       18.75% |       14.29% |       2.1434 |       1.8864 |      1.0000e-04 |
|       1 |           5 |       00:00:10 |       31.25% |       47.62% |       1.5874 |       1.3199 |      1.0000e-04 |
|       1 |          10 |       00:00:18 |       68.75% |       80.95% |       0.9291 |       0.8353 |      1.0000e-04 |
|       2 |          15 |       00:00:25 |       68.75% |       85.71% |       0.6846 |       0.5883 |      1.0000e-04 |
|       2 |          20 |       00:00:34 |       87.50% |       80.95% |       0.4069 |       0.4840 |      1.0000e-04 |
|       3 |          25 |       00:00:41 |       81.25% |       85.71% |       0.4620 |       0.4567 |      1.0000e-04 |
|       3 |          30 |       00:00:49 |       87.50% |       85.71% |       0.3247 |       0.3690 |      1.0000e-04 |
|       4 |          35 |       00:00:56 |       93.75% |       85.71% |       0.2012 |       0.4512 |      1.0000e-04 |
|       4 |          40 |       00:01:04 |      100.00% |       90.48% |       0.1080 |       0.4675 |      1.0000e-04 |
|       5 |          45 |       00:01:11 |      100.00% |       90.48% |       0.0717 |       0.3624 |      1.0000e-04 |
|       5 |          50 |       00:01:17 |       93.75% |       80.95% |       0.1534 |       0.4259 |      1.0000e-04 |
|       6 |          55 |       00:01:23 |      100.00% |       90.48% |       0.1029 |       0.5020 |      1.0000e-04 |
|       6 |          60 |       00:01:29 |      100.00% |       90.48% |       0.0192 |       0.3933 |      1.0000e-04 |
|       7 |          65 |       00:01:34 |       93.75% |       90.48% |       0.2534 |       0.3836 |      1.0000e-04 |
|       7 |          70 |       00:01:40 |      100.00% |       95.24% |       0.0107 |       0.2909 |      1.0000e-04 |
|       8 |          75 |       00:01:46 |      100.00% |       85.71% |       0.0638 |       0.4987 |      1.0000e-04 |
|       8 |          80 |       00:01:52 |      100.00% |       95.24% |       0.0118 |       0.2074 |      1.0000e-04 |
|       9 |          85 |       00:01:58 |      100.00% |       90.48% |       0.0258 |       0.5131 |      1.0000e-04 |
|       9 |          90 |       00:02:04 |      100.00% |       90.48% |       0.0069 |       0.3214 |      1.0000e-04 |
