Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:02 |       18.75% |       14.29% |       3.1197 |       3.1025 |      1.0000e-04 |
|       1 |           5 |       00:00:05 |       37.50% |       47.62% |       1.5665 |       1.4006 |      1.0000e-04 |
|       1 |          10 |       00:00:09 |       43.75% |       42.86% |       1.5107 |       1.2911 |      1.0000e-04 |
|       2 |          15 |       00:00:13 |       25.00% |       61.90% |       1.5892 |       0.9600 |      1.0000e-04 |
|       2 |          20 |       00:00:16 |       62.50% |       47.62% |       1.0338 |       1.9188 |      1.0000e-04 |
|       3 |          25 |       00:00:20 |       62.50% |       57.14% |       0.8809 |       0.9852 |      1.0000e-04 |
|       3 |          30 |       00:00:24 |       62.50% |       52.38% |       1.0377 |       0.8485 |      1.0000e-04 |
|       4 |          35 |       00:00:28 |       62.50% |       71.43% |       0.6815 |       0.6236 |      1.0000e-04 |
|       4 |          40 |       00:00:32 |       75.00% |       85.71% |       0.8016 |       0.4046 |      1.0000e-04 |
|       5 |          45 |       00:00:35 |       81.25% |       76.19% |       0.3883 |       0.8728 |      1.0000e-04 |
|       5 |          50 |       00:00:39 |       75.00% |       80.95% |       0.6503 |       0.5779 |      1.0000e-04 |
|       6 |          55 |       00:00:43 |       68.75% |       71.43% |       0.6230 |       1.0973 |      1.0000e-04 |
|       6 |          60 |       00:00:47 |       81.25% |       76.19% |       0.4066 |       0.8472 |      1.0000e-04 |
|       7 |          65 |       00:00:50 |       81.25% |       76.19% |       0.8447 |       0.8262 |      1.0000e-04 |
|       7 |          70 |       00:00:54 |       81.25% |       95.24% |       0.5162 |       0.2474 |      1.0000e-04 |
|       8 |          75 |       00:00:58 |       75.00% |       71.43% |       0.7527 |       0.8266 |      1.0000e-04 |
|       8 |          80 |       00:01:01 |       62.50% |       80.95% |       1.1708 |       0.5057 |      1.0000e-04 |
|       9 |          85 |       00:01:05 |       62.50% |       80.95% |       1.3518 |       0.3154 |      1.0000e-04 |
|       9 |          90 |       00:01:09 |       93.75% |       76.19% |       0.2106 |       0.6392 |      1.0000e-04 |
